page 2	我之統一觀七續十永久之統一
page 3	財長劉恩源辭職偕眷及胡仁鏡逃津
page 3	使團照會外部限三日救出被擄外人逾期一日須索賠償
page 3	使團有組織聯合軍從事警備之提議
page 3	傳孫傳芳將任援粵總司令閩事交王永泉代
page 3	使團續議以政府對於劫車被擄外人營救不力決由各使隨時督促外又自派營救委員團赴臨城由英法美意比葡合組外交部告使團說明政府負全責辦理今所擄洋人已陸續放還僅留十三人在老黃牛山
page 3	黎元洪對倒閣派言外交甚緊不宜換閣
page 3	李根源請假劉恩源辭職黎元洪勸張英華長財或兼鹽署內閣已無形解體
page 3	張紹曾請假一月黎不准張擬九日起不到院赴西山靜侯不信任案結果
page 3	威海衛交涉英總代表更換有以曾任稅務司之傅夏組繼任訊
page 3	陝劉鎮華由滬運槍五百彈百萬大砲四尊經觀音堂為胡景翼截留借去
page 3	王獻臣電京敝部駐閩西上汀北與周蔭人部西與贛軍南與尹驥部聯防
page 3	奉直和議保定有允先撤灤州駐軍說
page 3	財部次長張壽　張競仁九日均辭職劉恩源九日潛赴天津因軍餉到期無法應付劉
page 3	言三千萬墊款外交團意已活動但因劫車案恐又擱置
page 3	沈瑞麟因駐外使領經費被劉恩源延宕決堅辭外長不到部
page 3	領袖公路八日提正式抗議書請速救被擄洋人並詰問一未鬧出事前至臨城何以開慢車二劫車匪皆穿軍服探使團意最要在營救被擄對卹死賠償尚未提及匪提條件要勒贖款百萬
page 3	張紹曾願下討孫令要求吳佩孚維持揆位
page 3	三閣員辭呈係程克起草張紹曾罵程反噬
page 3	陸昌　向地檢廳控呂均偽造文書賣官納賄已出傳票呂抗傳不到
page 3	日使小幡胃仍來華說
page 3	楊森對第三軍主撫對第一軍主勦先攻遂潼
page 3	魯匪允盡釋被擄各外人祇留義國律師穆安素似含作質保免官兵進勦洗巢意
page 3	日人藉劫車案運動國際聯盟共管中國且有某國已允日派重年兵駐華會同美水師便宜行事訊
page 3	車江確已發生戰事
page 3	西江軍事近聞
page 3	封商輪赴汕載兵
page 3	保護鹽船又生阻礙
page 3	孫段梁三角聯盟條件之傳述
page 3	韋冠英陣亡說不確
page 3	醞釀中之市長問題
page 3	李作榮與商會善堂議借款詳記
page 3	潮屬各界聯請改委法官專訪
page 3	新界附近之騷擾
page 3	一字一淚之肇人求賑書
