page 1	廬山會議與內外大計
page 2	孔祥熙談話否認廬山開會議不過因炎熱遷地辦公
page 2	孔祥熙返京後電陳濟棠陳維周促將公款交還並即返省辦交代財部當秉承中央明令依法澈底查究
page 2	浙人請白移節治浙並表示歡迎
page 2	黃紹雄不就桂綏靖主任職因離軍日久深恐不勝重責蔣慰勉有加對桂問題未有考慮
page 2	中央軍用飛機飛前線散發蔣告桂將士書勸勿作無謂犧牲保存國力
page 2	日駐屯軍司令田代發表談話竟認浪人走私為正當行為無事不以梅何協定為藉口對我廬山會議取靜觀態度
page 2	國府紀念週中張繼報告西北交通問題西北問題亦即國家民族生存問題而國家政令之推行實有賴於交通
page 2	東北義軍李紅光攻入延壽偽縣長被拘偽軍被繳械
page 2	青紗帳起宋召夏防會
page 2	廬山會議昨晨召開預備會審查二中五中兩會交下各案未開會前蔣召黃紹雄孫科等商解決桂局大會對內對外及團結禦侮均兼籌並顧辦法各案關係國家民族生存未到相當時期不公佈
page 3	德王在嘉卜寺召開軍事會議李卓二逆　參加
page 3	財部內定戴恩賽為粵海關監督諸昌年為江海關監督
page 3	平津兩處封存現銀數目
page 3	皖建省縣農倉下月全部興工計建省倉廿餘所建縣倉一百十所
page 3	國糖產銷協會各理事昨就職推舉馮銳為理事長
page 3	各選舉事務所積極進行工作
page 3	楊永泰公畢離潯返漢
page 3	秦汾等訪楊永泰商談遙堤問題
page 3	渝關扣留走私郵包數達九百餘件
page 3	冀境南北運河水勢均已回落堤岸堅固不致成災
page 3	永定河山洪暴發丁莊一帶潰決天津武清兩縣被淹一片汪洋廬舍為墟
page 3	上海車夫被害案英兵三名送滬
page 3	諾那逝世後遺缺將由澤墨繼任中央決開會追悼諾那
page 3	津市府現已著手改組
page 3	沛縣大搜逃犯
page 3	朱朝森奉派代理桂高法院院長
page 3	陝禁糧食出口
page 3	隴海潼寶段將可全部完工
page 3	網球名將又弱一個邱飛海逝世
page 3	電影教委會日內即可成立
page 3	西班牙戰事政府軍佔優勝地位戰事已有轉機限令黨軍投降
page 3	蒲淞區第二監獄將行落成典禮
page 3	修築公路佔用民地加倍發給地價
page 3	秦德純昨日回拜法使
page 3	美教育參觀團昨日乘輪抵滬
page 3	教育部制定學校衛生標準
page 3	政府發表勝利消息
page 3	黨軍司令組國務會
page 3	太平洋學會將在美國舉行日本侵華問題將為討論焦點
page 3	大戰陣亡將士紀念壇英皇參加開幕禮
page 3	關添記新款巧造儉柴爐
page 3	　暹攷察　返國昨已抵滬該團此行成績　結果尚待正式報告中暹商務促急具體辦法將作詳細商討
page 4	精武會月夜海浴八月一日晚往將軍澳
page 4	昨晚公開籃球賽因雨祇舉行一場南華乙五十五對卅一勝精武
page 4	友誼籃球賽南華甲勝勵行社接戰之初勵行社曾佔先後以聯絡欠佳以致失敗
page 4	體信乒乓隊勝致中
page 4	港外匯市情極靜
page 4	省法幣價昨微降
page 4	八九金市價盤旋
page 4	滬外匯市情穩定
page 4	廣州西紙市微升
page 4	各行股票之市情
page 4	超超團華人會游泳對抗總成績不分高下倘非和平之神照臨七姊妹焉有兩項成績皆如是之巧前日渡海泳六女健奮鬥經過之補述
page 5	統一幣制與廢除苛雜決先成立中央銀行分行幣制計劃由周監理起草經濟學者之改大洋制談財廳令各縣填報各稅捐委陸文瀾任農稅局委員
page 5	籌改大洋制意見經濟學者之談話
page 5	電各縣長報捐稅為廢除苛細地步
page 5	四路軍之駐地與軍官最近升調
page 5	閩南中央軍入粵黃任寰請飭停止
page 5	委任農稅局委員挾款潛逃之通緝
page 5	第九師最近行蹤第三軍
page 5	二師各部之回省第一軍
page 5	林偉疇部駐西江
page 5	軍官升調之昨訊
page 5	桂省尚準備軍事梧州之防備情形
page 5	海關突征洋米稅米糠行請商會轉請免征米業買手團之討論結果
page 5	綏靖署撤否未定
page 5	整理鹽政之計劃
page 5	伍應祺尚在人間伍氏被羈押兩年零八個月不許　界探問外界人士傳其與練炳章作槍同下鬼昨始獲釋但兩足浮腫伍氏被捕之經過補述
page 5	四路軍總部全部組織昨正式完成各廳處長委定後陳誠昨召集宣示中央意旨陳誠因桂事奉蔣電暫緩北返
page 6	江防司令部改組即將成立張之英八一就職訊張氏另有辭職呈文
page 6	八一禁賭展緩訊賭餉現謀籌抵方法八一禁絕時間太速財廳某秘書談
page 6	時局底定後憲兵司令訓勉所部
page 6	吳健陶昨日就統稅局長職
page 6	中中全體員生召開復校運動會選出委員廿餘巫琦蒞場訓話
page 6	西南執行部結束
page 6	廣州律師公會
page 6	國立中山大學校長鄒魯
page 6	新任廣東高等法院長葉夏聲氏
page 6	前中山公安局長林警魂
page 6	鐵道部次長會養甫
page 6	市立銀行長陳仲璧
page 6	省府將省府所屬本省糧食調節委員會全作事業委員會
page 6	國立北平師範大學
page 6	獨立第四團長王定華部
page 6	昨八和戲劇工會開會員大會
page 6	省府紀念週中余漢謀報告粵局奠定經過今後當解放言論恢復固有民族精神整理財政廢除苛雜以輕人民之負擔
page 6	和平統一經過
page 6	遽行通電下野
page 6	就是軍隊方面
page 6	提倡固有道德
page 6	病商害民之稅捐及專賣各商行繼續呈請撤銷
page 7	德輔中炸彈案二次研訊案情重大尚未訊結
page 7	上海全國書畫展
page 7	梧海關扣留桂省新法幣 係奉中央電令執行
page 7	本港組旅行團參加國際聖餐會
page 7	汽車輾傷一木匠
page 7	陳濟棠訪羅旭和
page 7	時局轉好的童謠
page 7	元郎暴雨之損失
page 7	華僑老民黨洗餐雲君昨過港
page 7	海上酒店
page 7	本港籌備
page 7	唐海安昨已返省謂決與陳維周算賬否認陳已派員將賬目交出如陳仍拒交將以法律解決
page 8	印警被殺案續誌
page 8	首批數量
page 8	某律師被控違例法學會請法庭將之除名
page 8	理由如下
page 8	合夥營業
page 8	中華中學頒獎紀是　畢學生數十人
page 8	旅店中婦人服毒
page 8	　中畢業生
page 8	上述合約
page 8	重張旗鼓
page 8	小學畢業生
page 8	投　報告
page 8	學生人數
page 8	設備
page 8	教員
page 8	教學與成績
page 8	體育與衛生
page 8	九龍青年會救傷班及格學員已揭曉
page 8	紅磡一少年投海
page 8	學生生活
page 8	取消制裁後第一批意貨已運抵本港重七十噸人造絲估多數我國工商業將大受影響
page 10	初級法庭案彙誌
page 10	撬門行竊
page 10	騙麻雀牌
page 10	截搶手袋
page 10	物昧來歷
page 10	冒名行騙
page 10	身懷偽幣
page 10	意圖勒索
page 10	本港又多一畫則師
page 10	華商總會定期會議
page 10	七千元鉅騙疑案
page 11	中山紀念圖書館開幕訊
page 11	西南組警聯辦事處
page 11	紅丸犯乃請求救濟
page 11	廣州工務局工作近況文樹聲昨在市府紀念週報告
page 11	蛇塘鄉鬥毆之命案
page 11	九江人請撤銷市局
