page 1	中英兩大民族之攜手
page 2	合作提攜應以平等為基礎王寵惠在紀念週之報告
page 2	日謀滅我言文偽國學生須學日語
page 2	林主席祭文
page 2	民族掃墓節國府祭謁明太祖陵
page 2	反對洋米免稅入粵蘇浙等省米商再接再厲又派顧馨一等星夜晉京請願黃紹雄亦電政院請收回成命
page 2	中央對川六項辦法劉湘已允完全遵辦賀國光已返抵重慶
page 2	沈均儒章乃器等均被依法正式起訴起訴書已送達各被告陶行知等亦在被訴列
page 2	馬超俊報告
page 2	吳鐵城七日南下就職
page 2	招商局對匯豐債務即可完全解決延還舊欠減低利息
page 2	津市充斥偽鈔華北金融可慮
page 2	中日外交問題尚無繼續談判意川樾決留京訪外王許世英允打銷辭意
page 3	鄧家彥報告民族掃墓感言
page 3	伐爾斯基洛為官軍佔領
page 3	官軍將克復貝那洛亞鎮
page 3	日南進政策急進台灣總督小林將聘問南洋群島謀實現互惠協助之企圖歸途順經香港拜會港督
page 3	中央撥款修理烈士墳場
page 3	綏遠籌備紀念成吉思汗
page 3	陳公博日內返京就任
page 3	我國蛋產入美又將被征重稅
page 3	美參戰紀念日一片和平之聲各國希望美參加維持歐局和平英美將協商發起召集和平會議
page 3	吳鼎昌在川公畢昨訪劉湘辭行
page 3	吳鼎昌在川講黨政軍合作
page 3	整理革命債務公債五月一日發行
page 3	劉航琛倡組川銀公司
page 3	百靈廟克復後改稱百林廟
page 3	普濟　師應邀來滬傳法
page 3	法報評論中　聲威日增法記者視察所得
page 3	兒玉返抵東京
page 3	奧皇統派份子舉行復辟示威運動參加人數逾萬旋被當局驅散
page 3	美菲經濟問題奎松與美當局談商已有進展
page 3	德政府擬派遣代表團赴遠東謀增進對中日關係具有外交與軍事性質
page 3	施大使在美宣佈償還湖廣路公債一九三七年起續付息一九四一年開始還本
page 3	奎松主張提前宣佈菲獨立
page 3	美聯邦儲備局收買政府債券
page 3	蘇俄遷調波丹金任副外長
page 3	準備戰爭德名將魯登道夫創立德國神通教主張毀滅猶太教與基督教提倡血統意識與種族自尊德政府已承認為正式宗教
page 3	捲菸統稅為四級暫行制
page 3	滄縣事件日致函冀省府
page 3	韓復　已抵青
page 3	湘河水漲湘米即可運滬贛米亦可輸出
page 3	日政民兩黨構成聯合陣線決對政府宣戰準備於特別議會開會時提出不信任案實行倒閣
page 3	代行政院長王寵惠日內正式視事
page 3	滬法界發現怪胎
page 3	報告綏蒙會務沙王離平晉京
page 3	程潛行抵南岳
page 3	西國兩方空軍互展威力叛軍四次轟炸杜朗哥官軍飛機迭炸叛軍機場考度白省戰情官軍勝利
page 4	籃球陣容
page 4	雙料冠軍
page 4	比賽計劃
page 4	排球實力
page 4	特別銀牌南華南華塞斯決戰本星期六在快活谷舉行
page 4	普通界籃球華僑印警雙奏凱友誼賽南華勝培止
page 4	信修乒乓隊征澳門
page 4	培正小足球戰光華
page 4	聖保羅書院籃球隊負於廣雅成績廿七比三十三
page 4	丹麥女游泳家魏格創背泳紀錄需進五分四十四秒半
page 4	十四次省運下月五日開始本月十四日截止報名
page 4	警察隊門將麥哈地請假回英警隊實力比前更弱
page 4	香港足球總會月會討論埠際代表資格問題議決取銷限制外來球員三人一部份本年埠際比賽收入共三千三百餘元
page 4	公開網球因雨停賽
page 4	八九金市道平淡
page 4	省毫券價格堅穩
page 4	中央紙市價極靜
page 4	桂幣市略有上落
page 4	滬外匯市情穩靜
page 4	滬白銀出口稅率
page 4	各行股票之市情
page 4	上海女子籃排球冠軍東亞隊明日征廣州乘招商局海利輪十一日可抵步在香港汕頭兩地盼有一展身手
page 5	林主席昨啟　赴桂乘粵漢路專車赴衡轉程入桂余總司令等五千人到站恭送
page 5	市民致敬
page 5	列隊恭送
page 5	明晨抵衡
page 5	昨晨聯合紀念週林主席訓示黨員之責任同時舉行追悼尢少紈大會陳紹賢報告尢先生生平功業與人格
page 5	林主席訓詞
page 5	追悼尤少紈
page 5	領導民眾一致實行
page 5	檢閱粵北部隊完竣陳誠等昨晨返省中止赴衡晤程潛
page 5	諶小岑報告林主席離粵
page 5	陳紹賢報告詞
page 5	請示改編粵憲兵將改為憲兵團不設憲兵司令
page 5	孫璞李大超覲見林主主席
page 5	曾養甫返省恭送林主席
page 5	裁廢苛捐雜稅情形財政廳呈部報告省部已裁去二十餘種各縣捐稅裁一百七十餘種警衛費項下裁一百七十餘種
page 5	第九旅所部集中安定縣候編
page 5	四省特展會閉幕閉會江西盜器運港展覽
page 5	吳鐵城七日起程南下接收省府日期及手續已決定孫李二氏到省後之接洽
page 6	內容計分六項
page 6	瓊崖食鹽有人運動恢復專賣　傳係邢森洲主動邢氏昨函縣人辯白
