page 1	日閣又告更動
page 2	美國表示反對美在該路有合法權益不能受不公平之障礙
page 2	　　日兵車觸中地雷斃日軍百餘
page 2	第四七三次政院會議
page 2	十六日日機襲渝被我擊落三架我飛將軍丁康壽君成仁
page 2	首批參戰德軍入明興城備受民眾歡迎
page 2	絳縣張家莊附近發生激戰整日軍百餘
page 2	阜寧海河日軍極感恐慌
page 2	日艦竄犯鎮海被我擊傷多艘退泊口外我軍一度衝入蕭山巷戰
page 2	那馬日軍圖犯新墟未逞龍州附近日軍竄擾上金被擊
page 2	日　間改組
page 2	和謠陰霾盡掃
page 2	工合協會二屆工作會議
page 2	贛　委劉體乾病逝
page 2	滬日憲兵案仍無結果
page 2	海外僑胞電林蔣致敬
page 2	西安德昌藥行經理捐款受獎
page 2	日　會訪問團抵菲律濱
page 2	對英允滇緬禁運事蔣委長作嚴正表示抗戰目的一日未達一日不止決不因第三國脅逼有所搖撼
page 3	德集中大軍六十萬準備大舉進攻英國希特勒將發表演說對英誘致和平
page 3	痛悼張自忠將軍一
page 3	英當局嚴懲破壞國防份子公安部大臣提議通過二號國防緊急權力案
page 3	巴赫里謂羅斯福已不願再競選極權政治勢力逐漸抬頭美國選民對此極應認識
page 3	奎松演講提倡新式之民主政治限制個人自由維持公共利益主張放棄兩黨以上政治制度
page 3	蓋達謂德意兩國將為歐洲建設之中心將歐洲國際關係從新調整使各國得到軸心國家合作
page 3	西班牙與智利斷絕邦交
page 3	新任駐澳美公使呈遞國書
page 3	施達爾及哥爾特發表聲明彼等有言論自由權決不為暴力所屈服
page 3	愛爾蘭加緊強化國防但未有準備與英合作
page 3	印議員五名被政府所拘捕
page 3	美外交家數名赴日內瓦
page 3	美商務部發表中日對美貿易
page 3	古巴選出總統巴蒂士達上校當選
page 3	安義偽軍投誠
page 3	蘇向羅抗議旅客每被虐待
page 3	美陸軍部宣稱訂購大批軍械
page 3	日皇命近衛文　負責組織新內閣近衛現正編配新閣名單
page 5	美輪到灣載運貨物
page 5	日軍在江會拉伕趕闢寧陽路運輸線中山日軍發反戰傳單數十人被捕漢奸爭地盤灣仔一度無偽軍蹤蹟
page 5	睦洲情勢
page 5	日兵反戰
page 5	爭奪地盤
page 5	日兵遊行西營市面
page 5	赤坎法兵踢傷華人
page 5	灣仔偽軍
page 5	勒收行水
page 5	下墮江洪港之法機實為日軍擊落六屍撈獲已送法方
page 5	我方打撈經過
page 5	我沿邕江兩岸並進邕寧東西北外圍均起激戰龍州日軍情勢益危即可消滅高雷沿岸安謐砲轟說非事實
page 5	邕江兩岸再起激戰
page 5	反攻揚美控制全墟
page 5	粵南沿海日艦動態
page 5	日機失事原因
page 5	西營海面日艦未去美輪駛廣州灣自運貨物所購大批鉛錫已由華界運出日檢查員噤若寒蟬不敢反對
page 6	上米每擔售銀卅元
page 6	一區李專員撫慰新會戰地民眾宣揚政府　念難民德意
page 6	寶安日軍修築公路及機場強拆民房磚石誘騙難民充當伕役南頭空虛日偽軍患疫症死者甚眾
page 6	藉名開會乘機拉伕
page 6	湘桂米仍陸續運到
page 6	各種雜糧同時跌價
page 6	越界搜劫鹽田客商
page 6	南頭各地日軍空虛
page 6	九江日軍圖犯海口不逞
page 6	呂逆春榮擴編偽軍日閥許可擴編一師
page 6	殘垣敗瓦
page 6	到達葵涌
page 6	往沙魚涌
page 6	日機狂炸後之惠州城及沙魚涌
page 6	達分水橋
page 6	斷頭零肢
page 6	穢物堆積
page 6	惠州災情
page 6	早造新殼上市台開各地米價暴降各項雜糧價格亦同時低跌
page 7	省賑會調查沙魚涌
page 7	美僑離港人數甚少
page 7	輪客投海獲救
page 7	五賊假冒公務員賺門入屋行劫詭搜私煙實欲發財掠去銀物僅值數十元
page 7	港政府發展漁業將在香港仔設試驗場第一期建設費定十六萬元
page 7	七七花款又收到數百元
page 7	番禺會所賑濟故鄉難民
page 7	國內各院校招生考試室昨日已編定試場規則亦同時發表考選公費生開始報名
page 7	寄菲郵件郵局絕無延誤
page 7	越政府徇日方要求封存華商貨物價值港幣數千萬元我當局已提出抗議
page 7	試場規則
page 7	一週間之時症腸熱痢症最多
page 7	選公費生
page 7	保良局私逃少女被捕法官判處徒刑三月尚有兩女童未尋獲
page 7	失蹤西人警探尋回一名
page 7	連日離港僑胞多為內地高等難民在港有職業者絕未疏散昨離港美僑亦僅得數人
page 8	藥商將作二次請求
page 8	旅客爭購船票嬰孩慘被壓弊
page 8	婦慰會議決捐助各方藥物
page 8	三賊截劫農人每處徒刑六月
page 8	華商籌賑會演劇籌款廿六日起一連三晚新靚就等擔任義演
page 8	北角撈獲浮屍
page 8	胡藻斌畫展將在知用中學舉行
page 8	本港運英貨物運費增加百公之四十
page 8	兒童保育會將開會員大會函請會員從速登記
page 8	少年難婦萬里尋夫本港政府決助成行
page 8	截劫案昨判決兩匪入獄兼受笞刑
page 8	商店被控不依通告遷徒業主得直兼得堂費
page 8	合義慈善社定期行開幕禮新職員昨已宣誓就職
page 8	赴漢輪客銳減運港貨物亦少
page 8	小童慘遭滅頂
page 8	消防隊員被控假冒華探
page 8	馬來亞限制　藥入口　貧病僑胞
page 10	域多利游泳會首次水上競技定下月三日舉行特邀勵進團對抗
page 10	星島南征足球隊今晨出發
page 10	高級學籃球員問題拔萃具呈正式上訴鑰智認為抵觸會章將自動退出委員會俟各主覆函將討論處決
page 10	宵來籃球聯賽培英輕取晨鐘另場國民棄權
page 10	夏令籃球戰訊
page 10	同義會俠文杯會友小型球賽未婚隊榮獲冠軍
page 10	友誼小型球消息
