page 1	國府明令緝汪
page 2	全國各界紛電中央請通緝汪精衛發電人有閻錫山陳誠等此項呈電達千餘起之多
page 2	我大軍二十餘萬渡河反攻晉Ｘ中央派空軍一大隊助戰衛立煌晤朱德商討計劃
page 2	華北抗戰之過去現在與未來四
page 2	蘇北我軍攻入沐陽
page 2	魯南我行政機關距濟不遠濟南ＸＸ受威脅
page 2	Ｘ機襲重慶被我擊落三架Ｘ機竄入市空糊亂投彈雖有數處起火立即撲滅
page 2	Ｘ機襲閩損失調查被燬戶屋四四間死傷共一一三八人
page 2	新泰之Ｘ猛犯蒙陰我軍與Ｘ激戰結果斃Ｘ無算
page 2	東京證券價值回跌
page 2	Ｘ機擾湘
page 2	Ｘ機轟炸鎮海投九彈損失甚微
page 2	少年揚秀代兄入伍殺Ｘ
page 2	Ｘ機侵襲南寧
page 2	鄂中我軍分路襲Ｘ克復沙集湘北前線僅有步哨接觸新牆河北我軍掃蕩殘Ｘ
page 3	英再向日廷格拉事件提強硬抗議日總領事亦往訪英總領事商談最近所發生英日事變
page 3	英皇夫婦抵華盛頓將往紐約參觀博覽會華盛頓六十萬群眾熱烈歡迎羅斯福曾與英皇作懇切談話
page 3	英工黨議員批評政府之外交政策對遠東問題不應再軟弱
page 3	張伯倫報告太平洋國際會議經過會議內容秘密不能宣佈
page 3	倫敦瘋人慈善會捐贈我國鉅款救濟中國瘋人
page 3	鼓浪嶼工部局致牒日總領事對日要求願意局部接納日領內田返國請示機宜
page 3	反共公約談判未有結果
page 3	德方否認集軍波邊
page 3	土駐德大使訪德外長
page 3	德報著論抨擊英蘇
page 3	Ｘ內閣集議討論外橋在華利益問題欲保持外人利益希望各國助日
page 3	津Ｘ要求引渡華人案英日談判決裂津英租界局面突形緊張傳日方將採取單獨行動
page 3	中國青年猛進畢業之後即求實踐爭相加入青年團參加戰時工作協助軍　訓練民眾作軍民橋樑
page 3	倫敦外交界批評德與拉愛兩國締盟對拉愛兩國懷柔杜蘇聯籍口但結果徒足促進英法蘇合作
page 3	甘茂林與張伯倫談話所談極關重要
page 3	外部照會各使領有關貨幣問題
page 3	英外相在貴族院解釋外交問題英土談判初步階級已圓滿結束決派大員赴蘇以促進英蘇談判
page 4	中華義學明日放榜
page 4	商借學校極為困難
page 4	譚伯揚赴澳辦義學
page 4	難童學校積極擴充
page 4	手車伕被控乘人醉酒摸竊証供不足被告獲釋
page 4	捐金購債彙誌
page 4	店東誤買賊贓官判無罪省釋
page 4	諾貝爾將赴星
page 4	中華義學開課有期難童六千餘盡量收容編級試明日在各校放榜課室未足現仍在商借中
page 5	三江一帶擴大聯防
page 5	Ｘ機偵察三江睦洲
page 5	江會沿線砲聲緊密
page 5	Ｘ國軍費抽宅地稅
page 5	Ｘ圖佔鎮不逞我團隊澈夜苦戰殺Ｘ數十
page 5	中順交界不法團隊截留賑米發生激戰續訊岑善長購運免稅洋米在桂洲舉辦平糶黃隊長見義勇為率隊銜鋒將賑米起回
page 5	準備反攻江會續訊
page 5	妙計殲Ｘ
page 5	北海關准國幣出口免稅洋米可順利湧進
page 5	增城附近派潭老虎山我軍擊ＸＸ派兵馳援中新亦遭我截擊
page 5	增城附近誘Ｘ聚殲
page 5	中新Ｘ陣被我包圍
page 5	王若周談今後游擊計劃
page 5	Ｘ軍馳援遭我截擊
page 5	廣州Ｘ軍禁運貨物出口組織水陸檢查隊
page 5	漢奸六名在赤坎被擒
page 5	西線情勢弛而復張Ｘ犯蘆西禪炭線均受創良崗頭樂坪Ｘ軍中伏
page 5	我壯士襲馬口
page 5	蘆西線Ｘ蠢動
page 5	Ｘ機炸大塘村
page 5	禪炭線大激戰
page 5	新會團隊改編別動隊後歸古鼎華節制李周分任司令
page 5	Ｘ艦艇在白沙　三江睦洲又再度告急江會沿線前午砲聲甚密
page 6	粵南實施第一期之清野計劃劃定合浦至聞為清野範圍政府與民眾奉行不力者嚴辦
page 6	四邑米荒仍未稍減古鼎華之調節糧食辦法
page 6	惠陽補行煙民登記
page 6	中山縣府嚴禁提高物價
page 6	粵北鐵路軌掘運完竣
page 6	中山沿海Ｘ艦來去行蹤
page 6	增城新塘河面擊沉Ｘ艇溺斃Ｘ兵十餘人
page 6	番禺政警隊襲沙灣Ｘ擊斃漢奸杜某
page 6	新會深壘三江兩鄉合力殲Ｘ續記
page 7	誰是新富翁夏季馬票今日開彩昨已售出十八萬張打破去年夏季紀錄
page 7	順德邑僑昨歡讌麥德如
page 7	宋美齡非到港
page 7	越政府頒布華僑入口新例
page 7	某巨紳防盜之建議應增設崗警及派隊巡邏
page 7	中國紅十字會謝婦慰會贈車
page 7	女防毒班實習
page 7	嶺南大學籌賑中旅劇團將義務出演
