page 1	英蘇談判之進展
page 2	鼓浪嶼當局拒絕日領要求英大使館參贊向日抗議並將派陸戰隊登陸護僑
page 2	中英文化協會將在香港設立分會中英庚款會撥出一萬元在香港大學設若干學位
page 2	Ｘ播謠言偽做勝利
page 2	企圖擾亂國際視聽Ｘ方大造謠言誣我忠勇旅長被俘無中生有殊覺可笑
page 2	豫南之Ｘ節節敗退
page 2	開封之Ｘ恐慌異常
page 2	粵我軍積極反攻新會Ｘ機轟炸四會高要
page 2	全國生產會議宣言一
page 2	華北偽幣不流通蒙藏偽幣市價略穩
page 2	抗
page 2	中
page 2	離石之Ｘ蠢動被擊
page 2	北平一帶游擊隊甚活躍第八路軍在懷來與Ｘ激戰
page 2	南昌方面戰事沉寂
page 2	蘇北我軍進迫漣水
page 2	Ｘ機又襲汕市廣東銀行汕分行中一彈
page 2	找空軍飛滬杭路炸Ｘ
page 2	蘇聯新艦演習結果圓滿
page 2	桂省黨部調整全部機構
page 2	鄂北戰局已形穩定Ｘ包圍計劃被我完全粉碎我連克羅漢寺瓦廟集岳口
page 3	為防Ｘ機轟炸蔣委長告全國同胞書二一面積極疏散一面加強組織並竭合力防護留居　市居民
page 3	建國之基
page 3	留於城市
page 3	各級政府
page 3	迭克重鎮
page 3	德意軍事協定將在柏林簽字齊亞諾定期赴德聘問
page 3	日客機失事慘劇
page 3	Ｘ破壞英人在華利益視長江問題如何而定華北外商已受日人種種限制英商將要求政府採報復手段
page 3	如操左券
page 3	教皇否認提出但澤建議
page 3	星洲總督暫不更調
page 3	希特勒巡視西部邊防
page 3	英皇及后抵加當地民眾熱烈歡迎
page 3	抗戰精神
page 3	在淪陷區
page 3	日當局定期舉行五相會議討論應付歐局方略板坦入宮報告軍事
page 3	希特勒將發表強硬宣言
page 3	但澤國社黨員結隊遊行全市安謐如常未有事端發生
page 3	美國會對華態度友好
page 3	許成基蔡惠泉分戰德法選手
page 3	蘇聯頒佈海軍兵役條例加強海軍準備
page 3	西國參謀赴中立區巡視
page 3	意負外債數日
page 3	英國定期頒行首期徵兵
page 3	美僑伊頓夫人捐款助我將士
page 3	英討論蘇聯復文將提出新對案要求蘇保障鄰邦英又為蘇保障英法蘇三國商定各項實際軍略
page 4	撈獲西人屍體疑是船員墮海溺斃
page 4	防空特別班參加者之資格
page 4	二千兩私煙案兩被告無罪獲釋
page 4	法民航機縮短飛行時間由倫敦至本港僅一星期
page 4	英賑難會開始沿門勸捐
page 4	印警受賄疑案押候二十日再審
page 4	粵賑濟會教員登記結束
page 4	名勝攝影展覽籌得千七百餘元
page 4	華商籌賑會議
page 4	中央院五九獻金
page 4	私梟貸利息　偷運大量桐油來港運船兩艘被我海關截獲桐油三千罐值三萬餘元
