page 1	歐戰將擴大乎
page 2	波軍英勇抗敵浴血堅守華沙德軍隊砲轟華沙及慕德林華沙城內無一寸完好土地
page 2	歐戰以來各國商船被擊沉統計共計四十一艘其中英佔多數
page 2	英情報部指出潛艇易受襲擊魚雷艇及潛水炸彈均足制潛艇之死命
page 2	美機十五架飛抵菲島
page 2	德蘇協定手續完成已發生效力
page 2	加拿大西部豐收
page 2	希特勒已為蘇聯挾持不得不將廣大領土讓於蘇聯蘇聯在巴爾幹勢力突然澎漲
page 2	德軍事當局將在秋間施行三項基本軍事計劃充份運用飛機潛艇以打擊英國決在一年內在西防線作一決戰
page 2	張伯倫在下院今日發表演說答覆意相和平建議表示英國作戰決心
page 2	美海軍同志會發表宣言主張建設龐大之海軍以便保護東西兩洋利益
page 2	英機再飛德境散發傳單
page 2	美修改中立法案運動參議員中已多數贊同
page 2	新西蘭政府出兵參戰
page 2	法軍先發制人在西線開始猛攻希特勒企圖破壞中立國衝過荷比進攻英法聯軍
page 3	冀南我軍衝入大名東關豫東日軍圖增援開封不逞
page 3	晉西南柳林日軍南犯日機空襲陝南川北
page 3	津英日駐軍發生衝突
page 3	贛中奉新日軍西犯上富展開激戰高安前線戰事轉沉寂
page 3	嶺東日軍進犯澄海我軍與日軍苦戰
page 3	漢口在無形中被日封鎖外人商業權益已逐漸被消滅
page 3	滬我流動隊潛入江灣擬炸日飛機庫
page 3	野村吉三郎就任日新外相將採對美修好政策外交人事將大加更調
page 3	蘇軍續向波境推進
page 3	韓人赴滬將受限制
page 3	德國一煤礦發生爆炸
page 3	意內閣定期會議討論內政問題
page 3	日人欲在豫省築一鐵路溝通開平間交通但為游擊隊破壞
page 3	德國爆炸案頻頻發生料係工人所為
page 3	波在淪陷區成立秘密團體反抗德蘇兩國
page 3	國際反侵略運動中國分會昨召開二屆理事會議
page 3	英瑞貨船兩艘又遭毒手
page 3	愛國外長抵莫斯科與蘇簽新商約
page 3	德在空中佈炸彈網阻止敵方飛機前進
page 3	波蘭潛艇逃入瑞典
page 3	土國近岸意軍即將撤退
page 3	蘇聯封鎖紐瓦河道芬蘭航業將受影響
page 3	李如璋昨因重傷斃命
page 3	大美晨報復刊
page 3	日機空襲浙東
page 3	駐華沙美大使昨抵巴黎
page 3	僑法波民促入客軍
page 3	湘北我軍反攻進展甚速營田戰事異常激烈鄂東我軍改取攻勢
page 5	日軍一部昨又撤退
page 5	每屆夜後仍有接觸
page 5	日犯大小淋之經過
page 5	一週以來我機日夜飛襲廣州記
page 5	增從戰訊近誌神岡外圍連日激戰我一度攻入沙貝村太平場日軍略增加
page 5	戰區司令部統一作戰指揮昨經訂定辦法通令所屬遵行
page 5	粵省難民組訓會已成立
page 5	縣政訓練所定雙十節開學受訓人員定期集中團隊學員調集辦法
page 5	從化軍民英勇抗戰當局傳令嘉獎有功將士
page 5	沈秉強任戰區糧管處長
page 5	行政院通令疏散城鎮物資
page 5	東路沿岸形勢確已轉緩我游擊隊曾夜襲深圳
page 5	日犯澳頭知難而退
page 5	日機前週飛襲河源
page 5	鋤奸團與日軍血戰
page 5	我軍前夜再襲深圳
page 5	中山大坳等民眾慰勞抗戰團隊
page 5	廣東省各界紀念九一八誌
page 5	嚴禁不法隊兵勒索
page 5	粵北五縣禁絕煙毒
page 5	嘉獎南海征兵鄉長
page 5	日軍向橫門增援後昨廿四日又有一部撤去兩日來雙方陣地均無甚變化大小淋島亦由吳盛如部收復
page 7	火場面積縱橫萬尺
page 7	火乘風勢蔓延極速
page 7	小童三人失而復得
page 7	滅火機車全部出動
page 7	鍾聲憩廬化為灰燼
page 7	損失估計七八萬元
page 7	救傷隊總監莫理士已辭職
page 7	婦女慰勞會倡募寒衣寄贈前線抗戰將士
page 7	本港各僑團將聯祝雙十節
page 7	飛機模型比賽定雙十節舉行
page 7	順德邑僑籌賑賣物會定本月三十日開幕各界踴躍捐助貨品
page 7	象棋三名手又作金牌賽月圓之夜開始舉行
page 7	導遊女遇搶匪
page 7	域多利道昨午大火焚毀棚廠木屋數十間損失約七八萬元四男女受微傷鐘聲泳場附設之　廬化為灰燼
page 8	各界賑聯會計劃救濟新界難民今日召開各社團聯席大會
page 8	高級法庭提審態度太古船塢工人被殺案主控律師述慘案發生經過
page 8	般含道區自衛團昨開街坊會議
page 8	兩賊夜劫茶寮
page 8	是年上半年我國對外貿易較去年同期增八千餘萬
page 8	公開男子籃球賽定下月十一日開始規定星期三六晚舉行
page 8	棒球義賽收入成績公佈進支比對實得百元餘
page 8	心嘉杯賽戰績
page 8	南征足球隊在菲大捷四比零再挫譚瑪士南隊昨已動程返港
page 8	補充統制外匯法例嚴密限制英人購買外匯售賣外幣須與政府交易
