page 1	所謂新文字運動
page 2	晉東南我軍進展順利陽城近效各據點多已被我收復中條山我軍連日出擊斬獲甚夥
page 2	陳誠將軍談豫鄂大捷意義一證明日軍在軍事上已致崩潰開始時期
page 2	日偽陰謀之一般
page 2	二戰場形勢慨觀
page 2	會戰經過概要
page 2	湘北我軍大舉再襲桃林
page 2	豫鄂邊境戰事我已獲得全勝唐白河以西日軍完全肅清日後大殲滅戰將壯烈展開
page 2	薛岳撥款捐助比國軍民
page 2	漢口日軍車觸我地雷
page 2	信陽方面作捕捉戰
page 2	豫鄂邊境最近戰情
page 2	豫南我軍迫五里店
page 2	棗陽日軍向南潰竄
page 2	江都大橋發生激戰
page 2	粵北我殲日三千餘良口東北已無日蹤殘日向南竄逃我正分路緊追
page 3	德機襲擊英倫東岸
page 3	德機濫炸不擇目標
page 3	聯軍信念極為堅強
page 3	英機活動規模更大
page 3	英法肅清第五縱隊
page 3	聯軍渡河猛攻德軍
page 3	亞眠方面戰情甚劇
page 3	英政府實行戰時獨裁統制一切私人工業動員人力獲取勝利
page 3	美否認撤退駐滬美軍
page 3	智利沿海一帶發生劇烈地震利馬加魯兩城房屋傾塌千餘
page 3	托洛斯基遇險經過
page 3	南菲總理慶祝七十壽辰演說謂南菲政府將取締第五縱隊
page 3	羅當局搜捕疑外人
page 3	美訓練　萬空軍駕駛人員
page 3	英外交界推測意國或將參戰英要求意國表明態度意憲報發表動員條例
page 3	英取迅速手段改善對蘇步驟蘇聯向英表示談判之門未閉
page 3	開羅各清真寺為聯軍作祈禱
page 3	倫敦當局捕獲法西黨人
page 3	美國麥吶氏主張準備充實武力希望各方停止無謂爭論誓以全力維護美洲安全
page 3	荷女皇發表納粹黨人詭謀謀擄女皇未遂
page 3	滇商李芝興遺囑捐款勞軍
page 3	生產教育經費政院會議通過增加四十萬元
page 3	教部令各校注意學生健康
page 3	政務視察團定期出發
page 3	英要求美國暫時收容難民
page 3	德保商務談判經已圓滿結束
page 3	聯軍已將缺口堵塞沿海德軍後路被斷甘畢拉西北一帶戰情極劇烈法軍克亞眠握守森姆河南岸
page 5	揚言將向鶴山進犯
page 5	江佛路之篁莊附近
page 5	亦已繞抵中山某地
page 5	李主席整頓吏治懲辦惠寶　職稅務員惠陽稅局職員多被扣留
page 5	搶救難民與招撫土匪流為盜匪多係環境所逼設法招編可免為人利用
page 5	省府議決仍准牲畜出口陸豐縣府請弛禁與洋米輸入有關
page 5	廣州市內日軍戒嚴越秀中路劃為禁區所有禁區住戶均被日軍佔駐內有數大廈改為日軍倉庫
page 5	李主席報告禁賭意旨不渝
page 5	我軍反撲血戰鴨洞
page 5	日軍企圖竄牛背脊
page 5	橋欄村日軍全被殲
page 5	花縣我軍向南挺進
page 5	良口東南激戰仍烈
page 5	犯從花日軍被殲過半我機動部隊掃蕩殘餘日兵橋欄村日軍五百餘名完全被我殲滅從化日軍力竭　窮花縣我軍續南追
page 5	犯　崗日軍官重傷
page 5	建廳加緊維持後方軍運訂定征租商車辦法
page 5	軍委會在桂林設督導團
page 5	日艦頻駛台山兩陽海面
page 5	日機飛海豐投彈炸長沙市在博羅散荒謬傅單
page 5	中央招聘大批機器工人赴渝在韶設人才調劑分站
page 5	日軍千餘增到九江又揚言犯鶴山我已嚴密戒備順德我某部團隊已續抵中山準備發展機動戰略襲擊日陣區派隊增防梅閣舉行軍民聯歡大會
page 6	福和官塘被我控制
page 6	增江我軍衝入鶴嶺
page 6	增郊民眾勇襲日營
page 6	西江各鄉禁煙成績觀成績呈報恐亦一紙空文
page 6	第一區政訓室工作近況
page 6	招收義民五百名闢檀僑墾植區
page 6	全省保育教養會議決定怎樣教養廣東兒童二依議決辦法切實推進
page 6	東線戰事亦劇烈我衝入鶴嶺撲攻福和日機連日偵察增博各地增郊民眾勇戰衝入日營
page 7	荷輪照常開滬載去貨客甚多
page 7	廣州大學慰勞隊昨返港
page 7	貨物運歐手續輔政司昨日公佈
page 7	童軍技能比賽總隊長勖勉中英青年應隨時準備為國犧牲
page 7	海軍團冠軍
page 7	總隊長訓詞
page 7	瑪麗醫院限制收容肺癆病人該院肺癆病房面積太小可以救治者始准其留醫
page 7	管理露天招牌改由衛生局負責
page 7	長沙會戰今日在中央戲院復映
page 7	因賭打架斫傷頭顱兇手被警捕獲
page 7	鄉村少年初來港地路逢騙匪誤信是鄉親合股購煙包內原來是肥皂偵探在旁察覺兩匪即被擒
page 7	節省陽光法例華民司解釋其範圍兼營非特許夜售貨品之商店似亦須於晚上八時以前收市
page 8	港政府修改防衛法例原例訂立已久缺點尚多
page 8	瓊崖同鄉會籌款建築會所
page 8	港進出口貿易仍增四月份總值一萬三千一百萬元
page 8	嘉美露壯志未銷擬再建帆船航海船名和平聖母號
page 8	修改新界法例
page 8	籐商捐萬金慰勞豫鄂將士
page 8	中山同鄉濟難會新委員昨選出
page 8	文協會組織之音樂會決結束華南合唱團亦改組
page 8	七賊夜劫農戶
page 8	廠商聯會年會議決加緊籌建會所
page 8	兩賊劫女教員
page 8	第六次特別賽馬昨舉行夏季大彩票同時開彩首名票號為○○一二○五傳獲獎者為富商高福申氏
page 10	昨日棒球聯賽4比7中華挫香港今日岷甸奴戰工程南華新軍下週上陣
page 10	宵來公開籃球賽甲組鐘聲擊敗華僑乙組精武青年乙打勝仗
page 10	今日之戰
page 10	九龍學籃頒獎表演賽培道南華華雄告捷
page 10	昨學界排球戰績
page 10	小型球聯會選出三屆職員
