page 2	答冼法階君
page 3	議員司徒穎呈曹錕謂廣州僑商街產業被孫文查抄
page 3	將明令裁撤駢枝機關三十一處
page 3	蕭耀南熊炳琦均入覲
page 3	方本仁軍分兩路援粵一梅嶺一大瘐按方軍已到始興
page 3	趙恒惕廿三日派鄒禮賀蕭耀南升巡閱使願竭誠擁戴惟湘憲關係民意只可修正不能取消
page 3	餐恒惕派江雋賀曹錕壽並聲明附北誠意
page 3	湘省善後現由馬濟及鄂代表胡保華與趙恒惕商辦趙擬留沈鴻英一部駐郴州唐生智駐衡州蕭耀南亦擬留一混旅協防湘南惟沈軍已定全部赴粵郴州由葉開鑫接防由全州繞道湘境赴粵之沈軍現在道縣集合
page 3	趙恒惕佈告敵眾潰竄其家屬盡入我範圍懼禍之情必甚迫切匪徒藉詞為害亟所宜防各軍官負有保民之責應嚴飭所部衛護俾獲安居
page 3	財政司通令譚延闓所帶粵印花不能行使
page 3	蔡鉅猷部失漵浦武崗後退走洪江
page 3	王永泉部由千金廟進迫永春
page 3	孫傳芳在魯豫募兵四千五
page 3	孫傳芳游說張毅北歸張要求太奢孫不敢允
page 3	吳佩孚令吳新田全部援川已抵川北
page 3	北京報界組設團體定名北京新聞記者公會決下月二日開籌備會
page 3	廿四日曹錕長兄鎮來京聲言始終經商不問政務
page 3	曹錕將畀曹英熱河屯墾督辦
page 3	陳宦抵津
page 3	徐州議員王茂林先為張文生運動蘇長不成又運動李厚基長蘇聞齊燮元對李不反對
page 3	唐在禮護路督辦名義尚未定
page 3	張作霖派代表來京津仍堅持在榆關開和平會議說
page 3	旅滬議員復有組政府建議
page 3	戰局最近之形勢
page 3	許崇智離省赴滬之所聞聯軍內訌又烈
page 3	蓄機待發之第二次廣州大戰
page 3	警告孫文趨向共產制之外論
page 3	爆炸隆生輪之抗議
