page 1	墨索里尼之態度觀測
page 2	贛北奉新之Ｘ遭我痛擊Ｘ犯鶴公腦被我軍擊退
page 2	鼓浪嶼形勢嚴重英考慮派隊登陸護權日對鼓浪嶼所提要求英必拒絕英美兩國對日已提出嚴重抗議
page 2	軍委會發表一週來戰況鄂北展開一大殲滅戰豫南之Ｘ遭嚴重打擊
page 2	湖北方面
page 2	贛北方面
page 2	平寧兩偽組織召開聯合會議討論發行偽鈔事件
page 2	廣東方面
page 2	鄂南我軍克復葛店鄂城鄂中我軍克岳口圍皂市兩路追擊殘Ｘ包圍天門
page 2	廊房附近鐵路被我毀壞我游擊隊活躍在　縣威脅Ｘ
page 2	為防Ｘ機轟炸蔣委長告全國同胞書一一面積極疏散一面加強組織並竭全力防護留居城市居民
page 2	河南方面
page 2	不外三點
page 2	晉Ｘ增援揚言再度西犯靜樂之Ｘ遭我痛擊
page 2	抗戰軍興
page 2	日臻完備
page 2	全國同胞
page 2	粵當局歡迎華僑返國經營工廠辦理實業政府決予保障及一切便利粵戰局我軍出擊均獲進展
page 3	英大使接納西國勝利巡行之邀請工黨議員表示不滿大呼可恥
page 3	全國生產會議蔣委員長訓詞續
page 3	英大使蔻爾定期由渝飛昆
page 3	西政府通過國民勞役方案
page 3	軍事時期
page 3	國聯行政院開會將不討論但澤問題波蘭對此意見表示同意國聯會議展至月底舉行
page 3	英對愛拉立三國未負任何義務
page 3	英美抗議Ｘ機濫炸重慶日政府答覆極為滑稽
page 3	固有生產
page 3	科學技術
page 3	厲行節約
page 3	加總理率全體閣員赴基拔歡迎英皇及后英皇等將於星期五抵奧太華
page 3	英外次出席眾院報告對華事件英輪被扣案已向日抗議積極協助中國發展實業
page 3	中華書局在滇設辦事處
page 3	日在租界擅目綁架滬各團體聯合抗戰要求將被架去五人立即釋放並保證以後不再有同樣事件
page 3	德意軍事同盟將在柏林簽字
page 3	勞資合作
page 3	法記者李蒙夫婦抵贛
page 3	Ｘ在海南竟築潛艇海港
page 3	廣州發生霍亂傳染症佛山方面更劇
page 3	日政府人員注意歐局發展
page 3	豫南克唐河後殘Ｘ狼狽潰竄唐河之役斃Ｘ千餘豫東情況轉趨沉寂
page 3	劉廷芳等抗Ｘ有功孫副司令長官特電傳令嘉勉
page 3	政院會議
page 3	歸結起來
page 3	沙王一行謁閻公畢即赴榆林
page 3	我軍進攻嘉善
page 3	英蘇會商組友侵略集團英已接蘇覆文現在加以研究料英法蘇三仍可獲得妥協
page 4	私藏無線電機三被告每罰千元
page 4	文森女救護隊日問轉趕東江
page 4	藏械案昨詳臬
page 4	郭泉仍任普益商會主席
page 4	劫案又獲疑犯
page 4	又破獲一毒窟
page 4	洪流劇團抵澳在該地公演後即來港
page 4	少婦作賊入獄
page 4	惠羅公司年會連卡刺佛亦定期舉行
page 4	摩登婦路遇搶匪
page 4	救傷隊將派救護車駐九龍
page 5	Ｘ迂迥進犯大澤
page 5	我大軍乘勢出擊
page 5	中山縣婦孺緊急疏散岐關車開至深夜十二時始止張惠長之談話
page 5	Ｘ迂迴再犯棠下
page 5	新鶴戰已移井根
page 5	蓮塘線滿佈游擊
page 5	Ｘ沿江犯高鶴路
