page 1	大小洋比率問題之議論三此與粵人切身利害有關分日刊登以供社會研究
page 2	外國商民贊同我徵所得稅獨日商人獨有懷抱耳
page 2	財部決派徐堪赴粵實地調查金融情況以為改革粵省幣制之準備
page 2	日讀賣新聞發出惡宣傳企圖擾亂世界觀聽謂中日關係更陷深刻危機
page 2	永見奉派赴長春向植田報告侵華策所謂華北理想區將分兩步驟進行
page 2	切實統一軍令魯軍番號須改編蔣伯誠將來粵報告短期內再赴魯一行
page 2	蒙偽軍　集商都趙承綬電傅告急平地泉我軍尚單薄應即增援以資應敵
page 2	太平洋學會在美開會討論遠東和平問題成立維持太平洋和平之國際機關締結太平洋國家互助不侵犯條約
page 2	川樾今日由青赴津召開高級幕僚會議商討中日外交及開發華北經濟
page 2	瀋陽案後五週來東北同胞日遭蹂躪工商業被摧殘捐稅日苛重民眾受壓迫多加入義勇軍
page 2	廖士翹率部圍剿偽獨立營獲偽工作團主任
page 2	津市警憲機關協助海關緝私海關稽查分卡刻正積極籌備
page 2	余漢謀黃墓松提議嚴懲馮銳
page 2	李白態度略轉桂局或不致用兵蔣仍未放棄和平計劃
page 3	平榆機車脫軌各項客車均被阻延
page 3	前駐粵總領河相調任駐滬總領昨已乘輪返國
page 3	豫省長人邵金祿逝世邵生前腦力特強操算登賬有奇術
page 3	幾何三大難題新證法現正譯英文本會向世界教學會公佈
page 3	日人在閩施文化侵略擴充同文書院廣招華籍學生麻醉我國青年
page 3	主計處請財部派員會商會計制度
page 3	湘省選舉總監請釋疑義四點總所昨已予以解答
page 3	漢市檢私委會實行檢私工作
page 3	班禪返藏有問題短期恐難實現
page 3	張自忠赴平報告津市近況
page 3	交代完畢永見即行返國
page 3	何鍵日內來粵謁蔣報告湘事
page 3	日人在滄縣租地開辦洋行經理為武人貨物為軍火
page 3	遺失縣印岡邑縣長撤職
page 3	洛潼公路限九月底竣工
page 3	廿二年度全國社教概況
page 3	雍大昌奮勇殲匪蔣特傳令嘉獎
page 3	橫渡錢江游泳賽陳文和創紀錄
page 3	　朝俊昨已赴漢履新
page 3	法英等十二國均已贊成對西中立惟獨意德兩國未有若何表示
page 3	西班牙內戰兩軍殘殺極慘對抗雙方互報勝利
page 3	津麵粉交易所昨舉行創立會
page 3	滬各業公會職員舉行公民宣誓
page 3	馮玉祥參觀盧林泳池
page 3	滬廿三文化團體歡送出洋學生
page 3	中華職社教年會昨在川大開幕
page 3	日海軍少將必野正佐抵牯
page 3	在滬日商開會反我所得稅
page 3	修改國聯盟約法外長發表意見
page 3	女子游泳
page 3	托勒斯基聲明未作政治活動
page 3	朝鮮警探捕獲蘇俄密探北鮮各地軍情多曾被其洩露
page 3	未能懷國事佛徒請參國選總所刻已予以解答
page 4	美軍勝利曇花一現
page 4	卓莊施威反敗為勝
page 4	十七比六日青告捷
page 4	英京銀價無變動
page 4	克英隊約合群複賽
page 4	友誼小球賽彙誌陽光社僅勝勵行隊
page 4	乙組公開籃球賽今晚有四場舉行
page 4	英對美匯兌略漲
page 4	壘球比賽趕早結束由華僑培正爭冠軍拖略沙岷甸奴及坎拿大三隊除名昨日培正十比九勝義勇軍十七比六東方被日青擊敗
page 5	恩平縣民眾請開放大肚婆山金礦竟聚眾至二三千人強奪開採余縣長電中區省府派隊彈壓
page 5	黃紹友抵省情形
page 5	十八師駐潮之措施規定換幣價格舉行新運大會
page 5	國幣粵路暫定比率
page 5	新運大會定期舉行
page 5	粵定師額決不變更每師一律改為三旅制各派番號已明令發表
page 5	黃埔行營昨對桂事之商榷香翰屏譚啟秀將赴桂作最後斡旋如桂仍不悟即護黃入桂組桂綏署
page 6	徐景棠飛邕不確
page 6	洋米減稅案米商之貢獻意見
page 6	工商聯請撤銷筵捐之積極不達目的不代收
