page 1	三中全會中之救亡問題
page 2	蔣氏辭呈
page 2	大會決議
page 2	蔣委員長向大會提出西安事變報告並將張學良八項主張真實陳述大會對該項主張決議不予置理
page 2	蔣委員長報告
page 2	大會決議文
page 2	黨政經教各審查組報告各案審查　見彭學沛等提促進農村建設案蔣作賓等提請疏濬揚子江案
page 2	主席團明晨開會
page 2	各提案審查完竣
page 2	五次會今晨舉行
page 2	西安成立軍警聯合辦事處何柱國晤張後昨由京飛陝張囑何誥誡部屬擁護中央
page 2	蔣向全會呈請辭職大會一致決議慰留大會宣言被稿擬妥可提大會討論何時閉會須在今日大會臨時決定
page 3	包爾溫辯論詞
page 3	引起美方注意
page 3	朱培德遺體今日舉行大殮在京中委均將參加
page 3	日關東軍強募民伕十五萬築防共永久陣線限四月底完成以張家口為終點
page 3	新運三週年各地開會紀念新運總會蔣會長致訓詞推行新生活在提高國民道德與精神望國人一致實行完成復興民族使命
page 3	各地開會
page 3	中央銀行改組事現仍在考慮中
page 3	聯合艦隊謀長岩下因病逝世
page 3	軍委會辦公廳主任由吳思豫暫代
page 3	會長訓詞
page 3	一個要素
page 3	切實推行
page 3	僑滬西班牙人成無政府狀態各方請領事團干涉否則由我政府暫治
page 3	哈同遺產一萬萬元判歸華籍夫人哈同親屬擬再上訴請求佔得四分之三
page 3	張群有辭外長說
page 3	以身作則
page 3	集中力量
page 3	法意政府頒佈法令嚴禁志願兵赴西不干涉小組委會昨舉行會議葡反對監察志願兵入西計劃
page 3	巴爾幹四國政治會議閉幕
page 3	墨索里尼將赴北菲視察
page 3	日新豫算案財政界多滿意可望通過實業界因征收重稅頗致不滿
page 3	英下院以大多數票通過國防公債案包爾溫對該案作奮激之辯護謂唯一目的在維持世界和平
page 4	今日甲組尋常杯賽東方會初逢施福隊九華初遇香港會中華再逢九龍會
page 4	美國人踢足球每季有六萬人受傷傷者多數為青年學生引起教育上嚴重問題
page 4	一九三六年死二十八人
page 4	每季開始時受傷者最多
page 4	扶創再應戰賽後遭慘斃
page 4	頭部易受傷十傷有八死
page 4	今晚籃球賽秩序
page 4	蘭芳杯賽雪峰棄權今晚祇得中央對工商
page 4	英京銀價昨略漲
page 4	英對美匯兌轉漲
page 4	港外匯先好後穩
page 4	八九金價昨略升
page 4	舊中紙市道呆滯
page 4	省法幣價昨趨升
page 4	滬外匯市情趨好
page 4	省西紙價仍報降
page 4	欄主任周德裕今日赴星表演象奕李善卿公私　集不克前往
page 5	財部不撤洋米稅昨覆米業公會
page 5	桂省仍未弛米禁
page 5	省府組設計委會昨日正式成立
page 5	解決營業稅與統一商運問題市營稅局吳秘書之談話此兩案併行與否仍由財廳核示調查商業情況之商代表提議
page 5	航商請弛封灘禁後航政當局之意見航商所陳理由欠充分政府已派員實地調查一俟調查明確後始能榷定辦法
