page 1	一二八之六週年
page 2	紀念一二八我機飛臨滬空散　紀念抗戰傳單市民仰望聲雷動
page 2	滬西摩窟發生命案土販王修睦被刺
page 2	晉南戰況各中襲Ｘ均獲勝利
page 2	灣沚之Ｘ傷亡頗重
page 2	晉南Ｘ圖攻中條山宣傳肅清中條山準備渡河
page 2	西南行營發表西南戰局浙我軍活躍Ｘ死守杭州城岳陽東門被我軍一度衝入
page 2	一院南方面
page 2	二江浙方面
page 2	三增城方面
page 2	四花縣方面
page 2	岳陽方面
page 2	六永修方面
page 2	Ｘ財政經濟已屆山窮水盡淺田聯提議強化防共協定俾得奧援軍部不滿議會言論主張加以約束
page 2	永濟偽自衛隊隊長率隊反正
page 2	遭我痛剿突圍向固陽逃去
page 2	國際反侵略會今日開會宋子文邵力子致電大會申賀
page 2	Ｘ軍部不滿平沼內閣謂其失之軟弱
page 2	Ｘ喬裝入滬租界綁去我國官吏橫行強暴可見一斑
page 2	中央撥款十萬補助疏濬黃水
page 2	彭德懷願將第八路軍撥歸中央直接統轄並取西北邊區謀進一步國共合作接管各項手續現向中央方面協商
page 3	西國民軍部隊開入巴塞羅納
page 3	法外長聲明仍不干涉西亂西國問題應由西國自身解決之
page 3	模範抗日根據地的勝利陸晉冀察邊區粉碎Ｘ人圍攻經過經驗與教訓
page 3	希特勒將提議召集國際會議討論殖民地問題張伯倫不示反對
page 3	充分的準備與沉著堅決
page 3	二正確的領導與堅固的團結
page 3	英法對捷貨款談判將告成功條件數目已商定惟利息問題未決
page 3	國民軍獲最後勝利後西班牙將恢復君主制由廢王之子唐璜親王登大寶
page 3	齊亞諾將訪柏林
page 3	謀先從西歐獲取勢力德擬在東歐暫採守勢派代表團赴蘇談判商業協定向波蘭保證不贊助烏族獨立
page 3	出超突增達一億餘萬元
page 3	法眾院通過信任現政府方案深信政府必能善為警備俾得維持領土之完整
page 3	又遣妓五百名來滬充作間諜
page 3	美婦女團體提議修正現行中立法俾克實行禁止軍火運往日本
page 3	智利地震災情甚慘災區內各村落多已盡成邱墟
page 3	法小說家李安提議設難民區收容西亂難民
page 3	法外長談外交政策涉及遠東時局英美法三國在遠東所處地位始終以華商九國公約為根據法蘇協定仍屬有效
page 3	法航空視察團將赴美交涉訂購軍用機數百架
page 3	美參議員主張撤銷禁止軍火運西令俾美國得以援助西政府軍
page 3	諾貝爾抵菲島
page 3	雷嗚遠將入戰區工作
page 3	粵省府豁免災區地稅
page 3	滬廠商首批徵品運美參加萬國博覽會
page 3	世界風雲緊急羅斯福召回各駐外使節研究國際時局問題倘世界大戰在本年春間或夏間爆發羅斯福則必挺身出任救護和平工作
page 3	巴塞羅納陷落後地中漲形勢緊張意政府召集義務兵回營服務法總理召開最高軍委會會議
page 4	港九住客聯會今日行成立禮
page 4	英賑難會會議並歡迎新幹事
page 4	肺癆症之呈報兩日內四十二宗
page 4	港婦慰會將再演劇籌款
page 4	墮樓小童已死
page 4	巴度苗任新職
page 4	諾貝爾已抵岷菲軍政長官　　歡迎
page 4	漁船禁載搭客一船主違例被控
page 4	陳公哲個展會今晨行開　禮
page 4	還債運動近訊
page 4	炮兵勒索妓女
page 4	港海發現一破舟
page 4	廖炳泉宴江亢虎
page 4	博羅巡情慘重災黎統計十萬有奇飢寒交迫嗷嗷待哺望各團體速起救濟
