page 1	論列為外交政策
page 2	大部開援晉西南我突襲汾西城張店之Ｘ向我進犯被擊潰
page 2	常州Ｘ軍受我威脅城商店停業
page 2	京滬路我軍挺進
page 2	偪龍墟血戰Ｘ不支退新街汕海Ｘ艦集中但無異動
page 2	軍委會發表各路一週戰況晉西Ｘ圖奪軍渡不逞鄂中潛江岳口Ｘ崩潰
page 2	山西方面
page 2	鄂湘方面
page 2	贛北方面
page 2	其他方面
page 2	滬江灣高射砲甚密Ｘ謂醫治軍隊惡睡試放空砲消遣沉悶時間又一醫治睡不安適新法
page 2	贛北戰事連日沉寂
page 2	桂臨時參議會滿完閉幕
page 2	Ｘ機九架狂炸恩施
page 2	四月份上海巡捕搜查統計共達一百萬次
page 2	滬綸昌公司英職員廷格拉昨傷逝頭部腹部均被Ｘ毆重傷英政府對此案甚為重視
page 2	江海關添僱日員
page 2	我空軍飛隴海路轟炸Ｘ軍械庫
page 2	蔣飛華中前線召各將領指示機宜當局對華中戰局甚重視指派大軍開赴前方增援
page 3	蘇聯對案全文
page 3	駐美蘇大使呈遞國書
page 3	華北抗戰之過去現在與未來二
page 3	二政治民運工作之發動與展開
page 3	一軍事上機動游擊戰之開展
page 3	外匯管理局停止賣出外匯制止日人吸收外匯準備金低減外匯價適應貨幣市情
page 3	世運執委會在倫敦開會出席代表二十八國
page 3	英轟炸機試航失事
page 3	波要求英金融援助俾克擴充軍備英將予波蘭以大批信用借款波希望英法蘇協定早日成立
page 3	日大藏省澈　調查民間金製品強迫各界呈報所存金製品以備將來用政府收買使用
page 3	英皇夫婦已入美境美當局準備歡迎
page 3	美眾院討論新中立法草案
page 3	意駐英大使返羅馬出席法西斯最高會議並報告英國政府最近趨勢
page 3	在滬亡命白俄受Ｘ利用組為白俄義勇軍何時成立尚未定
page 3	日圓起跌不定有類病人寒熱滬英文週報評論
page 3	傳莫洛托夫擬辭人民委長專任外長
page 3	法政府任命陸海空軍總司令甘茂林達萊伏明當選
page 3	英海軍大臣報告打撈施太斯潛艇工作潮水緊急工作極感困難天氣晴朗即可開始試絞
page 3	蘇中我軍一度克復句容
page 3	因剌程疑犯事件天津局勢緊張日對英答覆未能滿意日軍將採取單獨行動
page 3	澳日商訂商約
page 3	日政府決定對歐態度中立但軍人促與德意合作日駐意大使將返國鼓吹日德同盟以與即將成立之英法蘇同盟對抗
page 3	英派代表赴蘇繼續英蘇談判主要問題雙方意見已趨一致英政府已能滿足蘇政府要求
page 4	騷擾英京酒家嫌疑水兵押候再審
page 4	海外僑胞踴躍捐輸救國
page 4	車輛失事統計去週死三人傷廿七人
page 4	華商籌振會議改每兩星期開一次
page 4	戲院職工總會籌設九龍分會
page 4	傳染症蔓延可怖衛生局厲行清潔運動對防礙衛生者嚴加取締庶免防疫進行勞而無功
page 5	一區公佈Ｘ擾河道
page 5	改善檢查便利疏散
page 5	三江一帶Ｘ蹤已渺
page 5	Ｘ屍數十飄流沿海
page 5	大良全城突告騷動
page 5	睦洲鰲沙均告無恙
page 5	擊落Ｘ機業已證實
page 5	省黨部省政府查八一三獻金
page 5	東江軍訊近誌增城近郊蛇頭嶺之激戰單容沛部襲擊石灘Ｘ營
page 5	圍攻增城激烈戰事
page 5	廣增路上Ｘ軍中伏
page 5	單部襲擊石灘車站
page 5	粵省參政員獻旗余總司令
page 5	瓊島我軍反攻樂會迫近城郊
page 5	韶州各界商談促進兵役問題探求服役未見踴躍原因商討促進改善征兵方法
page 5	省務會議誌要更調恩平南雄縣長
page 5	粵參議員分路出發勞軍
page 5	我軍遍佈潮汕海岸戰事有一觸即發之勢Ｘ艦增加之官方公報五日梅興被炸之詳情汕中中交三行准遷地
