page 1	美國加強國防單位
page 2	台灣日艦南開有侵越南企圖
page 2	日方表示英日關係繼續改善
page 2	日本報章反英論調依然強烈
page 2	晉西喜雨
page 2	龍州附近激戰宜昌南岸掃蕩殘日竄擾襄安日軍被殲
page 2	卡爾抵滬
page 2	滇緬路非禁運品恢復運輸
page 2	美經濟視察團受日酬金奧利安之談話
page 2	美四十二州代表協商加強國防羅斯福總統發表談話汛美會議獲重要成功
page 2	陳嘉庚抵昆明
page 2	德間諜在美活動
page 2	日汪繼續談判
page 2	美總統羅斯福派員視察英倫軍事要區並請英皇及邱吉爾艾登等要人參院議員貝巴氏主張賣艦與英
page 2	美人贊成潘　提議
page 2	美報讚揚英國民氣
page 2	全國鐵路員工鑄錢宗澤像
page 2	汪據滬稅務校
page 2	四行聯合辦事處積極發展農業經濟組省縣農業金融促進會
page 2	桂省搶救義民僑胞踴躍捐輸
page 2	桂婦慰團慰勞南路將士
page 2	津美電訊公司被迫停止營業
page 2	綏西連日大雨
page 2	徐悲鴻捐寒衣
page 2	國聯會職員乘車失事二十餘人受傷
page 2	美使注意日法談判昨向松岡提出質問我外交部長昨警告越南當局倘越發現日軍我取自衛行動
page 3	意軍深入必感困難
page 3	英倫空襲損失甚微
page 3	英艦巡防埃及海岸
page 3	英蘇商務談判現仍在進行中英始終希望迅速進展
page 3	英財相向下院提出財政補充預算案北　增加協助作戰資金東非屬土組　濟委員會
page 3	羅斯福視察海軍根據地
page 3	美蘇續訂商約大致與舊商約無異
page 3	杜爾康被拘捕
page 3	荷印土人入海軍校受訓軍校由荷遷泗水
page 3	貝當政府有塌台可能畢格里氏或繼起組閣
page 3	愛歸併蘇聯案蘇國會已通過
page 3	八百萬比民陷於饑饉美大使請美政府救濟
page 3	土京捕德間諜
page 3	意攻英屬索馬利蘭英陸空軍強烈抵抗德空軍司令揚言將大舉攻英
page 5	乾霧一度被日進擾
page 5	八區最近各種情況
page 5	江會各線最近戰情
page 5	日軍發動南侵後彼空軍之損失第三飛行團由台調廣州
page 5	外省貨物運桂訂定免捐辦法
page 5	省縣稅新劃分本月一日開始實行
page 5	增城日軍犯羅村遭重創
page 5	曲江建築抗日陣亡將士公墓
page 5	日軍開粵之後備隊一部分發東江各部補充所謂復興軍團長被扣留
page 5	粵積極流通各地米糧糧食轉運不經海關免證嚴禁奸商居奇杜絕資日
page 5	近市被水沖陷公路日軍限期修築如違以誤軍事論罪
page 5	四邑米價略跌雜糧價亦同時低降一區專署收買餘糧
page 5	香翰屏赴閩就邊區綏靖主任即調軍來粵鞏衛邊區日機偵察東路圖阻我交通日軍對南路交通加以限制
page 5	日艦派機偵查運輸
page 5	日軍限制南頭交通
page 5	日軍犯乾霧島被我擊退一度　登陸卒被民眾驅去斗門尚安　涌並非失陷
page 6	日犯瑞溪
page 6	軍政會議
page 6	粵北我軍繼續出擊神崗近郊發生劇戰我克敦和墟日圖反撲粵路我軍隊攻入大陵
page 6	神崗近郊爭奪激戰
page 6	新街外圍我克大陵
page 6	礦產品實施統制無論內運出口均須領取護照礦產品分甲乙兩種嚴防資日
page 6	汕尾海面日艦艇之窺伺
page 6	粵省舉行會計人員考試香港區不日舉行杜之英親來主持
page 6	日汽艇擾犯東西馬寧
page 6	發國難財之結果桂林鹽稅局員被拘已押送衡陽偵訊
page 6	中大四學院開始遷粵
page 6	韶關槍決要犯
page 6	廣州日軍以　手段募伕役民眾多為所誘不足額則強拉菜墟洋塘一帶店戶閉門歇業
page 6	有去無回
page 6	變更計劃
page 6	向眾宣揚
page 6	實行截拉
page 6	瓊崖我抗戰力量增強日兩路進犯瑞溪不退王毅召開會議決定抗建大計並擬出巡各縣考核各種成績日貨大量運瓊傾銷我已查禁
page 7	人才調劑協會繼續徵求技術人員第一期報名者已彙報總會核定去取後即可介紹工作
page 7	江南災情慘重旅港商人設法救濟
page 7	日領探問山口
page 7	商賑會昨會議決定八一三獻金辦法
page 7	獻金辦法略有變更
page 7	每月僅開會議兩次
page 7	小販聯會請助義賣
page 7	大埔五號山洞傾瀉山泥達一千噸前後已挖出屍體九具數日後乃可照常通車
page 7	露宿新界難民獲准搭棚收容搭棚費由省賑會港分會負擔膳費則希望各善團共同負責
page 7	教聯會籌祝教師節本年改於八月廿七日舉行
page 7	上水林馬坑兇匪行劫槍傷兩人旺角一住戶亦被賊光顧掠金飾現款共值百餘元
