page 1	粵省其將推行新運乎
page 2	我國完成統一有田詢我今後對日態度申述日在華特殊利益聲明不能有絲毫損害
page 2	余漢謀就職後廣州書面恢復常態蔣鼎文師已進駐大埔燕塘軍校生均已繳械
page 2	中央派機迎黃
page 2	劉黃同船抵滬
page 2	湘桂邊桂軍縮短防線蔣促李白入京
page 2	桂人蒙志黃權等勸李白團結禦侮
page 2	津市又鬧慘劇一場日軍擅拘我保安隊長發生誤會交涉結果我方又不免道歉賠償
page 2	張任民訪余漢謀維持兩粵關係桂當局願擁護中央
page 2	鐵部籌備粵漢全路通車考慮兩路接軌
page 2	中央對以前粵財政決定嚴予查辦現正調集證據辦理
page 2	海部對粵恢復第四艦隊陳策任司令
page 2	新任高法院長葉夏聲定期來港接事抵滬時發表談話痛斥粵法界不良
page 2	廬山會議開幕在即首都要人紛紛前往參加和平如達到最後關頭抱定犧牲決心全國陸空軍隊加緊訓練作戰時準備
page 3	蔣令粵機回防
page 3	宋哲元竟敢庇護陳石
page 3	增開平瀋車短期間難實現
page 3	各地商聯會請緩辦所得稅
page 3	曹汝霖湯爾和謙辭冀察政委
page 3	劉汝明昨日由察抵平就政委否尚未決定
page 3	冒充馬仲英代表案津院昨日宣判處有期徒刑五年
page 3	韓復　派代表謁蔣報告魯省軍政
page 3	李崇岡等返粵
page 3	日艦數十艘參加海洋演習
page 3	陳中孚張允榮赴津參加田代宴會
page 3	宋哲元今日歡宴法使
page 3	冀察政會全體委員大宴石齊諸逆
page 3	成都並非商埠不得設置領事
page 3	兒童年實施會定期舉行大會
page 3	陳肇英談閩浙兩省吏治
page 3	實部與湘鄂等省籌辦植物油廠
page 3	財部通令所屬改良典當制度
page 3	平漢路快車在彭家灣出軌
page 3	首都警廳沒收連環圖書
page 3	新運總會取締索取小賑惡習
page 3	本週內中常會未開會
page 3	國經建運初步工作注重農工副業並提倡節約運動
page 3	京市府定期征收土地稅
page 3	我國國聯會費不久即可匯去
page 3	川黔聯運商妥不日即將實行
page 3	平畢業生考試事務所定期正式成立
page 3	朱徐蕭賀殘匪現向撫邊逃竄
page 3	南洋商業考察團昨日抵馬尼剌華僑熱烈歡迎
page 3	華北颶風東去
page 3	歐洲時局不靖美擬派艦駐歐
page 3	我國世運代表隊行抵柏林受歡迎美人魚楊秀瓊接受獻花德軍樂奏中國國歌歡迎
page 3	西班牙黨軍勝利內閣已總辭職
page 3	麥唐納西門不久均將辭職
page 3	英法比談話會即在倫敦舉行
page 3	走私猖獗日商亦愛影響要求藏相制止
page 4	公開渡海泳參加者甚踴躍今日止截報名廿六正午舉行
page 4	乒乓聯會廿六晚舉行頒獎並舉行分區乒乓決賽
page 4	超超游泳團昨日來征香港次第與各會賽水球及游泳今晚八時先與中華會對壘
page 4	英美匯兌仍趨縮
page 4	英京銀價昨報跌
page 4	奮興杯小球賽成績
page 4	南華南游隊在暹羅勝少年隊成績六對一
page 4	南華女子部排球隊開歡敘會
page 4	港外匯市情趨好銀行牌價連縮四次各方大購英美申匯
page 4	果然是鷺江勁旅群惠昨晚再勝養中成績五十一比十二今晚第三戰對西南華雄四十比卅六勝陣家軍
page 5	由韶啟程抵省情形
page 5	五一師變叛已解決
page 5	中央三機隊來省駐防
page 5	標封河南各糖倉產物經理處所轄之第一二三等公倉封閉倉內現存蔗糖不下萬餘包價值四十餘萬元
page 5	抵軍校後之情形
page 5	抵省後之整理事項
page 5	中央軍不再來廣州
page 5	粵第四軍退惠後東路邊區由中央軍暫駐潮屬各縣之維持治安
page 5	中央機三架飛梅散傳單
page 5	東路各縣將由閩軍入駐
page 5	邊境治安暫時維持辦法
page 5	潮安施行戒嚴居民受驚
page 5	後備隊訓班綏署決停辦
