page 1	張伯倫政策之三變
page 2	我軍予Ｘ重創後退出新會縣城我方增援部隊刻已　到在　踞險佈防　守
page 2	Ｘ機狂炸湘垣漸緊榮之市面又瘡痍滿目Ｘ機　襲衡陽投入十餘彈
page 2	我空軍襲南京Ｘ感威脅舉行防空演習
page 2	外蒙大軍向綏察邊移動Ｘ大部向北撤退
page 2	東戰場長官舉行會議傳達領袖關懷之意上官部向各縣推進
page 2	華北Ｘ禁法幣法幣匯價高漲外國銀行拒絕偽幣
page 2	鄧錫侯出巡各地視察團行抵宜賓
page 2	杉板中將乘機返日中途遇霧爆炸杉板及同行三人喪命
page 2	東京工廠被焚廿餘家係因反戰份子活動損失五千餘萬日元
page 2	綏Ｘ犯大青山固陽東南血戰偽軍紛紛反正
page 2	太原之Ｘ西犯王封不逞晉南犯茵城之Ｘ回竄永濟
page 2	滇　與中央作緊密之合作桂軍取消第五路軍編制昆明造幣廠交中央管理
page 2	某將軍詳談豫南戰況我軍勇戰控制信陽
page 2	錦河兩岸發生炮戰武寧之Ｘ向洞口羅坪移動鄂中我軍某部克復青龍潭
page 3	意軍秘書動員傳已在亞爾班尼亞登陸但意當局對此極力否認
page 3	傳英內閣又將改組
page 3	土　統獲選連任
page 3	英外次報告青島開放實情
page 3	蘇大使　德外長談論援助波羅傳蘇與波訂立秘密協定蘇聯供給軍用品與波蘭
page 3	南京偽組織進行反英運動英外相哈里法克斯將在國會有所報告
page 3	羅外長加芬哥將聘德
page 3	傳政府將以鉅款貸我
page 3	伊勒王乘車失事斃命
page 3	朝鮮義勇隊在Ｘ後方殲ＸＸ一隊中伏大敗
page 3	熱河各地紅熱症蔓延
page 3	中央日報長沙版定十五日復刊
page 3	滬銀錢業發起勸募戎衣
page 3	英法兩大使將集滬商討遠東問題英駐日大使亦來滬參加會商完竣英大使即返渝
page 3	滬工部局董事會下屆將不改選
page 3	匈斯條約簽字
page 3	中美文化協會對美新中立法表示疑慮致電美總統羅斯福及畢德門希望新中立法不影響我抗戰
page 3	英報評論蘇日漁約日本卒向蘇表示屈服法國內太信賴安撫政策態度軟弱雖為日佔海南島後又佔西沙群島
page 3	英謀促日開放珠江
page 3	大戰前夜各國之備戰忙
page 3	蓋達著論有意挑戰但有辯並非挑戰
page 3	英政府要人報告外交政策一致擁護助波抗德多數主張與蘇聯絡
page 3	淪兒童代表覲　主席致敬主席以誠實　潔努　學問　勗勉
page 3	西門爵士
page 3	勞特喬治
page 3	邱吉爾
page 3	哈里法斯
page 3	畢拉氏
page 3	法外長進行參加反侵略聯盟英波磋商締結經濟協定英政府將向土提出保證
page 4	防空局編印防空常識書籍
page 4	中環段防空員昨日開始受訓史專員到場致訓詞
page 4	偽幣案昨詳臬次四兩被告無　釋
page 4	西環撈獲浮屍
page 4	各界捐助青年會隨軍團
page 4	港政府收容難民統計一萬一千九百九十四人
page 4	英艦來去調查
page 4	韓德森明日返英
page 4	傳染症之可怖本年三個月內染病者凡三千餘人肺　症佔千四百餘宗痳疹六百六十六宗
page 5	Ｘ再侵漢門戰況非常劇烈我軍再退出江門仍與Ｘ激戰所會東郊雙方由地點解況情形我擊斃Ｘ數百已達銷耗　的Ｘ艦移廣海威脅中山尚安謐
page 5	克江門後劇戰竟日
page 5	Ｘ再增援人數達千
page 5	Ｘ向棠下攻我之背
page 5	沙坪之Ｘ乘時猛衝
page 5	Ｘ軍紛開江門增援容桂陸上已無Ｘ蹤惟海面仍有Ｘ艦艇寄泊我團隊開返桂州辦善後
page 5	Ｘ再陷江戰事仍
page 5	我軍再度退出江門
page 5	會城戰事仍甚混亂
page 5	Ｘ母艦移廣海威脅
page 5	湯秘書談中山無事
page 5	李福林　恤殉職警隊傳令嘉獎黃欣
page 5	我援軍開到再反攻江門
page 5	Ｘ機偵察東路沿廣九路一帶飛至惠陽各地
page 5	張君嵩計劃擴充稅警團游擊Ｘ軍肅清匪患
page 5	葉肇率部南　後與各縣長商發動游擊歐　視察惠保防務我切斷增　Ｘ聯絡
page 5	歐震出巡東路前線
page 5	葉肇召開游擊會議
page 5	進兵福和斷增從線
page 5	河田炮隊昨移獅山
page 5	東北兩路Ｘ軍移防
page 5	鶴山戰訊我Ｘ在金岡對峙
page 5	各縣社訓總隊改為國民自衛總隊四月一日起實行
page 5	澈底封鎖淪陷區省府頒發禁運煙棉辦法
page 5	中央陸軍分校招考十六期生
page 5	培育救護人材開班訓練舉辦登記
page 5	廣東省行通告換發債券
page 5	北江Ｘ兵趕築前線防禦增援北江Ｘ軍昨已紛抵江村軍田十二集團機械隊加開橫石等前陣
page 5	軍田Ｘ兵發生衝突
page 5	我大軍再向前挺進
page 5	談噴嚏為愛人想念的感應
page 6	寶安縣長赴港磋商緝匪辦法
page 6	在港澳分區設立短期學校救濟失學難童與及失業教師
page 6	省府禁公務員入清洪幫
page 6	韶市熱烈慶祝兒童節
page 6	Ｘ機昨又炸清遠城
page 6	裏水拖渡三次被劫損失約二千元搭客死傷五人
page 6	東　開　訓練武裝民眾
page 6	海豐組織農會增強　時生產
page 6	大鵬平海秩序回復大亞灣警備隊奉命改編昨已移駐大鵬專事肅奸清匪
page 6	我軍退出江門的經過三
page 6	領良民證
page 6	國際人士籌濟南路難民組香港緊急救濟　欽廉分會
page 7	為潘錫華
page 7	抵受麻醉
page 7	港九學校團體昨紀念兒童節參加小朋友逾萬禮儀極隆重難童二百餘赴會空氣益緊張
page 7	駐遠東英軍年底將有調動
page 7	華商總會議決督導僑胞精神動員實施辦法已交由幹事值理審查五月一日將領導全僑行宣誓禮
page 7	呼吸停止
page 7	絕對不知
page 7	我國空軍隊長黃漢民來港療傷施手術後在院逝世中央裁判署昨開堂研究其死因潘錫華醫生供述為黃剖割經過
page 8	陳述案由
page 8	斬殺日人
page 8	德奧籍猶太人命名亦要規定男加義斯拉爾女加沙拉亡國之人簡直無自由
page 8	對國民登記港英人多抱觀望態度截至現在填報者不及百人港府將舉辦華人自動登記
page 8	葛尼　生
page 8	女待陳芳
page 8	捧腹大笑
page 8	英國屬土新聞電報減價
page 8	英商船一律添置武備準備非常時期　軍隊運輸糧食太古九龍兩船塢承辦改建工程
page 8	破獲紅丸疑　四人被捕
page 8	童軍週年大操本月廿二日舉行
page 8	五賊截劫路人捕　疑犯一名
page 8	殺日人案初審李炳津自首之供辭
page 11	昨日足球聯賽南華乙淨勝士葛四球榮膺本屆乙組冠軍雛鳳受挫於蘇皇軍
page 11	今晚分開籃球有兩場甲組賽
page 11	昨日網球賽因場濕改期今日如晴繼續舉行
page 11	港澳埠際足球期近港方選出代表隊本月十六日在澳舉行
page 11	星隊第三次出師華聯整陣迎擊下午五時一刻會於加山
