page 1	抗戰中之臨全會
page 2	沂河西岸血戰四晝夜我振部大破敵援軍敵遺屍五百餘具我獲輜重甚多
page 2	白馬山方面我敵炮戰甚烈嘉杭線我游擊隊奪獲敵炮蕪湖之敵軍事失利極恐慌
page 2	敵軍質量低減缺乏中下幹部
page 2	平津段永定河決口現被淹區域達六十英里
page 2	滬杭交通被我完全切斷敵軍甚感恐慌
page 2	我乘勝追擊豫北敵軍狼狽潰退榮河敵被包圍全部即可解決克復河津垣曲殘敵殲滅殆盡
page 2	石王表示決心抗戰到底
page 2	敵所謂掃蕩軍被我完全擊潰
page 2	晉西我軍已處優勢地位
page 2	津浦北段我軍開始二次總攻
page 2	空軍俘虜井田極端感謝我方優待據謂估計日機損失約五六百架現時日軍因出師無名多已厭戰
page 2	　大美晚報昨又接恐嚇信
page 2	北平外國　行停業之說不確
page 2	我新訓練成功之機械化部隊　前線作戰
page 3	英政府表示中英國交不變不因日否認國民政府而改態度
page 3	英下院議員詢問中日戰況張伯倫答謂華軍在津浦北佔勝
page 3	日昨日起征通行稅
page 3	倫敦盛傳日發生革命日當局認為是笑話
page 3	英美法三國決援引造艦保障條款美通告法實行建造三萬五千噸以上巨艦
page 3	英國內艦隊演習完畢保護稠密敵機炸運輸艦感困難
page 3	愛國團體宣言誓鋤南京醜類
page 3	怪艦一艘在日代治島發現
page 3	孫科對路透社記者談與英財相等會談情形今日起程赴牛津蘇格蘭游覽
page 3	蘇日關係復見緊張有韓人十餘名為蘇聯所槍決
page 3	西政府軍報告英艇被炸係國民軍所為該機由德人駕駛被政府軍擊落英現已向西國民軍政府提抗議
page 3	捷國會討論少數民族問題
page 3	賴璉因病辭湘省特派員
page 3	德國廢止猶太教會特權
page 3	英葡軍事專家密商增強葡國國防由英貸款進行十年償還不取利息
page 3	英對侵略行為聲言決不漠視
page 3	日將發行公債數額三萬三千萬元彌補偽滿不敷經費
page 3	蘇聯政府禁止汽油輸日
page 3	墨國貨幣跌落因美停購墨銀
page 3	羅斯福改組行政機關案國會方面發生良好反應民主黨各議員　為總統後盾
page 3	德軍撤離奧境
page 3	英意討論巴力斯坦問題
page 3	德空軍長官五人遵命退休
page 3	法外長接見德國大使申明法捷關係希望德捷修好
page 3	美前總統胡佛返美極力主張採取超然態度獨裁及共產主義已結不解之仇欲免于禍惟極力宣揚自由主義
page 3	西國民軍向地中海推進將抵太拉哥那省
page 3	收買外油事美對墨決人容忍鼓勵墨自由黨勢力免法西斯執力昂頭
page 3	奧國社黨員八千由　乘車返粵德奧合併自由恢復
page 3	日本在華北謀殺鹽業公司
page 3	陝北農貸財部昨已核撥我財政充足可見一斑
page 3	澳公債分會日間即成立
page 3	埃及國會改選政府派獲勝利
page 3	黷武主義者意首相墨索里尼演講意國軍備問題海陸空軍及防禦　備均已充實空軍現謀發明日夜兩用轟炸機
page 4	別矣哥　登後會再有期哥領隊　美之談話記住一九　零年吧
page 4	昨日網球戰績李安納曹佐治得勝
page 4	今夕普通籃賽南華印警相逢
