page 1	巴爾幹風雲與土耳其
page 2	奉新恢復常態
page 2	阿部召回　　　　慶祝三國同盟聊以自慰
page 2	京滬路又告中斷
page 2	滬法界罷工潮仍未解決將有新工會出現其性質係屬親汪
page 2	安藤返日
page 2	國民體育會議閉幕三通過要案七十三件
page 2	監委于洪超在淪病逝
page 2	日在滬西南市施行戒嚴任意搜檢逐戶詢問被拘者已達百餘人
page 2	英美態度日益堅決日南進攻政策受打擊美亞洲艦隊全部已抵岷尼刺英將派軍事代表團協助我國
page 2	黃河決口堵築即將完工
page 2	長江日艦屢被砲擊
page 2	宜昌西北擊落日機兩架
page 2	日機炸擊保山湄公橋受損害
page 2	蘇皖邊境捷報頻傳我軍又克潛山郎溪鄂北攻入安陸桂南重創日軍
page 3	英國空軍大舉炸擊法國沿岸德機繼續炸擊英倫日夜不輟
page 3	倫敦空襲緩懈
page 3	英陸相艾登已抵耶路撒冷英在中東加增力量以便打擊軸心國家
page 3	歐洲戰局已有轉機雙方轉入消耗戰勝利當然屬英國
page 3	邱吉爾定昨晚向法國人演說希望英勝利後法國可以復興
page 3	美國製機大量運抵英倫美人已知支撐英國必要美各飛機工廠日夜開工
page 3	傳美將投彈瞞準器構造秘密讓英
page 3	紐約時報通訊員阿班特來遠東視察星洲等地
page 3	英機炸擊柏林
page 3	日訪荷印團團長小林奉召返國日領齋籐暫負談話責任石川將攜日新訓令到荷
page 3	韋爾基向羅斯福挑戰
page 3	日外務省代言人談日對蘇政策無重大改變由港入內地運輸線問題謂係無時間限制之封鎖
page 3	日本誕生二千六百週年東京舉行大閱兵禮
page 3	挪威學生作反納粹集會
page 3	德西談判開始軸心　家正設法勸西國參加同盟
page 3	孟買發生旋風生發財產　失均重
page 3	英機經過瑞境飛意北部炸擊
page 3	里昂有人散發共產傳單警察破獲一機關
page 3	諾斯發表文告鼓勵海軍同志極力加強海軍力量
page 3	艾登中東之行
page 3	向著勝利前進
page 3	安籐嗒然歸去
page 3	日軍侵入越南後短期料無變化金漢謀對記者談話
page 3	法大使今日由滇赴渝
page 3	共和黨進行反羅斯福運動攻擊其連任三屆
page 3	甘地信徒文奴巴氏被捕
page 3	意機炸擊阿剌伯煤油池
page 3	土向保希邊境集中五十萬軍隊傳蘇土兩國進行軍事談話又傳希特勒要求蘇聯諒解
page 5	向日軍運輸車出擊
page 5	密向東莞寮步偷襲
page 5	首批抵韶港僑訪問記祇要回到祖國一切都有辦法
page 5	私梟與游擊隊激戰
page 5	日八八師團調華南一零三三十八兩師調日補充
page 5	三水設救護院
page 5	驛運遞徵募常備伕役每包貨物不得超過四十市斤組歌詠戲劇隊分赴各地宣傳
page 5	鹽田出口貨物免收一切稅捐寶安各縣下令撤銷商辦稅收
page 5	港梧貨運續訊
page 5	台山兌昃問題未解決省參議黃熾雲為民請命請省府飾省行大量收兌
page 5	中山林縣長辭職續訊三九兩區署將恢復
page 5	廣三線團隊又襲日軍護車日軍三名受傷
page 5	沿莞樟路開到救援
page 5	寶安日軍調防被我截擊莞城日軍偷襲寮步受重創私梟與游擊隊在葵涌激戰
page 6	韶關舉行反轟炸大會通過提案發表宣言情狀熱烈廣東支會獻購機代金三千元
page 6	政務視察團抵四邑曾集熙同來視導黨務
page 6	粵促進義民生產事業省振會設生產組負責辦理先設造紙肥皇等工廠七家
page 6	韶興路劫車案
page 6	廣西平樂大火
page 6	曲江警局成立曾磊充任局長
page 6	海豐發現錫礦
page 6	日兵無法降落韶關韶軍警舉行假　的防禦演習兩小時的　鬥精態緊張壯烈
page 6	新鶴路砲戰日艦擾銀洲湖中順游擊隊活躍小欖有激戰石岐稽征所解款被我截擊
page 7	美賑款五千萬用途
page 7	貝克博士在華功業
page 7	我國政府增強戰時運輸力量川甘兩省製煉省油成績甚佳滇緬路封閉時我得從容研究
page 7	木炭汽車效能增加
page 7	美總領非易人華瑩德來港係任領事
page 7	運輸力量較前大增
page 7	電力公司允設深水埔收銀站
page 7	英僑獻機運動第一批捐款匯出
page 7	港府續購大批小滅火機前購五十架已運到
page 7	司徒永覺籲請改善貧民生活勞工生活尤為困苦希望僱主予以注意
page 7	已發明汽油代用品
page 7	積極研究開採汽油
page 7	貝克博士等飛渝謁我當局商救護辦法美大批米麥藥品已啟程運華將由緬甸公路轉運內地散賑
page 8	番攤　寶各區均有
page 8	字花賭廠依然存在
page 8	字花師爺候解出境
page 8	警探搜獲假冒九間銀行紙幣兩男婦被拘解法庭訊辦各銀行均派員到堂作證
page 8	匪徒入唐強搶
page 8	述案由稱
page 8	圖劫馮儉生案判決被告罪名成立均處徒刑
page 8	港文藝界將追悼張善子
page 8	老婦投海獲救
page 8	將其殺死
page 8	被告自辯
page 8	汽車輾斃路人
page 8	北大同學為葉恭綽祝嘏
page 8	為甚麼回教人反對納粹主義
page 8	本港警察當局下大決心肅清　匪灣仔字花廠主持人一名已被捕字花師爺多人日問遞解出境
page 10	體協小組委會議決舉辦週年水運通過各部計劃預算多項
page 10	足球聯賽小組會明日會議討論罌花節球事
page 10	南華會舉辦公開女子排球即日開始報名
page 10	鐘聲週年水運項日止式編定
page 10	籃球戰訊以令及特別　寒明日頒獎
page 10	國際長途賽跑卅日截止報名
page 10	南華歌詠班近訊
page 10	　名單已
