page 1	轉變中的英蘇關係
page 2	澳總理斥德艦卑劣德艦襲那魯島經過
page 2	羅斯福對調停冷淡美將統制日貨進口
page 2	艾登外交之第一砲努力改善英蘇關係昨與蘇駐英大使昨初步會談
page 2	英財相宣佈發行國民戰債從前籌款成績優良希望各界繼續努力
page 2	美政府考慮汽車工業合組增加生產效能並能改製飛機
page 2	美貸鉅款與阿支撐阿根廷貨幣
page 2	維士政府加緊限制糧食消費
page 2	三達公司一煤油船沉沒
page 2	匈閣員多患病內閣例會取銷
page 2	黑海尚岸暴風受災區城頗廣
page 2	法大使飛港轉平
page 2	滬發生綁案兩宗
page 2	英德空襲復開始倫敦又被猛烈炸擊空襲四小時投燃燒彈數百枚英機昨襲法淪陷區機場港口
page 2	中英信貸協定再展期半年以便中國充分利用所餘款額中英人士對於此舉均極歡迎
page 2	前駐菲領事輪中失蹤由港乘輪赴菲
page 2	南京小官史關庸傑被刺傷
page 2	英認誤炸瑞典對瑞表示歉意
page 2	自由法國代表抵岷尼剌
page 2	加拿大軍械生產迅速製炮廠規模宏大已製出各種炮彈
page 2	美輪假道南愛援英德意愛均表示反對
page 2	美再考慮財政援英丹輪讓英美不反對
page 2	太平洋舴警耗英美荷海軍已合作嚴防德艦突襲挪那魯引起注意全文被檢查處抽起留問
page 3	英報著論揭陰謀德軍入羅佈疑陣
page 3	德比林希軍續進伊比拉意機反攻
page 3	張茅大道日軍調動頻繁鄂南東流橋展開激戰
page 3	巴地亞意軍增援都畢勒防禦加緊
page 3	日法商務談判明日先開預會正式談判一月十日開始日外相甘言誘法入圈套
page 3	本多抵寧向汪呈國書
page 3	緬記者團由滇抵渝
page 3	煤油運日荷印反對增加倘日本再事壓迫荷印將停止談判
page 3	英輪華籍海員獲得額外賞金經過駐英領事代表海員力爭英援華委會亦謁力聲援
page 3	一九四一將為我反攻年
page 3	內長周鍾嶽離滇返渝在滇放賑完畢
page 3	哥府島意機逞兇華倫納英機耀武
page 3	保國決不附軸心德軍入羅防蘇境
page 3	德法秘密談判合作希特勒近巡視法海岸傳再備渡海攻英德軍開東南歐似係防蘇英測德軍移動係佈疑陣
page 5	袁帶趕程返中山親自指揮軍事屈仁則談中順近況
page 5	中山游擊隊收編近訊
page 5	動員會合併政府辦公統限本月底辦理完竣
page 5	石井日軍戒嚴發現反戰傳單
page 5	東江交通線設病民收容所
page 5	日機又炸廣海
page 5	雷州鹽價大跌
page 5	強迫發眾入學不遵者處一元以上罰鍰粵教育廳側重國民教育
page 5	韶市發放湘米指定米店平糶
page 5	港僑兩批抵韶
page 5	大亞灣無日艦航空母艦昨日他竄交通機關恢復運輸
page 5	日派大將商侵粵軍事廣州日軍數千落艦出海
page 5	我機飛炸潿洲島海面日艦海口市日參謀支部移設島上日又傳決於明年春實行南進
page 6	省府南路行署結束高雷各縣實行聯防
page 6	省會防空建設會成立防護團重　疏散辦法
page 6	加強三埠防務
page 6	內部組織
page 6	強迫離市
page 6	臨時動議
page 6	加強消防
page 6	軍委會派員視察各地榮譽軍人概況粵慰問榮軍工作普遍開展
page 6	粵省僑匯網日形週密民信業不免受影響
page 6	粵臨參會電主僑胞捐款辦平糶年來水旱為災米糧缺乏懇請海外諸公慷慨輸將
page 6	中山日店結束
page 6	粵省府維持民食注意官商舞弊
page 6	留學生不應滯留海外教育部已分行各方招集抗建時期需要專才甚切
page 6	粵參議會咨請省府改進新縣制實施計劃改組機構成立縣參會分期推進確定縣鄉鎮財政收入健全人事
page 7	國展會決不再展期下月二日實行閉幕是日收入擬充賑款
page 7	米石禁運新界柴薪售價或將規定
page 7	越米源源經澳運港
page 7	自由職業證書明年度領取手續
page 7	衛生局之議案
page 7	三善院新總理尚在謙讓中
page 7	警探大捕炒戲票強徒昨日又拘疑犯多名
page 7	輔政司否認明年大赦囚犯鄭國有求赦稟章尚未呈遞
page 7	義軍來春集訓時間表已編定
page 7	傳港府將規定柴價
page 7	普法姆上將談英廷重視香港地位本港防務鞏固有若金湯謂不能久守者實屬錯誤
page 8	英僑劇烈反對疏散寧願以身試法簡士決迎回留澳嬌妻同人醵資準備作訟費
page 8	省救護會港分會昨會議決繼續資助聯救隊
page 8	越政府增收碼頭稅每噸貨物徵越幣廿一元港越貿易幾陷停頓狀態
page 8	限制汽車油耗問題港政府現在考慮中
page 8	開收明年差餉庫務司之通告
page 8	吳愛銀不愛命服毒自殺幸獲救
page 8	移民局取締代領證處
page 8	炮兵明日演習
page 8	港鯊貨輪增加班次利便商人輸運年貨
page 8	大規模防空演習改期明年二月舉行
page 8	大埔瘧疾流行
page 8	留營難民統計較前週增卅餘人
page 8	嚴禁鑽石出口商務統制專員佈告
page 8	代督政躬違和取銷今日一切應　
page 8	小輪帆船相撞帆船沉沒人幸獲救
page 8	截劫疑案提堂
page 8	全港戶口調查明年暫停舉行
page 8	印刷商昨會議對工會要求作最後決定
page 8	竊匪判處徒刑
page 8	孫家哲海昨家奠
page 8	僑港欖鎮同鄉會所組之欖鎮劇團
page 8	旅港交通大學平滬唐三校校友
page 8	中華貨倉血案定下星期開審
page 8	九龍商店歲底准開夜市
page 8	歐亞公司新訂包裹運費
page 8	談談星加坡的軍港
page 8	強盜光顧到紳士李星衢昨晚被載劫兩贓持刀伺於私宅門前五百餘元紙幣盡被掠去
page 10	昨日甲組足球四場華軍兩路齊捷二比零東方挫蘇軍南華淨勝九龍三球
page 10	東方淨勝兩球
page 10	南華輕破三關
page 10	女子公開　球賽南華再　仿林且看冠軍進屬
page 10	籃聯會昨會議女子籃球聯賽下月四日揭幕
page 10	昨日學籃戰績
page 10	甲組今僅一場戰事愉園星島迎擊光華
page 10	南華週年陸運今日舉行
page 10	戰後評
page 11	美國所貧乏的
page 11	和平獎金色有火藥味
page 11	古今中外各種奇異的大砲和砲彈砲身有用冰用皮革用本製成砲彈是　鐵渣糞十與及生酷
page 11	在國際未能中的砲擊限制侵略者已將它撕毀
