page 1	學生之兵役宣傳工作
page 2	京鍾路被我澈底破壞盤據京鍾洋梓等處日軍被我分別包圍予以痛擊
page 2	信陽平昌關戰事激烈
page 2	桂南反攻軍事我已佈置就緒大規模殲滅戰即可展望邕欽公路我續克兩要點
page 2	綏兩女王抵陝即將赴渝
page 2	渝慰勞總會舉行茶會慰勞出發團員
page 2	開放長江辦法日方不允發表
page 2	粵臨參會電慰前線將士
page 2	修正後之三民主義青年團團章三
page 2	汪日和平條件不外喪權辱國承認日在華北內蒙駐軍華中華南撤兵等於欺騙
page 2	南菲洲一金礦生產創新紀錄
page 2	贛北日三中隊為我殲滅我正向奉　挺進
page 2	蘇報以大字標題登載我軍勝利消息對於我國戰事異常注意
page 2	工部局發出聲明敘述腓立斯被槍擊經過
page 2	日本政局嚴重　俊六要求阿部辭職日內閣感覺應付困難料將辭職由各政黨及軍部商定組織新閣
page 3	蘇軍第四十四師團又被芬軍殲滅芬軍已深入蘇軍後方且抵達馬曼士奇鐵路
page 3	國際現勢與中國六孫院長在三團體歡迎會席上演詞
page 3	土蘇關係很好土耳其和英法的談判目的完全為防意大利
page 3	美海軍軍令部長主張關島應即設防速進行建造海軍流動部隊加強美在太平洋防禦地位
page 3	希特勒返回柏林與各軍政領袖密商時局大計
page 3	意機運往芬蘭經德被截德當局對此舉未肯加以解釋
page 3	德在荷比邊界設陸軍司令部並佈置許多砲位
page 3	蘇日漁業過渡辦法阿部將向樞密院解釋
page 3	日希望與美成立長久通商關係
page 3	美駐滬總領高斯調任駐澳大使
page 3	菲鐵路債票騙案經已判決倍安加文奴氏已被判決有罪
page 3	英法土代表簽訂商務協定
page 3	德國巡邏部隊又被法軍擊退
page 3	顏惠慶胡適兩博士在美分別演講美若愛護和平杯葛日本可促日本軍事侵略崩潰
page 3	各友邦對我國抗戰之態度蘇聯希望中國勝利堅決繼續援助中國抗戰到底
page 3	頁奈斯談捷克不抵抗的教訓
page 3	日北　道一煤礦洞傾陷礦工五十名被生葬
page 3	羅斯福夫人養一中國孤兒
page 3	瑞典訓練狗車以供北極作戰
page 3	晉南戰況又趨激烈長子西南拔展開反攻一部猛襲翼城以東各據點日谷口師團部隊被殲殆盡
page 3	夏縣日軍全線動搖
page 3	壺關日軍蠢動受挫
page 3	粵東我軍乘勝追擊現向潮城迫攻日在粵北慘敗無法掩飾攻韶不逞故作欺人宣傳
page 3	翼城日軍傷亡近千
page 3	傳意匈兩國締結軍事同盟意蘇關係益加緊張
page 5	欽縣城內展開血戰
page 5	容奇偽軍一部反正日軍收繳偽警槍械日艦又炮轟中山大　沿岸日汽艇侵入內河掃射機槍
page 5	日三河聯隊退出佛崗北路各線日軍繼續南退增龍日軍聯絡迭被打擊
page 5	高雷積極組訓民眾
page 5	防城日軍全退企沙
page 5	邕武公路我軍反攻
page 5	九江偽小隊長除夕乘機反正
page 5	粵省官員更調
page 5	日軍拉伕中伏
page 5	小黃圃偽國被我團隊擊襲
page 5	第一游擊區設軍民合作站
page 5	香翰屏撥款救濟寶安難民深圳設難民招待所
page 5	袁帶赴大良視察及會議防務昨語記者以大良近況日艦又向小欖砲轟洩忿江會各線我軍佈置反攻
page 5	袁帶親赴大良視察
page 5	日艦又向小欖砲轟
page 5	佯作增兵虛張聲勢
page 5	我軍佈置反攻江會
page 5	昨晨中山發現日機
page 5	防城日軍續向後退我軍迂迴衝入欽縣城血戰一夜復衝破日軍重重包圍防城收復後辦理安民情形續誌高雷各縣積極充實作戰之力量
page 7	僑團回國服務須向使領館領證明書防範不良份子借名活動中央海外部訂定新辦法
page 7	警探搜捕劫匪捕獲疑犯六名
page 7	菲島富翁紛在港建暹艇
page 7	航政司之通告捕魚者注意
page 7	華商會將開緊急會議討論星洲禁港貨入口問題
page 7	東華三院今日選新總理
page 7	本港經濟組織健全不受歐戰影響港督昨呈報英國殖民部大臣並謂兩年來困境已平安渡過
page 7	三文化協會合辦藝術觀賞會今日展覽海內名畫
page 7	深圳河畔警匪血戰機鎗猛射下十匪斃命該批賊匪圖入新界勒馬洲洗劫被警探偵悉預伏深圳河畔截擊
page 8	小童認出被告是賊
page 8	旅店中遺下一皮篋
page 8	政記輪船公司上訴案裁定全文三
page 8	旅店中女郎仰藥自殺死志堅決不願人救痛責情人對她不起
page 8	警探破案起臟經過
page 8	何堅直認行劫不諱
page 8	打比馬票之暢銷
page 8	旭和杯第一戰海陸兩軍會師十七日在掃桿埔舉行
page 8	港滬埠際足球賽港方名單公佈華籍球員皆放棄被選權定二月三日或四日動程
page 8	女子籃球賽今夕三場戰事
page 8	曾仲雲週末結婚
page 8	南華消息兩則
page 8	緊急小組委員會明日番審犯規球員
page 8	籃聯會改選俟女籃結束後舉行
page 8	威靈頓街劫案續審首被告何堅直認作賊分得港幣一千二百元國幣一百元惟否認有持械入屋官命詳臬定讞
