page 1	紀念勞動節
page 2	晉南殘日予以聚殲
page 2	我軍猛攻瑞昌德安
page 2	海員特黨部五一發表告海員書
page 2	我機大隊出動炸同蒲平漢路予日軍極大之損失
page 2	第四六三次政院會議任命張彭春為駐土公使
page 2	川省蔣兼主席勸各縣賢良襄助民治出任鄉鎮保甲首長以為當地人民表率
page 2	滬西日軍被擊遷怒民眾向各農村大肆屠殺
page 2	濟南日反戰份子縱火焚日輜重燒燬綿花九萬餘包
page 2	澄海日軍向我進犯為我奮勇阻擊
page 2	渝市昨晨發出警報日機在江巴邊境投彈
page 2	國府明令褒揚李輝南
page 2	岳陽日軍赴漢中途遭我伏擊死傷官兵三百餘
page 2	德國借島提議已為西國拒絕西國曾與法國締結條約不得將摩洛哥讓人駐軍
page 2	汪在淪陷區摧殘無辜人民造成極大恐怖
page 2	意大利趕築勃倫納防線
page 2	中英庚款留英試本月中起報名八月初舉行考試
page 2	本年春季美機出口貿易共值六千餘萬元
page 2	蘇芬劃界議定書在莫斯科簽字
page 2	豫北戰事日趨緊張晉南日軍繼續追擊贛北日犯奉新我猛攻瑞昌德安
page 3	德軍向奧士打出動企圖截斷聯軍交通德倫的英戰事將至決戰階段
page 3	日本的軍事機構二
page 3	美海軍擴充案在兩週內結束有主張在亞拉斯加設防海部注重建造小型艦艇
page 3	侵挪德軍現分五路推進
page 3	德軍戰略與侵略者相同
page 3	南薩斯鎮被炸破壞甚巨
page 3	蘇國防部長發表致軍人書勸武裝同志戒備
page 3	英法聯軍繼續向挪增援
page 3	蘇意均願與英恢復商務談判蘇向英表示願有所退讓英請蘇勿便利對德供給
page 3	英國空軍在挪迭著戰功
page 3	塔斯社斥日做謠的謂蘇使提出警告純係一種挑撥行為
page 3	德瑞商務談判告一段落將在柏林繼續舉行
page 3	美總統候選人赫爾有望
page 3	德人要求政府宣佈陣亡名單
page 3	歐戰開始以來美國航務發達為十年來所僅見
page 3	英國商務局統制火鑽出口
page 3	五一勞動節第三國際宣言勸全世界工友聯合阻止戰爭
page 3	美駐華情報局主張貸款於我國料將來中日兩國必趨於經濟戰美若不對日禁運則須對華貸款
page 5	日方揚言我軍反攻
page 5	古井日軍不斷增加
page 5	澄海日軍續犯樟林強渡韓江北溪被痛殲日機連日窺揭陽饒平各地
page 5	乘勝向日猛烈反擊
page 5	澳門三埠水路已通
page 5	昨傳澳門被擾不確澳門三埠已有輪渡航行
page 5	窺犯粵北各地日機
page 5	大肆搜掠糧食財物
page 5	新開新鶴連日情況
page 5	我新空軍迭次偵察中順各地及散傳單勸淪陷區民眾早退出勿受日偽欺騙廣州方面我空軍亦到偵察但無投彈
page 5	三廠灣仔依然封鎖
page 5	日軍在花地芳村強募工兵民眾紛紛逃避
page 5	限期完成各級兵役協會
page 5	桂南我軍克復大塘大舉圍攻那陳殘日漏網日軍一部竄抵亭子犯那香日軍已全部崩潰欽邕沿線為我段段切斷
page 5	克復大塘續攻蘇墟
page 5	小董日軍敗潰回竄
page 5	各縣調整區署辦法
page 5	粵省各縣調整區署鄉鎮區域辦法第一二二次省務會議通過施行派陸開梅長欽縣謝靜生長清遠
page 5	調整鄉鎮區域辦法
page 5	雷州海面日艦動態
page 5	省府派員考取五邑校長
page 5	三水西南偽軍騷擾魯村
page 5	日軍反戰思想之普遍日方乘機調動以便監視其西犯詭謀亦更為顯著我方嚴密佈防準備應付新開路我游擊隊毀日陣日仍封鎖中山交通圖統制糧食
page 6	東寶方面
page 6	瓊崖方面
page 6	潮汕方面
page 6	廣東省黨部召開黨務會議經過李主委提示要點報告糧荒情形討論嚴查貪污組織農民等提案
page 6	主席訓話提示六點
page 6	有飯同食肚餓同捱
page 6	檢討黨務孰為優劣
page 6	討論提案嚴查貪污
page 6	兒童保育會議連日開會情形討論生產問題決定詳細辦
page 6	抗戰勝利舉杯痛飲
page 6	省府李主席提倡節食運動詳誌幹訓團兒教院熱烈響應東江糧食已有解決辦法訂定禁釀米酒辦法飭遵
page 6	訂定禁釀米酒辦法
page 6	行政專員得兼師管區司令職縣後備隊經費由中央補助
page 6	西南偽軍反正投誠鄒軍長洪昨赴前線巡視我軍加強西江兩岸防務
page 6	紛紛反正後
page 6	在西江蠢動
page 6	適齡壯丁一律參加後備隊訓練
page 6	粵省保安隊之戰績在東寶瓊崖潮汕各地立戰功俘獲傀儷出擊日陣靳獲甚多
page 7	港電話公司業務發達用戶激增應接不暇港粵線雖停頓機件幸無恙港菲港渝兩線隨時可復辦
page 7	疋頭商會
page 7	全港學界
page 7	徵求傷兵之友各界成績良好教育界增編徵求隊長洲民眾熱烈參加
page 7	澳門輪船仍有魚菜運港
page 7	灣仔洛克道天台上之難民約有三千餘人
page 7	中郵儲匯局照常辦理節建儲蓄節建儲運分會將成立
page 7	武漢　團
page 7	塘西歌姬
page 7	全港導界
page 7	長洲民眾
page 7	文員協會
page 7	孔祥熙許世英等組設人才調劑協會懷才不遇者均登記介紹職業總會設重慶本港亦設置分站
page 8	商務書館負責人談教科書價格並未增加成交較前增三四倍售價則反減四分一
page 8	外勤記者聯會今日舉行二次會員大會
page 8	汎美機昨抵港
page 8	我國貨品謀向南美推銷
page 8	住客宜注意兩事騎樓廢壞即請業主修理不可隨意吐痰妨礙衛生
page 8	中華中學辦游藝換物會為工業合作社籌款
page 8	本港政府籌設貧民義學
page 8	兒童保育會去月募捐成績
page 8	學界話劇比賽今日止截報名
page 8	老漁人淚灑公庭漁艇被焚妻子慘死流落他鄉行乞被拘
page 8	兒童遊樂協會昨開週年會議
page 8	美髮工會賣花籌款振濟粵北
page 8	醉漢墜樓殞命
page 8	九龍防空演習今日下午舉行
page 8	難童墮樓重傷
page 8	小童會歌詠賽
page 8	南海同鄉會救濟貧病邑僑
page 8	聖士提反堂開慈善物會
page 8	林西河堂昨開同人大會並選舉下屆新職員
page 8	淩巨川詩畫展覽
page 8	皇后院開用冷氣機
page 8	法領館明日休假
page 8	開本港新紀錄保險銷貨場出現
page 8	獄中揮刀殺人囚犯李錫文處死刑李與死者前曾夥黨行劫李恨死者為證人遂加害
page 10	菲女籃球隊臨去秋波今夕再逢港星旗鼓相當劇戰難免表演賽東方對星島
page 10	南華拳術班定期開始訓練
page 10	中華體協會昨開委員會議席間議決提案多項和和杯決組軍南征
page 10	學籌會競賽部選定各部職員
page 10	中華泳場今日正式開放
page 10	記者旅行消息
