page 1	三國同盟與美蘇關係
page 2	對日德意同盟王外長之談話
page 2	史太陵論三國同盟美必須取監視態度
page 2	德軍渡海侵英危險尚未完全消失德軍仍有渡海準備英軍無時不為戒備
page 2	蘇真理報發表論文蘇決維持中立地位
page 2	美國輿論一致主張積極援助中英兩國
page 2	德軍根　地被摧毀　餘
page 2	倫敦金融區發生大火災
page 2	英美同時增強遠東防禦美大部軍艦駛到岷尼剌港澳空軍一隊調駐馬來聯邦
page 2	蓉市長余中英今日就職視事
page 2	傳德外長　飛蘇
page 2	知難行易
page 2	爭取蘇聯
page 2	　政策協會報告中國已為西方列強在亞洲之一大盟友滇緬路封鎖須早開放
page 3	法日雙方即將繼續舉行談判在執行法日協定全部條款日委末田代替西原任團長
page 3	二十八年高等攷試再試發榜共計　人員一六一名
page 3	日輿論主張澈度侵略荷印召回日赴荷印代表團壓迫荷印與日本合作
page 3	英對劉公島租借期滿南京竟向英照會謂無意續租於英國
page 3	埃及戰事無大變動西沙漠略有戰事英空軍炸擊敵方
page 3	滬法租界工潮仍末解決公共租界工人要求加薪成功
page 3	羅斯福信賴工業家能與政府合作發展國防工業建設無須執行強懲辦法
page 3	日在佔領區排擊外國油商英　提出強硬提議
page 3	滬一美水兵被日憲兵毆辱美向日方提出抗議
page 3	旅英日僑奉令從速撤退外務省訓令郵船會　派輪赴英撤首批日僑
page 3	全國粵勞總會　日在渝舉行獻藥儀式並發表告前方將士書
page 3	古巴華僑大會擁護國策
page 3	日委三浦為駐墨國公使
page 3	謝團長接見記者報告衝突事件
page 3	紅　會桂省分會成立
page 3	奸商操縱下滬市米價騰貴
page 3	上海海　航運即將恢復
page 3	瑞典統制糧食
page 3	美人沈馬曼在青突然失蹤
page 3	翁文灝談滇緬路可望開放英援華會請開放滇緬路王世杰等電英表示謝意
page 3	意向敘利亞提出強硬要求其中包括條件四項第二項經法方拒絕
page 3	晉南我軍續繼攻襲各路日軍被圍殲皖中我攻克日據點
page 5	突將該處街道封鎖
page 5	不准船艇進出開駛
page 5	有拉伕及種種關係
page 5	日在市郊增築工事
page 5	我空軍昨再偵察東寶在深圳投下傳單萬餘
page 5	粵省當局決定救濟鹽糧 辦法由鹽務局辦理北江 官運納稅手續予商人以利便
page 5	韶關四行停辦越南匯兌
page 5	新開日軍蠢動遭挫
page 5	日在中山海岸築砲壘新開路日軍犯西坑竹園不得逞沙堤發現日艦艇台山情勢略緊
page 5	粵省獎勵民營工廠內遷內遷者已有多家
page 5	粵北軍民合力抗旱韶附近禾田多已獲救
page 5	台山平民積極備戰
page 5	三澳貨艇又告停航
page 5	清理四邑積案梁勵儒在台設處辦公
page 5	四六行政區設交通管理處
page 5	廣東煙毒的禁絕寧願犧牲龐大收入廓清積患全省共下決心卒能依期禁絕
page 5	河源平遠兩法院長對調
page 5	粵省登記交通工具曲江已開始登記大小船艇公務員眷屬疏散地點已定
page 5	廣州炸彈案連續發生後在戒嚴期內之市面情況各鄉輪渡雖已准來往因戒嚴影響仍多障礙市內人民來往多不便
page 6	蓮塘重入我手
page 6	象山激戰殲日
page 6	惠陽縣府新司東江沿線水陸運價
page 6	四邑籌辦驛運
page 6	粵省積極整頓警政調整機構同時提高待遇設長警巡迴訓練隊十二
page 6	惠州歡迎陳華
page 6	省府再增公務員米津由本月起至本年底止
page 6	增城朱家村附日軍忽譁變與日軍發生　戰
page 6	驛運伕力之工資談
page 6	韶征募寒衣游藝大會開幕台山新聞
page 6	粵北我軍收復蓮塘繼續向新街近郊挺進
page 7	海外部策動募款捐衣目標為國幣四百萬元
page 7	賭徒佈假局車候警察搜捕
page 7	史柏堅函覆住客聯會允　緊建築防空壕洞
page 7	耶教團體節建儲運成績超過目標已推銷儲蓄券百餘萬人林子豐今晚歡宴各隊長
page 7	深水埔仍有菩薩出遊紅袍道士沿途作法各街居民爭相膜拜
page 7	四會振濟會已募得數千元
page 7	文化協進會二屆理事會議選出常委及各部主任
page 7	禁婦孺來港例華人不受限制有保證金廿元　新例　對付英
page 7	畢達士不赴印
page 7	伶仃海盜截擊貨艇三艇沉沒五人獲救返港
page 7	曼谷寄港空郵尚無到港確期
page 7	慘痛的呼聲手車伕請取銷包車制目前入息大部歸于二路車主取銷承包制一家數口可免饑寒
page 8	免費學生
page 8	半費學生
page 8	颶風有襲擊本港趨勢天文台昨懸出一號風球
page 8	高級法庭提審焚劫貨艇慘案案情重大修改政各被告罪名疑犯冼全獲釋為官方證人
page 8	否認有罪
page 8	陳述案由
page 8	被火燒艇
page 8	北大同學為葉恭綽祝嘏今日為葉六十壽辰
page 8	美駐華使館參贊培克過港返國
page 8	九龍關新稅費
page 8	改良會計問題
page 8	港澳振濟會免費中學生考試揭曉高中取錄七三名初中二二八名已分別編入各校日間即可上課
page 10	華人週年水運會昨宵首次角逐女子五十咪何惠瓊成績平全國陳雷璧　五十　四百咪兩項軍
page 10	青支會水運本月十一開始女學籃展期截報名
page 10	體協會舉辦水陸運會無期
page 10	東方週年水運展期止截報名
page 10	銀牌籃球戰訊
