page 1	美國與遠東
page 2	美國照會日本重視越南局面
page 2	日將最後通牒暫時自動撤回
page 2	桂南連日激戰日軍犯上思被痛擊
page 2	王正廷住宅被日憲兵搜查
page 2	廣州市我便衣隊活躍
page 2	顏露爾頌揚英美協定更主張英美海軍聯合如此則可擊敗德與日
page 2	滬兩租界實加戒嚴
page 2	陳肇基談回國考察印象極佳前方防務鞏固士氣旺盛戰地軍民合作極度良好
page 2	前北大教授林公鐸病逝
page 2	我們並非奢望
page 2	希特勒夢想不到的
page 2	越南局勢路轉峰迴
page 2	墨國將來總統責備現任總統
page 2	襄河東岸連日戰況我予日軍重創宜昌日軍竄擾被挫我軍進襲當陽日軍
page 2	華北我軍開始大舉反攻破壞鐵路公路多處阻止日軍抽調犯渝
page 2	越南局勢似暫緩和日與越南繼續談判越南允以米橡皮煤等供給日本換取日方保證及恢復滇越交通
page 3	英空軍一連三次轟炸法國海岸炸彈砲彈及探射燈光照耀英倫海峽如白晝
page 3	匈牙利軍開入新割讓地匈攝政官霍第演說誇耀獲得羅土功績
page 3	美下議院開會評論讓艦事件互有不同觀察無何結果諾斯積極建築防禦力量
page 3	英首相邱吉爾報告最近戰局與美換艦裨益戰局甚大應付較大空戰尚有餘力
page 3	英國汽車大王自動捐二十五萬鎊金救濟空軍陣亡者家屬
page 3	慰勞總會秋節勞軍募月餅代金百萬元
page 3	傳德運輸艦被英海軍擊沉
page 3	美對滬租界舊英防區維持原有立場謠傳美政府已決定立即佔據租界中區
page 3	美將再供給英國大批武器內有秘密投彈之瞄準器天空炮台轟炸機之半數
page 3	瑞士昨又發出警報
page 3	希特勒誇大謂準備長期戰爭無論如何德決不受威脅將來歷史不能重演舊事
page 3	日委及川繼任海相
page 3	英倫三島防禦力量增強邱吉爾對新西蘭軍隊演說謂足以抵抗敵人任何壓力
page 3	羅馬尼亞政變獨裁鐵衛團參加組閣宣佈停止憲法解散國會安多尼士古把持獨裁權
page 5	白銀丸空船回廣州
page 5	江岐輪注同時停航
page 5	我便衣隊突襲燕塘
page 5	新運會整肅韶關市容訂定市民行路規矩多項養成市民整齊迅速習慣
page 5	甲子進口貨向汕尾卡完稅
page 5	粵路我軍猛攻新街衝破大陵日陣斬殺甚眾廣花線我軍向龍口挺進
page 5	日機飛擾四邑
page 5	曲江革新獄政四月後辦理獄政概況
page 5	增到寶安日軍又撤退過半趕赴廣州等地增援各種重兵器亦多遷移機場電台亦同時拆除日軍中人談撤退原因現在尚有萬餘人留駐
page 5	日在西瀝
page 5	機場電台均已拆卸
page 5	各處日軍突撤原因
page 5	日軍大部退往廣州
page 5	我襲馬口奏捷日犯閣尾舊三水不逞日機兩架炸蘆苞民船
page 5	我襲馬口奏捷
page 5	日軍犯舊三水
page 5	廣州市風聲鶴唳游擊隊炸斃日軍官多人我空軍夜襲向白雲天河機場投彈日軍日夜戒嚴搜查行人及各住戶行走江門九江大良石岐輪渡停航
page 6	我一度衝至惠民門
page 6	中山日軍調動頻忙
page 6	團隊克上下川經過
page 6	粵南克那蘭猛攻那香桂南日軍施行攻勢防守
page 6	那蘭那香發生激戰
page 6	李伯嗚視察南雄始興黨務
page 6	圖書審查會加緊審查工作
page 6	粵積極辦理人口調查限三個月內複查完竣
page 6	韶再評定物價
page 6	軍委會通令誥誡官兵屏宴安習勤勞為部屬表率
page 6	粵北運貨商多停業當局謀改善運輸辦法指揮所昨派員調查情形召各運輸公司代表會議
page 6	桂南日軍
page 6	當局積極辦理善後
page 6	中順團隊進襲容桂
page 6	佛山日軍增援江會
page 6	斗門一帶現仍安謐
page 6	我軍反攻會城展開劇戰杜阮佛子　我日兩軍炮戰亦劇烈中山日軍防我游擊隊禁壯丁入口
page 7	機件損壞墮落粉嶺
page 7	全機焚燬三人受傷
page 7	兩微傷者申警保護
page 7	歐亞公司籌闢港粵航線
page 7	孔教團體祝聖將不擴大舉行
page 7	婦女會昨會議捐款救濟銀坑難民
page 7	中山公務員定期赴韶候用
page 7	中化學會港分會召開理事會議
page 7	乾腳氣症流行患者多告不起
page 7	大批賭徒被罰
page 7	美記者團返國
page 7	港越航運已告恢復港海軍當局昨正式公佈准英輪行走港越港灣線
page 7	原料價漲銷路日少港九織造廠紛紛停工小廠家停工者已二百餘間大廠家現積極謀補救辦法
page 7	大小工廠陸續停工
page 7	售價過昂銷路大減
page 7	日機失事墮落嶺全機被焚三日人受傷重傷者入醫院微傷者由警保護日領署會同英警調查肇事經過
page 8	印警殺同侶案被告自述行兇原因實為死者欠債不還
page 8	三校考驗新生成績今日可揭曉
page 8	兩婦投海獲救
page 8	車輛失事統計去週死六人傷二十一人
page 8	荷李活道血案押候七日公審
page 8	囚犯病死研究
page 8	霍亂又增七宗
page 8	旺角蓮香茶樓一茶客欲跳樓侍役阻止幸未弄成慘劇
page 8	防空處之訓令委出一批小隊長
page 8	華商籌賑會定雙十節贈旗
page 8	圖劫馮儉生案將公審疑犯陳佑之無罪獲釋
page 8	藥商賑渝難民捐匯國幣二千餘元
page 8	華民政務司署闢作中區防空避難室各區避難壕建築計劃亦決定必要時數小時內可全部完成
page 10	足球義賽續訊
page 10	中華體協會下週會議程序
page 10	昨日夏令籃賽鮀青印警告捷
page 10	棒球聯賽錦標展期下週舉行明日一幕友誼賽美國隊對葡萄牙
