page 1	桂局可和平解決乎
page 2	林黃劉飛廬謁蔣委長請示林將由牯赴京就職
page 2	粵禁煙計劃決定開始實行仍採用四步驟辦法
page 2	黃光銳因雨臨時中止啟行四日晨始由杭南飛
page 2	桂局和平有望蔣委長展期來粵何成濬勸李白就新職
page 2	宋哲元昨日離平赴保檢閱駐保軍隊調查民間疾苦
page 2	冀察政會聘請齊燮元為委員
page 2	史延程奉司法部令代理粵高法院長葉夏聲另有任用調充立委
page 2	張垣察北被控制
page 2	日伸展經濟侵略
page 2	設學校訓練漢奸
page 2	偽便衣隊大活動
page 2	大木又提出抗議
page 2	田代迫宋聘西田
page 2	國防計劃與充實華北邊防案軍委會正詳細研究實由陝調精銳部隊五萬人聞冀察增防歸綏署節制
page 2	桂空軍人員黃家驥等逃抵長沙表示擁護中央誓不參加內戰
page 2	海軍部銳意整頓海防
page 2	東北人民愛國觀念未滅偽滿派警拘罰
page 2	新任粵省主席黃慕松今晨飛粵市長曾養甫同行曾養甫發表粵市今後施政方針
page 3	舉重決賽結果
page 3	百尺決賽結果
page 3	擲鎚決賽結果
page 3	田徑賽之成績
page 3	馬球英國勝墨
page 3	否認短跑紀錄
page 3	日本國策將轉變各方認為極關重要
page 3	意飛機降落摩洛哥法國調查真省
page 3	二百公尺預賽
page 3	歐氏又破紀錄
page 3	女子百尺決賽
page 3	西班牙亂事勢將引起國際糾紛全國各地均有劇烈戰爭雙方互報勝利真相難明
page 3	西班牙全境仍激戰雙方真相不明
page 3	亞軍施行突襲意軍大受損失毀意卡車二十輛兩軍曾發生劇戰
page 3	陳友仁未赴桂陳子已加否認
page 3	法大使訪問齊亞諾談商中立問題
page 3	利平公司長德輪失蹤三日已無消息
page 3	國選事務所積極籌備進行國府頒發各所關防
page 3	馬衡由滬抵京報告古物失竊經過
page 3	遺產稅案尚須縝密研究
page 3	宋哲元歡宴蔣夢麟等
page 3	天水發生地震
page 3	冀察治安會議討論各縣提案
page 3	颶風吹抵黃海有在日本海消滅勢
page 3	閩二屆特產競賽會定十月間舉行地點已決在漳州
page 3	播教委員會舉行首次會議
page 3	國立職校籌委會昨開首次會議
page 3	林康侯昨赴青出席慈幼協會大會
page 3	冀省府派員撲滅蝗害
page 3	大雨連朝運河水勢續漲
page 3	山洪暴發兩江水勢大漲沿江房舍均被淹沒
page 3	美國外交討論會希望中國復興
page 3	日本政府鼓勵國人南侵台督組南方考察團分赴南洋華南考察
page 3	鮮督宇垣辭職由南次郎繼任
page 3	財政部　理廣東幣詞
page 3	永暹逸仙兩艦
page 3	自稱鄭成功十二世孫之鄭旭
page 3	交通部以粵省自陳濟棠下野政權統一後
page 3	日本駐滬總領事若杉
page 3	日本商工省之所謂燃料國策法案
page 3	世界運動之第三日天氣陰霾觀眾仍擠擁我國各項比賽均落選
page 4	大紅馬局徵求著法贈閱本報半年
page 4	港澳埠際象棋比賽屈臣氏捐贈全場獎品時間地點日內決定
page 4	南華象棋隊返港
page 4	籃球友誼賽勵行社勇勝青甲乙組亦將華華雄擊敗
page 4	本港警察定期舉行水運會
page 4	今晚公開籃球賽
page 4	足球總會新委員已選出卑利士任總會秘書長
page 4	精武會友搏擊比賽今日開始
page 4	中山棋人楊汝濬上滬南返與周德裕之對局二生平善用當頭砲曾捷杭州冠軍名手吳松亭潘敏剛等亦非其敵
page 5	省府新舊交接中省政暫告停頓省務會議停開重要公文暫不批辦省府某秘書談
page 5	桂軍梧之佈防傳放棄梧前線似不確
page 5	財廳最近進行之一席談廳內組織暫仍保留將設廢捐審查會推辦全省營業稅
page 5	軍事要訊彙誌
page 5	黃質文辭職續訊
page 5	發軍校教隊旅費
page 5	楊鼎中任參議職
page 5	八師一部抵省
page 5	將領赴從化謁陳
page 5	中央軍開入東路李延年部移回永岩陳琪部由平和抵潮
page 5	李部之來去
page 5	歡迎李漢魂
page 5	陳部抵潮安
page 5	某人擾我無所不致濟匪政策之實施
page 5	粵市商人團體電促粵新官蒞粵
page 5	李默菴師之分防
page 5	軍運緊張中粵路鐵橋又被山潦沖斷運輸主任錢宗澤昨赴督工修築中央軍醫院分院移粵先過橋昨抵省西南兩路軍情仍未有發生接觸之訊
page 6	全粵部隊之縮編共編六十七團去年所徵民兵准先自由退伍
page 6	颶風襲擊汕頭情形
page 6	交通斷絕
page 6	商業停頓
page 6	韓江水漲
page 6	錢宗澤昨已批准行營運輸事務由陳勁節　劃
page 6	請撤銷雜稅續誌
page 6	廣州市前夜暴風狂雨之損失幸尚未成災
page 6	各江輪渡已解僱
page 6	財部電止粵統稅局重征
page 6	取締寺觀廟宇先從調查入手
page 6	改進粵幣制之論議一經濟社發表意見李泰初再有議論
page 6	中央派員接收粵僑務會
page 6	法幣分會成立期明日開結束會議查驗白銀將完竣
page 6	葉夏聲昨日北上
page 6	各團體請減洋羊稅後財廳電令調查米價
page 7	蔣來粵任務
page 7	李白之態度
page 7	兩艦將入粵
page 7	陳艦長談話
page 7	應瑞決留港
page 7	應瑞艦訪問
page 7	鄧世增到港
page 7	未遇逸仙艦
page 7	桂省之現狀
page 7	青年對於人類之使命許地山碩士在聯青社演講
page 7	我國貧困
page 7	經常工作
page 7	反對戰爭
page 7	掃除奴性
page 7	上述二點
page 7	謝瀛洲過港赴滬
page 7	日議員又來考察十二人昨日抵港
page 7	　　立教大學組織之喜馬拉雅山探險隊過港曾預作兩週耐饑練習攜有登山用具凡三百餘件
page 7	港濱機停潛多蘭
page 7	大石壓破一茅屋
page 7	各塘情形
page 7	少婦服毒幸獲救
page 7	荃灣波蘿與安樂園雪糕
page 7	英郵船減收客腳
page 7	清理街道
page 7	水塘滿溢
page 7	大雨後水塘滿溢各區水喉今日起全日開放銀禧塘已載水八萬萬加倫預算本年內可免水荒之患
page 7	蔣介石改八日南下陳季良決率艦入粵候迎鄧世增昨日來港談赴桂斡旋之經過李白態度仍強硬和平問題尚未可必
page 8	取締家庭女役則例
page 8	東華院擬設戒紅丸療治所該院總理劉景清之建議
page 8	藏械案兩人入獄
page 8	搜獲淫書拘一人
page 8	洋船街劫案詳臬
page 8	竊匪揮刀斬事主
page 8	平安映鐵血健兒
page 8	拾獲銀昃提款被拘
page 8	華僑教育會遷址訊
page 8	華民政務司發表取締家庭女役則例以後不得僱用妹仔違者重罰華民司有權將註冊妹仔除名
page 10	本港法幣之統計
page 10	遺產稅則修訂後預算下半年收入必增加上半年僅徵得九十萬元
page 10	臣雷殛斃一工人
page 10	衛生局昨日會議
page 10	總警署血案押候
page 10	電車公司派息通告
page 10	英艦亞斯威利到港
page 10	國醫會籌開紀念會
page 10	娛樂戲院雙料娛樂
page 10	高陞戲院粵劇消息
page 10	皇后院映鐵漢子
page 10	少年墜樓之研究
page 11	法院假釋人犯一批
page 11	禪商民請改善警捐
page 11	河口風雨覆舟斃人
page 11	籌組各圍董會近訊
page 11	九江請設市參議會
page 11	破獲東坊偽幣機關
page 11	迅雷斃人夫婦同盡
page 11	台荻拖渡中途遇險
page 11	平注擬裁各派出所
page 11	靈山縣地震調查經過
page 11	恩陽交界之潦災
page 14	國防前線綏東現勢日偽謀攫食下平地泉形勢極危險敵在察北毒化的政策完成後一必將挾察北進而西侵我綏東
page 14	上海市區將有女警察服務公安局現在進行招考中
page 14	招考動機
page 14	經費來源
page 14	投考訓練
page 14	各院部會長官署期內在廬山辦公軍政要人雲集成為政治中心
