page 1	苗民暴動與西南邊防
page 2	林主席返抵首都登岸後即乘汽車返私邸休憩此次南巡觀感據云印象良佳
page 2	劉湘電請政院再發振債千五百萬劉並召各機關法團會議共同籌劃速效急賑辦法
page 2	王正廷定期赴美過日將訪佐籐
page 2	國府準備籌設統制貿易機關統制貨物輸出入口實現經濟更生政策
page 2	重慶火警被燬四五百家損失約數十萬
page 2	日軍用機飛青
page 2	朱慶瀾將飛川勘察川省災情
page 2	英政界不論左派右派對政府不澈底保護商船不滿謂政府僅求局部情形打算目光過於短淺此外政府所稱各種理由則均屬托辭而已
page 2	程潛由湘赴鄂今日由漢轉輪返京
page 2	陳公博抵京經已到部視事
page 2	中華籃球隊在東京又大勝
page 2	于學忠部調防將可竣事中央軍亦將開始復員
page 2	英海相賀爾演說對海軍爭競表示嚴重慎慮英對倫敦海軍協定甚願加以批准不過尚希望多數海軍國加入合作
page 2	豫省舉行獻機命名典禮
page 2	桂考察團抵漢
page 2	京防空會舉行防空演講
page 2	賀國光將返渝
page 2	川樾定五月二日返國向外務省建議在滬設特務機關有謂川樾返國動機有讓賢之意川樾昨訪汪主席辭行明日訪王外長作歸國前會見
page 3	聯蘇駐外使節將有局部更調
page 3	華南米業公司昨舉行創立會推宋子文等為董事
page 3	劉峙派員致祭一軍烈士
page 3	晉向三行借款五百萬元
page 3	西門演說對西保守中立
page 3	荷印華僑觀光團今日即可抵滬
page 3	西叛軍飛機轟炸居勒拉鎮
page 3	所得稅事務處組織章程公布全文凡十五條
page 3	皖主席劉鎮華因病辭職獲准
page 3	首批蘆鹽輸日
page 3	國府奠都南京紀念舉行重典禮
page 3	西監察計劃美未接得通告故美關於此事仍採期望態度
page 3	齊蘭將作美行
page 3	經募獻機捐款人頒給獎章紀念航建協會分批寄發
page 3	正太路歸平漢路管轄
page 3	日考察團抵津
page 3	英擬舉行世界拳擊錦標賽
page 3	吳鐵城電財實兩部洋米免稅已飭照原案辦理據多數專家意見尚須另定調節辦法
page 4	昨日南華南再敗奧斯德穩得冠軍東方力與願違五對一大敗南九之戰一對零九龍獲勝
page 4	普通界籃球賽青年會勝印警華大僅以一分壓倒鑰智
page 4	上海甲組足球法商保持錦標東華西人會互相諒解
page 4	今日甲組尋常杯中華會對西警九華會對西洋會
page 4	陣勢不整南華南敗于九龍上半場零比下半場則一比零後衛寶雲為九龍射進獨一之球
page 4	足球之利弊與運動道德二李惠堂在播音台作足球講座第六講
page 4	本年席體育場管理委員昨日港府憲報發表
page 4	德權鼎小型足球賽今日有六場舉行
page 4	南華體育會續辦公開排球賽今日開始報名
page 4	八閩將軍蔣德兒再戰周德裕卒敗北成績尚佳四戰三和一敗
page 5	粵施行會計制度近訊蔡經濟昨對記者談話
page 5	代財廳長曾養甫派員慰留鄭芷湘桂競秋對記者談否認調長營稅局
page 5	鄒魯改期回粵訊
page 5	當局擔前討論解決粵省民食問題吳程開談話會已認免稅洋米為急切需要商會及各界民食救濟會均開會討論呼籲
page 5	洋米免稅入粵受阻各屬商會通電呼籲
page 5	吳程急求解決
page 5	下午召集談話
page 5	擴大呼籲昨情
page 5	米商電爭數額
page 5	沈氏中止北返
page 5	沈國瑾之談話
page 5	米價有增無已
page 5	經濟專家談話
page 5	呈主席視事後省府談話會之詳情李大超昨語記者談話省政措施決本一定計劃推進吳主席定日聞召集全市報社記者報告方針
page 6	羅定保安隊分隊長圖謀搗亂被解決續詳另一分隊長事後潛逃
page 6	士敏土商店請改善統制辦法
page 6	香港雜貨店商販運私鹽案判刑
page 6	汕規矩堂租地案最近之交涉情形
page 6	前越督拜會當局
page 6	中央欠粵債款之統計共達九千五百餘萬元商人力請中央即籌還
page 6	公債
page 6	紙幣
page 6	欠款
page 6	利息
page 6	總數
page 6	粵市商斷處行商望早日成立
page 6	林雲陔離閩來粵
page 6	廣九焚車死難家屬聯合會
page 6	桂省鹽稅
page 6	衛生局長歐陽慧聰
page 6	省府昨准實業部咨
page 6	汕頭市府
page 6	關員到按押店查私拘人按押行會商應付辦法該行公會職員談被搜經過
page 7	麥按察司播音演講保護兒童會過去之成績每年經費約廿五萬政府津貼僅數千元
page 7	歡送場中所見
page 7	工作方面
page 7	為貧民區
page 7	供給牛奶
page 7	惟有停辦
page 7	粵徵運輸附加稅九龍關昨日佈告
page 7	粵銅圓價格大跌私運來港已大減
page 7	伍連德在醫學大會中主張推行醫學統制辦法各代表對槍殺痳瘋人極憤慨本港出席代表胡惠德昨返港
page 7	勤求民隱努力以赴
page 7	威靈頓告老回英
page 7	七歲女竟遭蹂躪指同居男童非禮
page 7	運粵洋米免稅吳照中央原案辦理聞已電告財實兩部詳情尚待原電發表
page 8	觀禮者眾
page 8	羅氏蒞臨
page 8	新人丰采
page 8	好事成就
page 8	攝照儷影
page 8	鴛譜題名
page 8	結婚理由
page 8	夫婦之道
page 8	羅氏致詞
page 8	擅駕裁判官泊車英兵史蔑夫被罰
page 8	八年來本港衛生之回顧三衛生醫官韋靈彤報告書
page 8	醫藥潔淨兩部職權
page 8	衛生局下設專委會
page 8	不景氣中仍有成績
page 8	港衛生行政之進展
page 8	贊育醫院收歸官辦
page 8	九龍新界設健康院
page 8	衛生醫官工作繁多
page 8	風流韻事嘉耦良緣十對情侶喜成眷屬第三屆集團結婚禮紀盛證婚人羅旭　談夫婦之道妙語解願自述其本人閨房中艷事以勗新夫婦夫對妻能聽教聽話則享無窮幸福
page 10	職員更易
page 10	公積充裕
page 10	倫敦方面
page 10	遠東方面
page 10	各種保險
page 10	營業概況
page 10	昨又破獲一賭窟
page 10	駐港法副領易人
page 10	堵塞街道之通告
page 10	小輪客投海獲救
page 10	修改生死註冊則例
page 10	於仁燕梳公司股東年會去年獲利九萬七千餘鎊
page 11	救濟潮柑之貸款
page 11	汕學生組救國會
page 11	桂洲發生挾械劫案
page 11	成立新聞紙檢查所
page 11	江門繼續治河工作
page 11	限期遷葬寄莊屍棺
page 11	黨部派員改選商會
page 11	順德陳商解決營稅辦法
page 11	台山毒斃店東竊款潛逃
page 11	嚴禁收穀米過境費
page 11	汕商庫證之收回問題經建會與領戶各有主張一主速收一請綏收汕市府之折衷辦法
page 11	經建會擬縮期收回
page 11	發出通電請求展限
page 11	商證領戶舉行請願
page 11	市府擬定折衷辦法
page 11	開平水岡鄉劫匪握斃老婦案續詳昨在長沙獲疑犯
page 14	南昌兩委報社長被捕程教廳長非法逮捕贛新聞界一致聲援
page 14	駐美大使王正廷定期赴美履新廿一日乘柯立芝輪啟程各團體　排日茶會歡送
page 14	津市警察局破獲漢奸招募勞工機關係受某方利用募工築防俄工程業已運去數批主犯宋寶升被捕
page 14	排除抗　思想養成暴動實力日圖冀察表弛裏緊用退還庚子賠款邀知識分子赴日考察利用失意軍人政客聯絡土匪伺機暴動
page 15	班禪回藏
page 15	減免賦稅
page 15	減免茶課
page 15	改善烏拉
page 15	設實驗區
page 15	教育設施
page 15	整頓團隊
page 15	推行法幣
page 15	辦訓練班
page 15	劉文輝談西康現狀續自赤匪竄擾後幾殘破不堪經陸續整理漸次恢復原狀
