page 1	韋爾斯抵歐以後
page 2	晉省戰局我佔優勢絳縣城日軍在我圍攻中
page 2	菲律濱導　評論日答覆聲明書日謂與菲共同享受資源此語令菲人士增加變患
page 2	東京發生夜梟行路會夜後停止坐車藉此節省汽油
page 2	我炸毀津浦路軌日南下兵車十二輛駛經該處全部傾覆
page 2	吳忠信將可返京渠到西藏宣撫之後漢藏關係已極敦睦
page 2	開封厭戰自殺
page 2	馬學豐發表史前時代日本係亞洲大陸一部份
page 2	日又造謠國府代言人經予以痛闢
page 2	傳英機三架飛入挪境倫敦方面關係全局
page 2	滬偽警官錢人龍被擊斃
page 2	齋籐事件解決難日內部矛盾深刻化
page 2	湯恩伯抵重慶表示決繼續抗戰
page 2	美國寄漢郵件被日截留檢查美領事向日提出抗議
page 2	李霞卿駕機周遊南美為祖國募捐藥品
page 2	美政府協助民航發展在大西洋派輪常川報告天氣
page 2	英伯爵比霍特昨逝世
page 2	英挪商務協定將在倫敦簽字
page 2	教育部決在渝郊設國樂保存所
page 2	陸子冬發明煤炭代油爐將在渝展覽表演
page 2	川康政工會議昨在行轅開幕詳商川康政訓方案
page 2	日最高軍事參議會舉行正式會議討論重要問題日皇亦列席
page 2	美人畢啟熱心捐資興學國府明令嘉獎授予一等獎狀
page 2	重慶各界歡送壯丁入伍
page 2	滬法租界成立物價評定委會
page 2	滬工部局通過加稅議案各項稅餉增加百分之十
page 2	擾扶南日軍潰退大塘邕欽路連日激戰極烈蘇南日圖犯溧陽為我軍擊潰
page 3	瑞典聲明堅持中立
page 3	羅斯福個人代表抵達羅馬即將晉謁教皇
page 3	芬若早得外國物質援助蘇軍必難進展芬蘭隨時願接受和平解決但芬蘭安全地位必須保持蘇芬戰事仍繼續糾纏
page 3	上海南京路一首飾店被劫
page 3	九龍山渡春
page 3	八源潭壯烈
page 3	七銀盞血淚
page 3	美發表第二本秘密外交文件其中藍辛與石井討論中國問題美方提議維持中國之門戶開放
page 3	粵北爭地行二
page 3	六鐵路巡禮
page 3	北歐三國會議結果維持中立地位期望蘇芬戰爭能早日停息歡迎交戰國進行和平談判
page 3	美國和平使者維里斯抵羅馬意政府對維里斯此行甚關切維氏偕齊亞諾訪謁墨索里尼
page 5	中山當局發出　報
page 5	古井日軍自撤去後
page 5	日機出現新開各路
page 5	欽縣日軍反戰潮澎湃我軍克復那香長灘被困日軍在日機掩護下潰退我軍分兩路追擊犯扶南日軍
page 5	桂洲海尾各鄉誓死不易日幟自衛團聯合抗戰
page 5	瓊島戰事迭起瓊山文昌軍民之勇戰閣市設伏計殲日騎廿餘軍民合作痛挫東閣日偽日兩犯豹山均遭我擊潰
page 5	紛起作內應
page 5	向閣市進犯
page 5	向豹山良田
page 5	增援江會偽兵抵容奇我國分路夜襲之收穫東北偽兵向我團隊投降
page 5	大良陳村勒流各地商業漸復
page 5	新會團隊派員來港募藥
page 5	東路我軍進攻莞龍續訊
page 5	教部改善小學教師待遇
page 5	四邑民眾慰勞粵北戰士
page 5	粵北大會戰的光榮勝利品展覽會巡禮歸來
page 5	更大注意
page 5	粵北作戰光榮戰史
page 5	會戰經過
page 5	英勇狀態
page 5	歷史價值
page 5	日軍犯三埠陰謀被我粉碎古井日軍已全部撤去會西各地偽軍亦有撤退模樣昨日機在各線窺伺偵我虛實
page 7	設計委員發表意見
page 7	減租運動進行步驟
page 7	設計委會正式成立
page 7	李應林歡宴港大校董
page 7	趙昱棲息濠江潛心研究文字學
page 7	燕大校長南下
page 7	僑商電省府請慰留香翰屏
page 7	本港煤油非再增價警署交通部之解釋
page 7	粵青年會服務團募捐訊
page 7	英使夫人飛渝
page 7	華商籌賑會慰勞金勸募隊昨出發一日內已募得萬餘元東區隊昨因事未出發
page 7	窮住客之福音港九住客聯合會實行擴大減租運動設計委員會昨已正式成立某委員談述兩個進行步驟
page 8	慘案發生
page 8	兇手自殺
page 8	傷者入院
page 8	粵文物展覽會已閉幕會期過短各界多未參觀擬再擇地展覽以慰眾望
page 8	工業發展多賴推進
page 8	九龍新電力廠昨開幕全部機器均屬現代化工程之大為遠東僅見
page 8	八十二年前之九龍
page 8	今之九龍已非昔比
page 8	籃球聯會週末召開會議辦理各團體參加手續
page 8	大生杯排球賽各隊最近形勢逍遙名列前茅
page 8	徐氏兄弟決退出全港雙單打網球賽其他華將亦將取同樣步驟
page 8	網球健將　徐潤培昨訂婚
page 8	銀聯誼會動態
page 8	籃球
page 8	角之爭　　慘　印司　人　殺同侶自知不了　　鄰屋天台飲彈自殺尚有一人受傷入院療治勢極危重
