page 1	中蘇將訂軍事協定之傳說
page 2	晉東南日軍南犯以江平為目的激戰十日日軍卒被擊退我進迫圍長子長治等地
page 2	我在柳林設伏獲勝
page 2	蔣委長由蓉返渝曾發告四川民眾書
page 2	魯西我軍逼進武城日軍分路進擾被我各個擊破
page 2	國府明令褒揚楊仁天談明華
page 2	各方通電討汪
page 2	我空軍襲漢日方損失奇重
page 2	滬西三不管地帶情勢近益惡劣煙賭館跳舞場日增居民擔負日益繁重
page 2	淪陷區日貨制止輸入內地我政府已宣佈條例
page 2	青島英行華買辦被日當局扣留
page 2	亨德臣發表戰前在柏大外交印象戈林將軍本甚贊成和平但希特勒終於發動戰爭
page 2	土將與英法簽訂互助協定土總理謂土蘇談判破裂不能接受蘇所提新要求
page 2	華北排英潮愈趨劇烈
page 2	張伯倫謂德國故作虛偽宣傳以減少其不利於德國之立場但此舉是否有效則不能無疑
page 2	兩監犯調服軍役有功國府明令赦免執行罪刑
page 2	吳忠信參加達賴轉生典禮
page 2	楊毓初廣播阿部內閣前途
page 2	昆明重慶間將成立空郵線
page 2	贛北我軍分三路進擊切斷奉新靖安間聯絡九宮山巔鏖戰五晝夜我軍大捷新牆河北我軍向羊樓洞挺進
page 3	日外務省代言人須磨接見記者
page 3	長沙會戰是怎樣勝利的一中央社戰地特派員劉竹舟
page 3	鼓浪嶼交通昨日經已恢復雙方訂立解決協定美日水兵俱已撤退
page 3	美將鉅額黃金售於巴西
page 3	法巡捕頭鄭海陶被人行刺身中兩彈兇手逃去
page 3	史葛特在川捕得一熊貓帶赴香港運回美國
page 3	荷政府向國會要求國防經費數達一萬萬荷幣
page 3	蘇軍依據協定開入愛沙尼亞駐守各據點
page 3	歐戰發生影響滿洲商務出入口貿易減少百分之五十以上
page 3	上院繼續辯論中立法案仍注意遠東關係
page 3	進攻薩爾區域德軍傷亡六千德防線大軍雲集準備總攻意皇聲言意不願與法作戰
page 3	蘇政府機關報稱蘇仍中立
page 3	羅斯福提議積極擴充海軍擬於　年要求國會支付特別費增加海陸軍人員　改裝驅逐艦
page 3	馬尼剌勞工以華人為最多
page 3	北歐四國舉行國際會議或將討論和平問題決心維持政治獨立
page 5	北江我日兩軍將有大戰
page 5	克復睦洲昨訊三埠輪渡復航
page 5	中山海面日艦來蹤去跡
page 5	河南龍翔里發生命案偽維持會職員被殺
page 5	省府議決購運贛米救濟東江民食向省行借擬二十萬元
page 5	省振濟委員會擬定難墾計劃按步實施劃定墾區實行各種措施
page 5	省府電飭所屬嚴防強索壯丁
page 5	中順團隊夜襲桂洲續訊桂洲向無日軍入駐傳我團隊夜襲不確
page 5	廣西繼續停止外人遊歷
page 5	籌募寒衣各縣設獻衣台
page 5	東江我軍增調寶安連夜襲擊日陣續詳我軍固守布吉等陣地伺機向日軍陣地襲擊
page 5	粵南婦女慰勞桂學生軍
page 5	韶將設市政局
page 5	張惠長巡視古鎮防務
page 5	日軍源源　到江會四邑三埠情勢頗覺緊張日機連日分擾新台開鶴各縣
page 7	在港酬酢
page 7	賽氏談話
page 7	今日
page 7	香港青年會國語班
page 7	汛美機昨抵港
page 7	商賑會昨會議
page 7	文藝團體今日紀念魯迅
page 7	慰勞英將士會已籌得千餘元
page 7	戰工團今出發取道海防轉桂
page 7	修正義軍條例
page 7	旅港增城商會昨開賑難會議
page 7	中央　賑委員于斌由美返港
page 7	旅美華僑捐款十萬犒軍
page 7	西女墮樓慘死
page 7	大埔道又一住戶被劫三賊假冒電燈匠入屋綑縛事主掠去數百元
page 7	路透社總經理昨日由渝來港
page 7	李景樅昨抵港
page 7	蔣委員長昨電獎胡文虎
page 7	聯義社海外部檢舉冒名發電
page 7	美駐菲專員賽萊談美國對歐戰之態度不願捲入戰爭漩渦但極為關注對遠東航業與商務不輕易放棄
page 8	臬庭昨判決刑案七宗糾黨行劫三犯處徒刑
page 8	蘇聯藝壇稱譽我國畫購置多幀以資借鏡
page 8	粵指紋法學會積極擴展會務
page 8	國際醫藥會售旗得萬餘元
page 8	澳門華僑義學演劇籌募經費
page 8	留營難民人數較上週減四十餘名
page 8	省銀行設各縣辦事處舊行員得請求復職
page 8	全港中西公開渡海泳今舉行麥偉明出獄後首次表演身手陳震南破題第一遭參與競賽
page 8	週末籃球義賽加插一幕港滬名手大會戰電影皇帝金燄為滬隊客串
page 8	本港田徑界擬舉辦中西田徑義賽一俟募得獎品即著手進行南華十七屆陸運開始報名
page 8	公開籃　戰績
page 8	中青游泳團週年水運大會成績甚佳
page 8	港　衡物價決從主要糧食著手罐頭食品利錢　規定最高七厘郭泉嶺伙食商或不致提出反對
