page 1	Ｘ機空襲中之疏散問題
page 2	試想我們物質何以不如Ｘ人
page 2	Ｘ人最後目的全為經濟侵略
page 2	建國根本工作在謀生產發達
page 2	一方利用外資一方自力建設
page 2	我軍進襲江門Ｘ犯鶴山海口不逞新會之Ｘ被我擊潰
page 2	晉境一週戰況各線均成膠態同蒲南段經我連日破壞晉南偽軍紛紛相率反正
page 2	便衣隊長張鴻謀壯烈犧牲
page 2	羅斯福擬再度呼籲和平又當提議召集會議解決國際各項問題
page 2	我軍克復唐河縣城
page 2	外蒙騎兵開入滿境
page 2	偽華興銀行將於今日開幕該行發行無現金準備偽鈔滬金融界已決定拒絕使用
page 2	波摩兩省發生反德事件
page 2	我襲桐鄉縣城一部衝入城內
page 2	Ｘ在滬租界調查懸國旗者將認此為排日份子
page 2	涼城附近公路破壞
page 2	綏境我軍進抵榆林
page 2	豫南戰局穩定新野唐河先後克復現我軍向桐柏挺進
page 2	Ｘ由牛行向我進犯發生激戰
page 2	全國生產會議中蔣委員長講生產建國前方抗戰後方生產同樣重要要以精神動員達到物質動員
page 3	鄂中我軍奏捷克復禮山岳口旬日來Ｘ傷亡達萬二千人
page 3	全國生產會議孔院長開幕詞原文二
page 3	Ｘ對鼓浪嶼當局提出五項要求積極取締排日份子總攬行政警察等權
page 3	英美當局極端注視
page 3	Ｘ機襲汕侵害英商財產
page 3	瑪德里城將舉行勝利大巡行參加巡行軍隊將有十六萬德意軍隊巡行後即可回國
page 3	美國舉行精神的軍備擴充運動喚醒國人知擴充軍備需要
page 3	交部添闢西北馱運路線
page 3	台維斯杯賽第二週賽成績
page 3	抗議Ｘ機濫炸重慶事件日將向英美提出反駁累及外人財產損害日以為憾謂但外國領館附近有高射砲
page 3	美國干德奇州煤礦工潮擴大
page 3	美現行購銀法滿期後將廢止
page 3	答覆英國提案蘇聯照會英國蘇報著論頌揚英土協定
page 3	關於德波爭執意相不任調人但澤短期內恐將有嚴重事變波國防部長赴法商軍事問題
page 4	極為熱鬧
page 4	紅十字會
page 4	博羅僑商昨開籌賑會議
page 4	賑聯會常會紀
page 4	駐港英艦統計
page 4	二三百輛
page 4	誑報劫案被罰
page 4	菲士軒利非返英
page 4	中國婦女會救護　昨贈送中國紅十字會在皇后像前行獻車禮王正延博士親到接收
page 5	鄧龍光令封鎖牛灣
page 5	寧路之Ｘ聲勢洶湧
page 5	Ｘ機轟炸台荻車路
page 5	某軍要測判Ｘ企圖
page 5	新鶴路Ｘ衝至杜阮
page 5	一區收容寧路難民
page 5	中山安謐炮聲由來
page 5	漢奸女扮男裝被獲
page 5	北路Ｘ增兵後之劇戰我退出福和控制Ｘ陣廣花線我軍襲擊高塘Ｘ增援從增頻頻調動
page 5	我軍退出福和
page 5	襲擊高塘小勝
page 5	Ｘ軍調動近情
page 5	桂洲團隊乘夜焚Ｘ杉排竹筏Ｘ之準備進犯中山一切為我團隊所燬
page 5	增城附近炮戰甚烈Ｘ司令部被轟燬
page 5	Ｘ艦出沒靡常南路形勢略見緊張Ｘ曾強登瓊島舖前港惟轉瞬即退各縣加緊破壞公路嚴禁官吏嬉遊
page 5	沿海Ｘ艦虛張聲勢
page 5	奉令再三破壞公路
page 5	嚴禁官員涉足煙花
page 5	Ｘ增兵再圖西犯木棉劇戰我軍奏捷欖崗仍在我掌握中
page 5	Ｘ犯木棉再被擊退
page 5	Ｘ趕築通九江公路
page 5	Ｘ宣撫員被擊受傷
page 5	寶安縣黨部停止深圳農村會活動未依法定手續登記
page 5	對淪陷區通訊禁用番號
page 5	致縣府函
page 5	省黨部呈
page 5	Ｘ在江會增兵達七千餘連日向新鶴寧陽兩路圖西犯鄧龍光電令　即封鎖牛灣河
page 6	Ｘ艦近態
page 6	槍決漢奸
page 6	難民到汕
page 6	省府獎勵清遠抗Ｘ團隊
page 6	省參會首次會議昨已開幕
page 6	Ｘ機又炸粵北翁源附近受損較大
page 6	韶紀念青年節向軍政黨長官獻旗致敬電慰蔣委員長前方將士
page 6	北行八日紀
page 6	省府會議紀要設工廠收容煙民
page 6	桂學生軍東下
page 6	Ｘ機又炸洛平官窯墟
page 6	我機空襲廣州
page 6	軍管區令嚴懲征兵舞幣官員主管長官連帶處分
page 6	中山我團隊襲Ｘ後Ｘ艦封鎖蕉門滘水道不准船艇來往島民已告絕糧
page 6	佛山近來癘疫流行Ｘ兵患疫死亡甚眾
page 6	南海夏　鄉傀儡被殺
page 6	寶安破壞公路第三區工作最努力
page 6	Ｘ機一架昨窺伺寶安境
page 6	甘竹灘我團隊截擊Ｘ艦擊沉Ｘ拖船三艘
page 6	粵囚徒百餘請纓殺Ｘ
page 6	Ｘ機十四日襲汕續詳汕警局長昨槍決漢奸鼓浪嶼難民到油情形
page 7	金門僑胞救濟難民舉行一碗飯運動張坤儀售畫七百餘張黨部歡迎蕭委員吉珊
page 7	中華救護隊定期義賣書畫
page 7	諾貝爾昨赴滬
page 7	閩江發現水雷
page 7	青年會勞工部設女工服務社
page 7	粉嶺保育院下月興建圖則已繪就可容六百人積極提倡難童生產教育
page 7	粉嶺新院建築計劃
page 7	請撥馬頭涌地建院
page 7	愛國小販陳新長期義賣五毫本金獲利二百元
page 7	積極提倡生產教育
page 7	搶匪入獄三月
page 7	Ｘ機　炸英輪海壇輪船幸獲脫險貨艇多艘中彈沉沒
page 7	好勇鬥狠香港仔鴨　洲數十人發生大打架因婦人口舌之爭弄成慘劇死一人傷八人獲疑犯數名
page 8	粵慰勞會徵募短衣成績
page 8	中航新機到港
page 8	赴星船票價格飛漲男客票售至二百八十元女客票更售至三百餘元
page 8	中央儲蓄會是月抽彩結果
page 8	劉君任夫婦訟案未了劉兩子不願與母同居兒童法庭上且泣且供述其母蘇安平之待遇
page 8	匿藏數簿
page 8	自願隨去
page 8	法庭研究鐵鼓爆炸慘劇
page 8	印警索賄疑案押候明日再審
page 8	伊殊兇惡
page 8	血案疑犯提堂
page 8	嶺東校籌賑成績
page 8	聖約翰救傷隊昨大操港督羅富國蒞場檢閱並訓話對救傷隊勇救傷難大加獎許
page 10	籃球界不幸事件盧振暄放棄業餘資格昨午已有專函送聯會聲明今晚爭霸戰補賽盧決不出
page 10	蕭氏談話
page 10	盧氏談話
page 10	盧氏原函
page 10	學界排球賽保羅昨勝培英
page 10	宵來籃球戰績南華春風國際奏凱
page 10	週末足球義賽南華戰港聯軍為體育界服役團籌振
