page 1	德意兩獨裁巨頭會晤
page 2	我日兩軍爭奪中條太行兩山晉南日軍退集交通線
page 2	日本工人生活困苦
page 2	日機襲川成都發生大火
page 2	日報仍希望改善英美關係日僑撤離倫敦非準備參戰將來局面如何視英美態度
page 2	駐滬英領事突患喉病病情嚴重入院療治
page 2	越泰關係緊張泰集中大軍於邊境越泰邊境發生事變
page 2	大名會等純由日方辦理汪方無從過問
page 2	匪徒截劫金戒併將手指切去
page 2	美水兵被扣留案哈特向日抗議
page 2	滬市大水漸退
page 2	財經兩部改進川桐生產
page 2	澄田已抵河內將即繼續談判日越出河內協定範圍竟在內設立司令部
page 2	滬米價繼續高漲
page 2	汪組織籌備開國民大會
page 2	英質問羅政府扣留英人理由
page 2	蘇芬兩國又締結一新約關乎亞蘭島地位
page 2	滬中流銀行行長戴平清被行刺
page 2	美海關扣留運日水銀
page 2	贛北駐軍協助人民耕作
page 2	印左派領袖布斯勢將被控係為破壞國防
page 2	德意兩國獨裁領袖在畢蘭那山道會議討論軸心國家冬季外交軍事
page 3	法屬海洋洲總督加利談話法屬海洋洲之人民一致同情聯軍方面
page 3	美坦克車二百架讓於英國第一批已運出
page 3	比逃亡政府三項政策
page 3	英海軍帆艇沙福號已沉沒
page 3	英當局定期實行買貨稅
page 3	韋爾基主張工商農大聯合
page 3	天氣惡劣英機停止活動倫敦昨亦寂寞
page 3	粵衛生處設產婆訓練班
page 3	日米收成減少
page 3	兩個堡壘
page 3	三個協定
page 3	史太陵主張對日實行禁運美在太平洋只有兩途與日開戰或退出遠東
page 3	泰晤士報評論三國同盟成立最有利中國日本招致英美之仇視即係斷賣其國家前途
page 3	法前空軍部長判定無罪甘茂林達拉第等未定期公開審訊
page 3	英海陸空軍三大臣未更動各軍部作戰成績邱吉爾對之滿意
page 3	綱粹黨人在挪威建新秩序政權
page 3	英倫發出兩次敵人渡海警報英海軍即準備迎擊又散佈人造化學霧
page 3	英首相約見郭大使商討開放滇緬路將以緬甸產油供給中國赫爾表示反對封鎖該路
page 5	日在榆林港築工事
page 5	粵南桂南最近戰況
page 5	明江寧明間仍激戰
page 5	粵省政府澈底防除小旱與珠江水利局商定辦法經費由各 行負責籌集
page 5	粵北各縣召開警政會議經過會期五天通過要案多件
page 5	關於國民大會展期之訪問
page 5	軍管區整訓團隊彭濟義出巡各縣
page 5	台山海面日艦蠢動廣海香港間航運停頓江會各線連日仍有砲戰
page 5	粵積極改進衛生事業調整各縣衛生機構增加經費全省設五個防疫隊加緊工作
page 5	禺南鄉民擊附日軍抗繳護沙費
page 5	粵南桂南我軍事繼續進展滑石墟劇戰我又獲鉅大戰果日艦仍集中榆林港野心叵測
page 6	洋米　稅入粵限期展至年底財部分電海關知照
page 6	四邑擴大經濟游擊戰粉碎日人以戰養戰陰謀
page 6	龍博兩稅局改稽征所劃　惠陽局管轄
page 6	省府通令保護汽油進口
page 6	東江救早會月杪成立陳驥任總隊即開展工作
page 6	工作實施法
page 6	日機飛過韶市
page 6	粵分區儲鹽
page 6	某戰區委定高級職員各處處長名單已發表
page 6	容桂近郊我游擊隊活躍日艦深夜　轟細滘海尾
page 6	粵南各縣禁雞鴨豬出口縣府評定米價
page 6	本年冬耕實施辦法惠陽指導員談
page 6	廣東鎢業分處劃定國營礦區由經濟部自行開採
page 6	救皇隊組織
page 6	李勉成昨抵四邑視導黨政軍工作情形教廳派余超視導台山幹訓所
page 6	潮安外圍戰事激烈我軍克復蓮湖進迫浮洋控制　頂山衝入文里焚日營游擊隊活躍襲　津日陣得手
page 7	尾房招租
page 7	突來三賊
page 7	損失調查
page 7	葡僑慶祝國慶
page 7	九龍京士柏山建兩防空隧道各區防空建築物陸續完成惟救護人員現仍未敷分配
page 7	京士柏山建兩隧道
page 7	救護人員仍感不敷
page 7	港大醫學院是屆新生擠擁一年級生將限　升級
page 7	警探搜獲大批偽幣男女四人被扣留訊辦
page 7	鐘聲社游藝會第二晚之情形
page 7	港曼班機復航美飛粵機定抵港
page 7	徐謙今日出殯
page 7	干諾中保衛團擬定待遇辦法
page 7	畫家王濟遠赴菲籌款振難
page 7	柴價暴漲純係商人居奇希望政府嚴加取締
page 7	法大使將飛越越訪美代表團昨日抵港
page 7	霍亂症漸消滅
page 7	蔡公治喪委會將開結束會議
page 7	二房東招人租房三強盜乘機入屋行劫全屋婦女盡被綑綁噤若寒蟬女兒箱中長物卒被搜掠一空
page 8	今日賽馬成績蠡測連環彩將最惹人注意
page 8	灣仔劫案提堂
page 8	英警誤殺魯警察詳臬被告亦曾承認毆傷死者
page 8	均益倉前百餘苦力打架十人受傷四　犯被捕
page 8	警探嚴緝字花賭匪一經捕獲決遞解出境
page 8	赴韶失業教師希望增給旅費
page 8	鹽艇半途遇盜貨物盡被拋落海中
page 8	茶客跳樓重傷
page 8	春秋劇團演新劇
page 8	干德道兇案兩傷者未出院再押候一星期始開審
page 8	水警撈獲女屍
page 8	男女夜行遇盜
page 8	女郎仰藥自殺
page 8	港越班英輪復航無期越邊日艦　集航行仍危險
