page 1	川樾返日應作重大建議
page 2	修正國大雨法規案初步審查會議結果國大組織法條文數目仍為二十條選舉法已由六二修改減為六十條
page 2	國大組織法
page 2	代表選舉法
page 2	蔣委員長仍在私邸靜養今日破例接見沙王
page 2	日本舉行祭孔祭式全用中國古式祭文係用漢文讀音
page 2	日新任駐京總領計程今日抵滬川樾廿八日返日
page 2	王陸一返京談于決辭謝稱壽
page 2	日對中國之合理抱負準備加以充分考慮日三相協議所獲得之結論
page 2	政院重視川災籌商救濟辦法
page 2	川省振會昨開成立大會
page 2	中樞兩紀念週林居分別報告林講地方自治與召集國民大會的關係居講赴平青等地經過及各處一般情形
page 2	粵漢鐵路貨運日益增加
page 2	狙擊嚴獨鶴案昨日開堂審訊兇手似患精神病供詞語無倫次
page 2	何桂國部防地尚未確定
page 2	德王將在德化召開蒙旗會議商討在察北組偽政府蒙旗民眾代表赴綏候謁傅作義促請早日肅清蒙奸並克復全察華北日軍春季大演習連日調動極忙
page 3	津海河又復發現浮屍純係壯丁並有傷痕此事極引各方注意
page 3	日食觀測會常會定期在京舉行
page 3	政院通令優恤革命軍人
page 3	褚民誼電蔣院長為黔民請賑濟
page 3	劉建緒報告皖南近況地方安謐茶商雲集打破已前蕭條景況
page 3	名古屋展覽會侮辱　國楊雲竹照會日外務省促請注意名古屋全城電車汽車均奉令懸掛五色旗並將殷逆汝耕之日語廣播演說播送全國
page 3	兩部派員考察統計組織
page 3	英法商船衝破封鎖陣線西叛軍向英提抗議戈林赴羅馬與意首相晤談對西局前途將有重大影響
page 3	國選總所召開所務會議
page 3	胡展堂逝世紀念決定提前舉行因與英皇加冕同日
page 3	政府軍飛機轟炸瑪拉加
page 3	戈林赴羅馬與意相晤談
page 3	法加緊擴充邊境軍事防禦展築馬士諾防線該防線全段以地底砲中構成預算建築經費二十萬萬佛朗
page 3	蘇使訪謁佐藤企圖緩和日蘇空氣圖創浩比較良好之國際環境便利其將來對德政府之拆衝
page 3	陝平糶烈局日內即可成立生產貸款亦開始貸放
page 3	國府批准明日意使呈遞國書墨芬呈遞國書日期亦由國府分別批定
page 3	喜饒嘉錯與史丹法尼昨分覲林主席
page 3	蘇二屆五年計劃提早全部完成
page 3	烏人桑氏美著名航空降落傘表演家表演不慎竟遭慘死從三千尺之高空一躍而下降落傘驟失效用乃生慘劇
page 3	傅作義昨赴河邊謁閻閻病大見痊可週內即可返並
page 3	武漢軍分校軍官班開學禮在武昌南湖舉行
page 3	于將漢魏碑石捐贈陝省府共達四百餘方
page 3	德輪那麥克之船主突被暴徒刺傷
page 3	艾登抵比聘問定廿七日飛返倫敦
page 3	紐約泰晤士報載法俄聯繫防德德謀與蘇聯接近蘇聯竟置之不理
page 3	孔特使昨抵熱那亞與在滬蔣夫人通話蔣夫人告以委座政躬甚健此次為中意間之首次通話
page 4	公開雙打網球賽林珍隊得決賽權
page 4	海利輪提前赴滬東亞隊今午北返在港祇能作一場籃球比賽改對港聯卅五比廿一獲勝
page 4	兩隊略評
page 4	比賽情形
page 4	民大籃球隊來港昨晚敗與青籃團賽畢乘天一輪返省
page 4	上海代表唐英桓來港接洽領袖杯埠際小足球比賽小足球協會昨晚洗塵會長黃蔚樓今晚歡宴
page 4	友誼足球賽彙誌南粵戰和海軍
page 4	太古敗與炮兵
page 4	荷里活女星比提甘信率壘球隊環遊世界本年九月七日可抵港
page 4	白隊約戰雅賢
page 4	太古勝廣九隊
page 4	本港華人體協會積極籌備參加全運足球游泳男排球必參加其餘均有參加可能設田徑訓練班挑選優秀份子從事積極訓練
page 5	程天固昨談根本救濟粵米座量之進行視察三角洲經過將以該地為失業　僑　　之一部經費約需一千萬但將如何籌措失資本北　後
page 5	程次長談
page 5	維持華僑
page 5	內定計劃
page 5	合作會議
page 5	浚河捐問題粵海關之訪問記統一緝政將實現稅務司之談話
page 5	戴恩賽昨已返省辦理洋米入口事宜上月　海關稅收二百餘萬元
page 5	肇和艦日間出塢江防部派員　收
page 5	民食調節會昨召米商會談記
page 5	財政廳新訂各機關會計員暫行規程會計人員須由廳委
page 5	市營稅評議會函覆課稅標準
page 5	價格規定
page 5	決議　案
page 5	軍人教養院節省經費之辦法
page 5	清遠公會請複評田地稅
page 5	虎標良藥起死回生之鐵證讀看重慶報紙的記載
page 6	　方針
page 6	甲　治建設
page 6	內文化建設
page 6	農村建設
page 6	乙經濟建設
page 6	廣九鐵路經濟調查會組織
page 6	轟動開平之智婦扁門困匪黨憑樓拒捕案續詳軍警因投鼠忌器協圍碉樓三晝夜匪黨劫得槍械後在內憑樓據險抵抗誘　匪黨之妙法與破獲全案之經過事主譚家活在樓內已被匪黨殺斃
page 6	共建碉樓
page 6	匪徒脅持
page 6	事主身世
page 6	營救祖父
page 6	兵匪激戰
page 6	商定誘捕
page 6	匪徒被捕
page 6	電鄒殿邦
page 6	致財部電
page 6	報關行再電財部請發還柴油按稅並電請鄒殿邦就近向部力爭
page 6	黃埔開埠督辦公署秘書長李秦初
page 6	審計部部長林雲陔
page 6	廣州理髮業工會
page 6	省會警察局壽辦全市安全大運動
page 6	甩繩馬騮專向女人追逐
page 6	鞋業糾紛平息一部會員又請改組
page 6	　省府紀念週吳鐵城報告治粵方針分政治經濟文化農村四項亟起直追完成偉大的任務
page 7	專員談話
page 7	登記期限
page 7	登記手續
page 7	米商意見
page 7	新會醫師考察團昨乘福安輪離港
page 7	西南民航購新機
