page 1	德意封希步驟不整
page 2	希軍舉行反攻意軍被迫後退
page 2	英報一致主張猛烈向意打擊
page 2	法在西半球屬土不會改變主權法大使對美提出保證羅斯福總統致書貝當
page 2	希臘接得英國大量軍實援助
page 2	地中海英艦隊已有充足實力
page 2	桂省府擬定南寧善後辦法決定先舉辦救濟及恢復交通經費由省籌撥餘請中央協助
page 2	希外交部否認和平談判謠言
page 2	被俘意軍五十押至薩羅尼加
page 2	希臘財富階級踴躍捐資助戰
page 2	希勞工部大臣向全世界呼籲
page 2	蘇聯官方否認供給希臘飛機
page 2	傳宜昌大火日軍準備退卻鄂中前線仍有不斷激戰沙市日軍向東竄犯不逞
page 2	浦東和平軍相繼反正已與我方取得聯絡
page 2	英機大舉炸擊阿首都希海軍亦已開始作戰希空軍取主動地位炸意機場
page 3	美陸軍部計劃建兩大飛機廠建機計劃分四個程序大量生產以供給英國
page 3	在中日戰爭中中美貿易發展中國對美貿易且有出超中美貿易數量多於戰前
page 3	旅緬華僑獻機祖國
page 3	韋爾基競選演講謂倘獲選將積極援英反對羅斯福對蘇聯解禁羅斯福在衛生學院演講
page 3	日荷煤油談判尚在進行日　注意此項談判
page 3	滬美總領乘輪返國
page 3	胡佛亦作廣播演說
page 3	西空軍人代表團赴英國邀約傳昨已乘機出發英報頌揚佛朗哥
page 3	貝當禁止泰輪停留越境並撤換序列泰公使
page 3	林語堂在美演說中　　戰迭　成功日本人力　已缺乏
page 3	重慶號罹難者名單發表乘客共死八人多銀　界人物
page 3	日傳宋子文在美商新借款
page 3	尼赫魯被捕係因擔任　　宣傳
page 3	駐英捷公使發表沉痛談話法國之靈魂將受德枷鎖
page 3	撤離英國日僑第一批已離境
page 3	加拿大軍器部定製大批軍器　自製飛機引擎裝配齊　英國
page 3	日新建軍艦谷風號昨下水
page 3	阿王塞拉西領導阿人抗意
page 3	傳張伯倫赴美張伯倫加以否認
page 3	陳公博將作滬市長
page 3	日大使建川與蘇外長會談談話內容未宣佈
page 3	美輪瑪和寶沙號昨日開來遠東接運美僑回國
page 3	美秘密投彈器批准運往英國史汀生對此消息不承認亦不否認
page 3	英皇下令停止休戰紀念
page 3	土總統將在國會闡明土外交內政土總統接見中東英軍總參謀官賴伐爾離德返回維士
page 5	南寧潰退後
page 5	修築沙深路
page 5	即自行逃散
page 5	加緊築工事
page 5	中央僑委會通令郵件勿經越南轉遞改由航空直寄香港或仰光避免越日軍檢查洩漏秘密
page 5	粵青年團發動蔣團長誕辰獻機運動每分團獻滑翔機一架限十一月底以前辦竣
page 5	桂農業生產貸款辦法農民為農業而需要資金可向農會或合作社借貸
page 5	粵贛公路聯運票價六十二元九角
page 5	粵贛聯防
page 5	日機狂炸四邑
page 5	老隆鹽運處策動韓江船隻改航東江並貸款救濟失業船戶
page 5	五邑江防總指揮朱克勤辭職訊
page 5	粵府令各縣限期設衛生院
page 5	孔可權升調戰區軍法執監馮定一任粵防空副處長
page 5	台山槍決間諜
page 5	桂南敗退日軍調寶安整理日趕築沙深路有再北犯企圖我團隊勸鄉民勿皆日軍工作各鄉民即自行逃散工作停頓
page 6	珠江日輪亦未復航
page 6	陸洲日境雙水吃緊
page 6	中山游擊隊襲沙溪
page 6	赴湘日記七
page 6	我機飛汕偵察低飛盤旋投下大批傳單
page 6	高信離台赴新
page 6	惠博鹽價趨跌近訊粵北食鹽將准商人運銷
page 6	鄧總司令龍光電告克復南寧
page 6	粵衛生處嚴禁醫生墮胎不准陳列　傷風　標本
page 6	粵驛運處將從新訂運價
page 6	岐關路我游擊隊活躍中山水陸交通昨未開放睦洲日軍續增圖犯古井雙水彭林生出巡各前線指示抗戰
page 7	少年蕭卓被控持假鎗嚇叔父索鉅款被告祇認求貸並非威迫承審官命押候再加研究
page 7	聯美機昨飛菲
page 7	港漁業實驗場在積極籌設中
page 7	美空軍要員乘機抵港將赴近東各地視察軍事狀況
page 7	澳洲華僑開發西康金礦李華洲談探驗經過
page 7	關蕙農之善舉捐筆潤充義　經費
page 7	四女團歌詠班招收男女學員
page 7	十月份之氣候溫度曾降至五十七創十月份最低紀錄
page 7	陳公哲書法展覽會今日在金陵酒家開幕
page 7	明年春委馬票現已開始發售
page 7	雙十贈旗捐款商會又　到數百元
page 7	本港海關擬集中檢驗出口貨物經分函各輪船公司徵求意見新界私梟猖獗增派幹員查緝
page 7	油麻地避風塘中西警探大搜海盜在兩艇中搜獲大批軍械疑犯九人拘返警署　辦
page 8	調查防空人員生活
page 8	學校舉行防空演習
page 8	防空監理處之訓令
page 8	英籍婦孺繼續疏散下星期將有五十人赴澳洲
page 8	移民局辦事處昨日尚未成立
page 8	士敏土價飛漲本港建築工程多停頓
page 8	串騙貨物疑案續審貨主供述付貨經過
page 8	價格高漲竟達　
page 8	日士敏士已無到港
page 8	畫人高奇峰逝世七週紀念高氏門人　畫展會
page 8	聖雲仙會年報去年工作成績甚佳
page 8	今日賽馬蠡測博彩者須防爆出冷門
page 8	以偽幣繳學費三男婦被拘控
page 8	孤軍營血案傷者昨已殞命被告吳公有改　誤殺罪
page 8	婦女會游藝會參觀者極擠擁
page 8	偷信賊又活動一住戶被　信資
page 8	港政府督促下學界開始防空訓練防空署派員到各校負責指導已動員救護員政府酌給薪金
page 10	今日加山之麓東南大戰爆發工力悉敵定冇劇鬥勝利誰屬頗難預斷
page 10	勵進團六週年水運宵來各項成績頻佳今晚最後一夕爭衡
page 10	今日公開排球賽南南戰保羅藍太古抗培英
page 10	域多利渡海泳頒獎有期
page 10	協會週年水運胎死腹中
