page 1	希特勒演說後之歐局
page 2	南晶會戰近情
page 2	晉局勢益好轉我軍迫近聞喜城郊雁北一度克復渾源
page 2	Ｘ機大批在湘肆虐在東門投廿餘彈
page 2	軍委會編發戰地宣傳綱要五揭破Ｘ以政治掩飾武力侵略陰謀鞏固各地政權使Ｘ被包圍而崩潰
page 2	犯鶴山Ｘ與我在金剛墟激戰Ｘ不支向江門九江潰竄
page 2	詹森假滿離美來華五月杪可抵滬
page 2	鄂中戰事有重起之徵象前線Ｘ軍移動甚忙三陽店為我軍收復
page 2	緩東我軍克百靈廟我乘勝攻固陽
page 2	七屆留英考試分在渝滬滇港舉行五月十日開始報名
page 2	豫南我某部衝入信陽車站鄂南我克復桂口市通城Ｘ歸路被切斷
page 2	滬Ｘ苛徵物價飛漲食米亦將統制
page 2	Ｘ在汕尾登陸被我迎頭痛擊
page 2	Ｘ在華北外匯統制幾已完全失敗
page 2	華北偽幣價值跌至五成
page 2	我軍包圍嘉興傀儡潛逃無蹤
page 2	滇藥保險子可作救傷之用藥研所所長劉紹光研究結果公開報告
page 2	贛北我軍克復向塘Ｘ向蓮塘南昌竄退我正追擊奉新之Ｘ感受威脅發生動搖
page 3	德陸軍統帥突到羅馬與意作重要軍事談判德意威脅波蘭勸以捷克為鑒波蘭受威脅加強對蘇之關係
page 3	南北各戰場所獲戰果由四月十六日至三十日止
page 3	山西方面
page 3	贛北方面
page 3	豫北方面
page 3	河南方面
page 3	廣東方面
page 3	浙皖方面
page 3	蘇魯冀察
page 3	綏西方面
page 3	南陽各界歡送壯丁出征
page 3	羅外長演說極力贊助和平羅外長離法啟程赴意
page 3	鮑爾溫離美返英據彼謂戰爭已無可避免
page 3	蘇報評論日難征服中國塔斯社長抵長謁當局對鄂中我軍備極頌揚
page 3	波蘭定下週答復德國照會但在答覆德方照會以前將採取充分之軍事準備
page 3	美對意日貨物將徵收附加稅
page 3	三月份對外貿易統計
page 3	英政府討論實施徵兵方式陸相倍立廈親任主席
page 3	功對巴爾幹態度行將轉趨積極蘇外交委會副委長波丹金訪問土國後前往保羅一行
page 3	四戰地宣傳人員之紀律與修養
page 3	希特勒接見匈國總理商討德匈兩國有蘭各項問題
page 3	滬工部局總巡被日軍官毆辱日內向日領抗議
page 3	上海勞工紀念五一節誓為抗戰後盾
page 3	希特勒強硬演說促進英蘇關係波蘭對蘇態度亦較前為好轉蘇英外交進行可望更為順利
page 4	華人文員協會本月四日焚債
page 4	中華書局歌詠隊昨日演劇籌款捐助戰時兒童保育會
page 4	婦人虛報劫案
page 4	孔教學院講學記
page 4	書法展覽會開幕
page 4	新會商會昨選舉新董事
page 4	中青服務團第四隊之行程
page 4	防霍亂運動開始舉行政府購備大批防疫藥苗將免費為各界店居民注射
page 5	Ｘ陷鶴城再度退出
page 5	寧路我軍乘機衝殺
page 5	單水公益失守追述
page 5	台山城之情況一瞥
page 5	北江我軍繼續猛進包圍神岡逼近兩龍東北兩線反攻後之Ｘ情
page 5	Ｘ武裝漁船圖犯香洲不逞九洲島Ｘ未去
page 5	容桂傀儡匿民械被扣留因爭賭規互相傾軋
page 5	港婦女會慰勞南路軍民捐贈雨衣交由八區專署分發
page 5	十二集團軍改編後各部長官調查
page 5	劫後市橋漸復原狀第五支隊維持地方治安商店復業者達五成以上
page 5	我遊擊隊夜襲廣雅書院
page 5	潮汕形勢稍和緩仍施行戒嚴及檢查輪船輪船旅客之檢查辦法
page 5	神岡Ｘ軍陷我包圍
page 5	花縣我軍逼近兩龍
page 5	Ｘ軍遭挫急待補充
page 5	南三兩縣我游擊隊活動破壞廣三鐵路夜襲官山Ｘ營
page 5	三水方面Ｘ軍動態
page 5	遊擊隊破壞廣三路
page 5	甘三珠部夜襲官山
page 5	新鶴戰事昨訊我反攻鶴城Ｘ損失甚重單水口經我收復已無Ｘ蹤台山市況如常我準備抗戰
page 6	氣象肅穆
page 6	參加人物
page 6	行禮一瞥
page 6	鄧陸訓話
page 6	主席報告
page 6	戰雲籠罩下的徐聞一民眾之準備抗戰
page 6	第一區別動隊梁社來函
page 6	陳斗宿接任高要縣長
page 6	中山五區一勞民聯歡會
page 6	省教廳擬設立曲江小學兩間
page 6	Ｘ艇在烏珠沿岸轟擊民船數艘被燬
page 6	仲凱農校保存優良蠶種教廳核准計劃及預算
page 6	靈山吳屋江發現金礦
page 6	中央賑濟會救濟博羅災民縣府昨已收到振款
page 6	韶關擴大紀念週詳情鄧陸兩中委向張李兩長官贈旗
page 7	港府選定堅固建築物準備戰時改作避難所緊急燈火管制演習將舉行勸商店職員參加防空訓練
page 7	李務滋通緝陣退縮將士
page 7	中山僑商會救濟故鄉米荒
page 7	鶴山商會撥款賑濟鄉民
page 7	暹羅增入口稅本港棉織品大受打擊
page 7	百餘箱藥物將運三水救濟
page 7	英屬交際電報今日拍發免費
page 7	保良局新舊總理已定五日交代
page 7	最近雨水統計前日又得一寸九分四厘
page 7	肺癆症之統計
page 7	老婦被匪毆劫
page 7	本報同人招待春季徵文前列諸文友許碩士主張提倡文藝比賽對文藝各竅要亦多所發揮
page 7	美洲酒店行李倉中昨搜獲槍彈千餘顆係十餘年前旅客遺下今始發覺警探帶回獲署將呈報法庭充公
page 8	青年節節食節用運動由今日起實行三天探訪隊員出發募捐
page 8	老翁自宮獲救
page 8	婦慰會募捐訊
page 8	工友精神動員
page 8	十七日內海陸發生劫案十九宗案匪九十一名獲疑犯十一人失賊值二千餘元兩人被刺傷
page 8	一婦人路遇搶匪
page 8	劫案獲七疑犯
page 8	名劇一年間本月下旬可公演
page 8	澳門三埠交通恢復和記輪渡昨日由三埠抵澳門Ｘ曾一度犯單水口未到三埠
page 10	今晚籃球聯賽甲組有兩場戰事鐘聲對廣大華南遇培英昨日青隊鐘違抗廣中告捷
page 10	鐘聲游泳場昨日正式開放情形熱鬧
page 10	今日網球有一場雙打准決賽徐家單戰林黃一對
page 10	兩校同學會分別舉行陸運大會項目豐富成績甚佳
