page 1	歐局之觀察
page 2	獎進畜牧產增強運輸力量
page 2	喚起婦女同胞推進婦女運動
page 2	傳日首相米內準備來華慶祝汪偽政權成立
page 2	日軍侵擾雷州半島南寧殘日續竄欽防
page 2	綏西我軍進攻薩縣斃日軍甚眾
page 2	我軍潛入鍾祥山口市擊斃日軍甚眾克復平壩進迫安陸
page 2	劫後英德秩序漸復
page 2	浙東日軍渡江北潰
page 2	湘北我軍夜襲忠坊斃日軍百餘名
page 2	沿海各省工廠遷入川者極多有一百五十餘家
page 2	渝市慶祝新運六週年蔣會長歡宴工作人員蔣發表演說鼓勵國民繼續抗戰
page 2	蔣委員長廣播全文
page 2	厲行精神動員策進戰時生活
page 2	協助兵役建設尊敬受傷將士
page 2	代用品質料粗劣日工業國策告失敗婦女聯會要求停製人造絲商品
page 2	協助肅清煙毒增進國民健康
page 2	促進國民經濟增加戰時生產
page 3	蘇芬兩軍有小衝突
page 3	德輪亞爾麥號現仍擱淺岸邊挪對德抗議尚未答覆德表示對英實施報復
page 3	兒玉質問開放長江問題是否有損害日本經濟利益俊六答由軍事觀點決定
page 3	聯準貨幣價格大跌
page 3	西里氏夫人發表廣播演講我國工業合作社
page 3	反對驅逐齊籐似已漸得有力者擁護眾議院懲戒委員會已準備再審查此案
page 3	西線各地無何衝突
page 3	遠東氣候嚴寒二十世紀以來所僅見月來我國冷斃者約五萬人日本農工業所受影響甚重
page 3	維里斯抵羅馬將與意相會談關係於其任務甚大
page 3	日眾院預算委會昨日開會預算案可原案通過
page 3	美下屆總統選舉運動共和黨決定所持政策充份維護美國門羅主義竭力避免捲入歐戰漩渦
page 3	日美商約續訂無望日美關係漸惡畢持門力主對日取報復
page 3	瑞典輪兩艘在北海被擊沉
page 3	日蘇進行訂新商約
page 3	巴拉圭總統總攬一切大權
page 3	教部通令改善小學教員生活薪金每年須以十二月計算並須將原有薪額酌為提高
page 3	台人在菲律濱違法捕魚不繳罰款已被監禁
page 3	美大使詹森由滇入川
page 3	偽建都委會經已結束
page 3	偽軍王占林部千餘反正日軍損失奇重
page 3	在滬中央飯店駱雨亭被槍殺傳駱與日方有關係
page 3	英印代表團謁新達賴喇嘛
page 3	日漁船龍神丸被扣留
page 3	英驅逐艦無畏號被擊沉
page 3	華西美以美教會捐助傷兵鉅款
page 3	滇越鐵路一連三日被炸
page 3	華西協和大學醫科學院失火
page 3	芬蘭亟向英法商訂軍事同盟芬總理將往倫敦請求援助德威脅挪瑞切勿援助芬蘭
page 5	日　古井僅採守勢
page 5	銀洲日艦犯瀧水口
page 5	反攻沙堆業已克復
page 5	我軍仍向江會反攻
page 5	嚴防漢奸收買耕牛鎢砂
page 5	市橋偽軍抽調空虛由廣州調一部填防日軍無故大捕鄉民
page 5	中山舉辦平糶
page 5	一區專員嚴限輔幣出口
page 5	粵東閩南之我軍捷音反攻潮汕路之激戰日偽被殲甚眾潮汕聯絡已斷華美菴埠浮洋各地情況混亂克復東山島殲殺日偽數百名
page 5	進攻潮汕鐵路
page 5	陸上聯絡中斷
page 5	陷東山島日軍
page 5	郵寄公文須避經淪陷區應加紅色M字符號
page 5	圖犯三埠日軍攻勢已頹我軍猛攻江會已迫近城郊沙堆一度失陷當夜即已收復銀洲日艦犯瀧水口在激戰中
page 7	擴大募集慰勞金商振會勸募隊已成立下星期一出發分七隊進行
page 7	港九教聯會電蔣院長致敬
page 7	英慰勞會總會函謝本港人士
page 7	義軍軍官駕車輾斃小童慘案裁判司命詳臬定讞
page 7	衛生局派員督拆違例寮屋獅子山道茅舍數百間已拆卸
page 7	酒牌局定期補選議員
page 7	打比馬票揭曉首名一三二五六九號得彩銀二十九萬餘元
page 7	攀汽車尾頑童墮地慘死
page 7	各界贊助深圳救傷醫院
page 7	四邑與澳門交通又告斷絕行旅千餘人折回澳門
page 7	星政府禁港貨進口廠商聯會向港府呼籲請向星政府交涉重訂通融辦法呈文昨已審查竣事決今日呈遞
page 8	今日賽馬成績蠡測
page 8	港政府組防務諮議局
page 8	本週重要足球賽東方巧逢蘇軍作特別銀牌爭奪戰旭和杯南華抗陸聯
page 8	全港學運籌賑會昨召開籌備委員會議議決提案多項
page 8	南華廿三屆徵求各隊整軍待發男學生會員祇收四元
page 8	西貢隊今返越港軍四月報聘
page 8	名駒沙甸禮不負眾望果奪獲打比賽錦標獨彩票竟售四千餘張創新紀錄第二場亞扶巴失蹄折脛被槍斃
