page 2	護法戰爭之是是非非　訴請國民
page 3	黎元洪昨兩次傳令備車出京左　為轉傳
page 3	全國淦勸黎元江聯曹銀自全　　待保　官僚地盤則反響　　黎　保派官僚止派者少　從其議
page 3	政客近　鼓吹孫文正總統曹錕副段祺瑞組閣以某都會建聯省政　奉系安福民黨三派合作新交通系為糧台又一說　段祺瑞正總統曹錕副以非常國會手續產生
page 3	津傳某三省代表訪段祺瑞
page 3	有擁戴出馬意段答以考慮聞　督軍團欲擁投以抗倡廢督裁兵者時　　　　象
page 3	聞決　沈　麟代理外交總長湯爾和理教育總長顏惠慶擬廿九日出京請黎元洪任王寵惠　閣以過八月朔日關頭但王不願代揆
page 3	眾議院議員報　已三百零　人　月朔日開會已足　定人數
page 3	黎元洪昨預　專軍遣送舊部一百七　員回鄂並給免票川資
page 3	黎元洪派員徵曹錕吳佩孚組閣意見曹錕未表示吳佩孚主張紹曾實行廬山會議主張
page 3	　行團議決墊款條件一須國會通過二須統一三須正　政府四整頓出納包整理內　債及裁兵五各省區各舉一　孚民望之代表來京共商借款正約
page 3	聞中國銀行團決自籌九六鹽債到期利息以維持市價
page 3	蔡成勳廿四日電二十日起王總攻擊第一師及第一混成旅由正面進攻豫軍及沈軍由側面進攻北伐軍已有退出贛州訊
page 3	勝聞張作霖此次進攻榆關要設防線志　入關與吳佩孚再戰京津人士頗注意
page 3	公府接黎樹電主張召集各省及孫系公開會議解決時局
page 3	唐紹儀電廣肇公所謝推挽謂乏力維持
page 3	章太炎譚延闓電責吳佩孚圖贛
page 3	段祺瑞昨派代表來滬接洽孫派
page 3	政府擬發統一公債一千萬
page 3	程耀南抵京叩謝程璧光之卹令
page 3	財政委員會通過安格聯以關餘充作公債基金案
page 3	傳政府密令發表蔡成動陳
page 3	炯　趙恒惕　督理軍務
page 3	七月十六晚東京電小幡耶時了也布氏已止式　任為日本　大興中國政府磋商撤退郵政局　又中國　　　會議日不遲橫竹為代表廿　號漢　電路透社訪員往謁漢陽鐵廠總監督稱廠工罷工係藉口工　俱樂部被省長解散工人所要求條件經於星期一夜解決但工人代表後又廢約不認
page 3	廿六號上海電
page 3	韶商所述韶關戰　　狀
page 3	粵軍增兵北上　揣測
page 3	某表人派人來　救孫文傳說
page 3	繳械許軍運省遣散
page 3	孫中山禁船工員兵聚談
page 3	西報之北江戰　消息
page 3	毆打學徒判監
page 6	陳炯明顧問與西報記者之談話
page 6	係元誥請令止進兵電　　　　　
page 6	雲南省政府暫　緝織大綢
page 6	鮑德　終不　一死與　　長　時　斃張學良　往　
page 6	唐繼堯派代表入京
page 6	浙盧否認聯孫
page 6	黃陂悼　程璧光
page 6	開審　　　案
page 6	　年即　年　前年　　　
page 6	搜獲船票
page 6	　控毆差
page 6	女子投水
page 6	夥伴　靠
page 6	竊案
page 7	連日尚　拉伕　發
page 7	魏邦平嚴守中立之苦心
page 7	白鵝潭艦隊之煤　消息
page 7	　　消息別報
page 7	　　河南賭博　寫真
page 7	復　北重官兵義容　字條
page 7	調查委員拘拿商團軍之大交涉
page 7	廣西散軍之　　
page 7	　　　　　大戰貴人初
page 7	粵軍設　兵休養所
page 7	冒充調查委員被拿
page 7	羅定軍事要犯反　
page 7	　帶槍決民軍
page 7	俄國與阿富汗　
page 7	瑣聞一束
page 7	教育局內三君嗣到塌
page 7	鹽稅　解財政廳支配
