page 1	堅定抗建信念
page 2	邕賓路展開激戰扶南　近日軍肅清
page 2	豫鄂會戰應有的認識二何部長在中樞紀念週報告
page 2	豫南鄂北方面
page 2	偽幣談判尚無進步
page 2	晉西七晝夜苦戰我軍克復鄉寧偏關日軍圖犯河　被擊晉南我軍繼續圍攻陽城
page 2	豫北我軍追殲潰日
page 2	汪偽特務毫無效能
page 2	新街日軍三路北竄我軍奮勇迎擊日軍充屍回竄
page 2	冉聚豐捐鉅資救國國府明令獎勵
page 2	陳嘉庚赴寧夏
page 2	中華海員工會厲行　運動
page 2	開戰以來德輪損失甚鉅已達六十三萬噸
page 2	日機今晨襲川企圖報復慘敗之恥
page 2	英國會昨開會邱吉爾將不出席
page 2	阿部入寧後寂無動作板垣對汪亦不　會
page 2	豫鄂我軍勢如破竹齊向日軍心臟直搗棗陽殘日繼續被殲五百餘我神勇空軍轟炸鄂境殘日
page 3	聯軍極力抵擋德軍
page 3	德軍攻勢確已漸削
page 3	戰局混亂真相難明
page 3	法嘉杜魯將軍受任安南總督
page 3	門德蔑地戰情甚劇
page 3	德軍受擊進展甚緩
page 3	英轟炸機炸敵成功
page 3	傳德與匈締結秘密協定匈牙利允德軍經過匈境德願割捷南一部歸匈國
page 3	日商務代表團抵達羅馬意當局歡迎
page 3	操外國口音者在法易受嫌疑誤認為德跳傘部隊
page 3	意報宣稱參戰之期已近
page 3	星洲當局攷慮加緊動員人力
page 3	澳洲聯邦加速徵募軍隊
page 3	荷蘭發行新幣發以存國內黃金作新幣準備金
page 3	聯軍西半球屬地美未考慮接管
page 3	加拿大政府將曾設空防部發展空軍力量以助聯軍作戰
page 3	美訊速進行實施國防計劃每年製出軍用機五萬架訓練後備駕駛師六千人
page 3	倫敦與大陸電話交通停頓係因總線有壞
page 3	歐戰發生後美通貨呈緊縮證券市情搖動
page 3	比京淪陷後城內情形寂寞但無秩序混亂狀態
page 3	瑞典當局否認德有要求
page 3	德軍侵入隆鎮亞眠以英倫海峽為目的圖越過恩河德軍已被擊退
page 5	各地日偽情況
page 5	中山方面情形
page 5	情勢日趨混亂
page 5	灣仔前山情形
page 5	日軍擴展廣州外圍防線在江村新街遍築堡壘廣花公路日械庫被我襲擊
page 5	我機夜襲廣州之收穫炸燬天河日電油庫及彈藥庫
