page 1	日人口中之中蘇國交改善
page 2	終為強權所懾佐藤已向右派屈服昨在貴族院答復大藏公望問話時並不否認日滿間不可分離關係
page 2	泰晤士報著論批評佐籐對華政策日本不斷壓迫中國終有爆裂之虞中國開誠公佈消極外交亦易引起革命
page 2	許世英謁王述職
page 2	綏戰陣亡軍民追悼大會汪主席奉派參加王懋功褚民誼被邀偕行綏垣籌備舉行閱兵典禮
page 2	中日貿易協會昨舉行理事會首次會員大會定十八日舉行
page 2	熊式輝赴廬謁蔣院長盧作孚飛贛謁蔣
page 2	美向德要求取締仇美言論
page 2	日本極右派政黨反對政府對華讓步佐籐竟謂滿洲國為現存事實主張對華堅持最低限度要求
page 3	將來艦隊應注意四項問題
page 3	英美海軍已毫無競爭之想
page 3	星洲軍港短期內即可完成
page 3	海軍限制實有相當之可能
page 3	慎勿輕視一九三六年海約
page 3	亞歷山大對海軍政策非難
page 3	各地舉行總理逝世第十二週年紀念吳敬恒代表中央國府報告紀念意義無論黨內黨外都應一致團結以救國
page 3	吳氏致詞
page 3	日方消息中樞將實行經濟建設計劃改組經建兩委會創立國家經濟建設院一類機關預定蔣介石或汪精衛運攝院長
page 3	參加英皇加冕禮現已在籌備中孔成行否尚可定
page 3	馬德勒戰情劇烈西政府軍大舉反攻空軍協助炮兵猛攻叛軍擊毀叛軍之坦克車多架
page 3	法國防公債昨已開始發行首批五十萬萬佛郎
page 3	青省剿匪捷報匪軍三團全被解決斃偽軍軍長陳世才
page 3	滬租界強徵租捐案現仍未獲解決
page 3	英海相宣佈造艦計劃擬在年內建造軍艦八十艘軍艦之建造決不沿襲舊式或摹仿他國之範本每艦圖樣悉以戰事經驗及試驗之成績為根據
page 4	長途賽跑攷源
page 4	兩校開運動會赤柱聖士提　書院
page 4	聖士提反
page 4	英童
page 4	乙組銀牌準決賽再戰結果砲兵依然失敗王　得決賽權成績為四之與三
page 4	二屆華人公開長跑　明新捐贈獎品並主持頒獎典禮
page 4	昨日公開網球賽江道章大敗加蘭星期一有兩場比賽
page 4	足球之歷史沿革李惠堂在播音台之演詞
page 4	英美銀價昨略升
page 4	　力退步之南華今日再遇勁旅施福施福大非昔比可湔雪前恥中華與東方必須努力掙扎九龍會與奧斯德可得勝利
page 5	黃旭初昨晨由梧赴邕日內偕白崇禱飛桂林與李宗仁商五路軍事桂因財政問題決不增加軍額闞宗驊之談話孫科宋子文南來時決到桂一行
page 5	營稅潮短期可解決稅制會審議大致完竣各行商紛紛組同業會統一商運藉此可告成
page 5	輪迴空展到油後
page 5	陳慶雲回京服務
page 5	土菸專賣爭持中專賣處暫照原案辦理各縣之菸農貸款數
page 5	汕當局安定銀市
page 5	一五五師派孔陳等赴京受訓
page 5	財廳對找換業免予註冊之解釋擬將統制金融案撤銷找換店銀號將准予新設
page 5	巧婦難為無米之炊三區各縣財政困難一切新事業無由舉辦行政專員請省府補救
page 6	紀念總理逝世與開會補行植樹
page 6	華南糧食公司在滬粵組辦事
page 6	奧海關調查製煤油工業現況
page 6	潮屬發現偽幣　　省分行請　緝
page 6	陸文瀾晉京任務
page 6	韓江春潦漸漲水利局注意堤防
page 6	上官雲相談歐遊之觀感
page 6	國際情勢
page 6	新聞事業
page 6	鹽商昨再會議對加稅等事電中央呼籲並派代表赴京請願
page 6	汕市商人對營稅折衷辦法之異議
page 7	出席總理
page 7	開會情
page 7	主席致詞
page 7	會務報告
page 7	選舉結果
page 7	保良局新總理產生朱瑞英任第一屆女總理華民政務司闡述加推女界之要旨譚雅士報告一年來辦理局務經過
page 8	胡木蘭
page 8	朱家平
page 8	魏宸組
page 8	詹菊似
page 8	安立德
page 8	時利文
page 8	第一樓茶客跳樓
page 8	行使偽幣犯入獄
page 8	太平劇團演劇籌賑之成績
page 8	均益街劫案詳臬
page 8	合生輪在台灣海峽觸礁該船無搭客船員均遇救
page 8	由港赴台
page 8	四次電訊
page 8	九龍倉公司年會去年溢利三十八萬餘元
page 8	關係國防之粵鋼鐵廠六月間可興工工程師已由英倫首　東來傳　柏力此來曾談商此事
page 10	初級法庭案彙誌
page 10	謀殺
page 10	接贓
page 10	舖票
page 10	盜竊
page 10	私煙
page 10	今日賽馬之蠡測
page 10	　母案兇犯將受繯首刑定期本月廿四日執行
page 11	蕉嶺縣長為人題紀念亭聯　日是亦教孝教慈之意也
page 11	槍斃竊匪親屬控訴
page 11	聯鄉主任經已派定
page 11	疾風暴雨淹沒民房
page 11	潮安五區設民食調節會
page 11	實行整理全縣田畝
page 11	苗人男女提倡剪髮
page 11	奉令推進三關新
page 11	韓江上游水勢　漲
page 11	匪犯六名就地槍決
page 11	生匪劫死匪之金牙
page 11	四區各鄉時症流行
page 11	花燭夜新房小火警
page 11	南海調處舞獅傷人案訊
page 11	肇慶穀米市淡價格低跌
page 11	葵扇工罷工案續訊
page 11	台山耆英大會中八五老人提出壽灸法謂是仙傳秘法可以長壽無量世果有神仙耶
page 11	汕資源會鎢礦管理處嚴防奸人偷運鎢礦
page 14	駐日大使許世英返國抵港書面談話闡述一年中任務定日內晉京謁王外長
page 14	各界歡迎
page 14	日內入京
page 14	某方軍官飛抵察北　視偽軍並視察某方設立之兵器廠李守信邵利器被運回關外
page 14	明日抵滬
page 14	日軍在哈爾濱訓練防空幹部團員深恐蘇聯空軍轟炸先期設防特教練日偽俄大批軍警　　
page 15	日本之將來
page 15	太皇之立場
page 15	人民側之立憲政治觀
page 15	三非立審政治下之國民生活
page 15	西藏大局展望達賴班禪青年三　鼎立班禪　否回藏尚雖預測
