page 1	國糖產銷協會警告日糖業界之一封書中國每年需糖二千萬公擔國產者祇得六百七十萬公擔其餘均仰給外國去年統計日糖私入華北者九十萬公擔損失關稅二千萬元實為國際信譽之污點
page 2	日國會被解散經過政府謂眾院對重要法案缺乏誠意為刷新議會計乃採取嚴峻行動
page 2	海相主持最力
page 2	解散議會理由
page 2	日　表公報
page 2	獲得日皇裁可
page 2	川政改善已有具體辦法吳鼎昌乘機飛川何應欽最近亦擬入川行期未定
page 2	授政府以口實
page 2	唯一空前事件
page 2	內閣壽命縮短
page 2	川在皖購米百萬石辦理平糶賑災
page 2	韓劉昨赴杭謁蔣對各該省要政有詳細報告
page 2	闢濬粵河港公債今日正式發行
page 2	匪偽甘作日人傀儡擅改察北蒙旗組織廢除牘群名稱旂改稱政府各偽旂政府均聘日籍顧問
page 2	柏林當局取締教會學校
page 2	英將勸日放棄砲位競爭從事競爭費用浩大日難勝任何必行之
page 2	北寧足球隊放洋赴日遠征
page 2	兩常極端憤慨
page 2	新黨如何產生
page 2	加拿大總督昨訪問羅斯福討論汎美和平程序
page 2	行動背景因素
page 2	日政潮重起波蘭在陸海軍部強力之下日皇下令解散國會民政兩黨要求速通過選舉法修改案為海陸兩軍部不滿力主將國會解散日政府已定四月三十日舉行大選舉另組國會
page 3	吳鐵城發表告別市民書
page 3	滬機關團體歡餞吳鐵城
page 3	西安行營明日正式成立各廳組長人選已定
page 3	捷外長談德陷孤立決無戰爭可能英法兩國現已重採強硬外交德未必敢冒大不韙鋌而走險
page 3	冀察所得稅處今日正式辦公
page 3	班禪於五六月間方克啟錫回藏
page 3	滬各絲廠十二萬工人罷工醞釀已久且　有小暴動
page 3	洛杉磯破獲間諜機關捕獲日人二名
page 3	齋籐謂日擴充軍備在保滿洲國安全其不放棄對華侵略照然若揭
page 3	厭惡內亂西叛軍紛謀反正舉起共和旗宣告擁護馬德勒政府叛軍屢遭鉅創正向馬拉加港退卻
page 3	為西亂不干涉問題墨西哥向國聯提出照會墨始終承認西共和政府為唯一合法政府申請各國請停止西政府所受不公允待遇
page 3	擱阻英船英向叛軍抗議
page 3	德志願兵助西政府甚力
page 3	叛軍統帥下令召集新兵
page 3	國民政府命令任命朱紹良為甘省主席劉文輝為陸軍第廿四軍軍長
page 3	日商銀行白銀交還我國但大部份已於事前秘密運去原有數目實達二千萬元以上現在繳解者僅九百五十萬元
page 3	雷震談片
page 3	陳禮江談
page 3	美展會昨招待長官外賓參觀國府路上車水馬龍到會者極踴躍會場內摩肩接踵但秩序極為整肅
page 3	鄂參觀團
page 3	德名將魯丹多夫與希特勒言和
page 3	義軍攻陷三姓縣俘去日軍多名日軍事後拘捕居民誣與義軍互通消息
page 3	吳鐵城卸滬市長職務昨晉京向中樞辭行舉行茶會招待各界話別吳展期二日後南下就職
page 4	蘭芳杯中央穩得冠軍昨四比一勝皇仁明晚中央對陶聲
page 4	小型足球協進會今晚歡迎會長在堅道該會舉行
page 4	葉美蘭羅月好不日作新嫁娘培道因無人應戰中止來港
page 4	普通界籃球賽青年會產怪紀錄
page 4	英美銀價均報漲
page 4	英美匯兌仍趨升
page 4	港大運動會第三日馬超壯低欄冠軍三日舉行決賽
page 4	學界排球開始報名
page 4	網球比賽因雨改期
page 4	孔聖乒乓隊對鱆魚
page 4	群聲劇社乒乓隊昨勝中華第三屆新職員選出
page 4	港外匯市極呆滯
page 4	八九金跌後回升
page 4	省法幣市道沉寂
page 4	舊中紙先跌後起
page 4	茲將贈品列左
page 4	省西紙市價微降
page 4	滬外匯市極穩靜
page 4	國際杯準決賽愛爾蘭淘汰威爾殊威隊前鋒軟弱坐失必勝機會結果一比零愛隊與英隊決賽
page 5	四路軍裁廿團後改編特種師續訊
page 5	林主席由羅浮返省桂省籌備歡迎
page 5	公務員銓聚補救辦法之函知
page 5	汕市米商竟不願公益耶
page 5	五路軍將領今日就職程潛昨下午到桂林監誓後候迎林主席
page 5	電促迅即成立四省所得稅研會
page 5	潮關緝私隊調滬
page 5	史延程辭高法長部擬以鄧青陽接任
page 5	民食會某委員談洋穀米免稅打銷說不確各省米價高漲不能賡價運粵粵省民貪仍處恐慌中監督免稅洋穀米進口俟吳鐵城新任核定組委會辦理
page 5	陳誠昨到教員訓練所訓話
page 5	市商會請免查驗麥粉運內地手續
page 5	財廳令佈偽毫券鑑別辦法
page 5	吳鐵城電陳子木赴省府先接收第四科蔣院長令岑學侶北上岑俟交代後即可動程
page 6	呈文內容
page 6	不用原因
page 6	工會意見
page 6	商會呈請指定浚河捐用途
page 6	市林煙會積極辦理煙禁審警捕無照煙民禁煙總監之訓令
page 6	營業稅課稅標準財廳表示礙難變更稅率准可遷就減輕稅額確數仍候商會呈繳核辦昨日之各方消息
page 6	稅研會會議紀
page 6	鹽商會議及請願詳記對於籌建鐵路經費認為不應鹽商負擔到各機關請願記允轉呈財部核辦
page 6	稅評會昨成立
page 6	西南商會通電
page 6	汕商聯席會議
page 6	廣九焚車慘案死難家屬聯合會
page 6	意領館息
page 6	黃慕松公祭期
page 6	省會警察局
page 6	粵漢鐵路局決定在站上收票
page 6	廣東船務管理局
page 6	　省特展會
page 6	廣　市商會呈財政部
page 6	中華海員公會
page 6	製皮廠聯合會議後決不復用被除工人謂已受外界利用防不勝防廠方司理人將聯合總辭職
page 7	米行通電
page 7	港米價跌
page 7	港江輪大減客腳
page 7	圍捕吳淞街圖劫案疑犯搜出短槍子彈拘獲三人
page 7	三公司舉行年會
page 7	瑪麗皇后醫院十三日開幕院內設備均屬現代化可容病人五百名留醫
page 7	患耳疾竟萌死念
page 7	灣仔新市開光
page 7	兩貨倉增收倉租
page 7	本港米行商會電中央請速頒洋米免稅令安暹米數十萬擔到港未敢運粵粵傳洋米免稅可望十五日實行
page 8	參加隊伍
page 8	總監頒獎
page 8	獲獎警員
page 8	紅丸案三宗提審一群臬　兩判決
page 8	改良警政之提議
page 8	兩囚犯斃命研究
page 8	四人意外受重傷
page 8	世界巨舶白利曼明春首途東來欲以九十日環遊全世界爾意尼晏士輪亦再來港
page 8	　山上發現腐屍
page 8	承銀主命貴重物業當眾出投
page 8	比來一病輕於燕扶上雕鞍馬不知
page 8	香港高等法庭審理大錢債處
page 8	後備警察週年檢閱隊員較年前略減但表演甚佳警司希望今後質量均有增進
page 10	各行商捐款
page 10	各街搭牌樓
page 10	景色之種種
page 10	酒樓行會議
page 10	截劫案獲兩疑犯
page 10	華商會今日會議
page 10	園林官勸掃墓人愛護草木
page 10	石岐岐光醫院擴充
page 10	連副臬司返港銷假
page 10	慶　英皇加冕巡遊酒樓行又報效彩龍一條針花儀仗鼓樂各一副各酒家多自動搭牌樓
page 11	英使抵汕之酬酢
page 11	發展潮汕漁業訊建廳派員調查
page 11	羅定饑荒之慘象
page 11	各屬糖商聯請嚴禁壟斷土糖請厲行省府議決公開推銷原案
page 11	麻廠招男女練習生
page 11	天氣轉寒影響蠶桑
page 11	縣署一部忽然傾塌
page 11	順德巨雷忽起灼死蛋民
page 11	石龍塌舖傷斃多人
page 11	縣政府令保護掃墓
page 11	春耕苦旱穀米價漲
page 11	捕獲劫殺三命案犯
page 11	健婦響生兩子
page 11	拱北關沙角嘴關員被控淩辱女致死勒令脫衫褲檢查客投水死大動公憤同舟客願作證人
page 14	武力收礦晒鹽械鬥
page 14	勒索苛捐農民切齒
page 14	傀儡准再延長生命
page 14	閩省籌建兩鐵路電氣事業亦在發展中
page 14	在外交官之遊蕩生活
page 14	許閣森在漢闡述中英關係新動向條約陳腐不足應付環境宜互相同情而維持友善
page 14	漢口一市在十年以前
page 14	強發偽鈔發生慘劇
page 14	中英以雙方有互相觀察
page 14	認識中國與中國觀點
page 14	更深刻更健全之基礎
page 14	苟延殘喘之偽冀東宵小搗亂現狀黨羽眾多偽縣長均可流合污殷逆發偽鈔圖撈盡各縣存幣
page 15	日本左右兩翼勢力及其動向一片革新與改革聲浪中勢力的全貌及一般活動
page 15	右翼的時局協議會
page 15	左翼社大黨和勞協
page 15	徵稅乃一另外之問題
