page 2	香港居民對於太會應持之態度若何
page 3	徐世昌令鍾世銘署理鹽務署長聞此為羅鴻年到任條件
page 3	奉天軍官十餘人到財部索餉靳閣又有動搖說
page 3	靳雲鵬因閣員紛去軍政財政兩無辦法又有辭職意
page 3	財部次長羅鴻年昨已就職
page 3	公使團因川軍反攻擬將宜昌闢為租界
page 3	美公使昨謁顏惠慶討論煙酒借款
page 3	魯案非顏惠慶親自出馬不能解決顏有赴美訊
page 3	太平洋會經費聞　內再匯十　
page 3	川軍猛攻大沙坪孫傳芳調第四旅赴巴東
page 3	張作霖提出援贛計劃六項交張景惠赴保定與會
page 3	陸洪濤派員送白馬二百匹與吳佩孚
page 3	公府派員赴滬歡迎陸榮廷
page 3	武穴駐軍九日夜譁變劫後即逃
page 3	閣議財部次長汪士元未到任以前著鍾世銘代理
page 3	小幡昨晤顏惠慶謝唁未提魯案
page 3	太平洋會由　總理出名於十二日召集
page 3	張懷芝因參謀部無款難再支持請以明令解散
page 3	曹錕聞陸榮廷將抵保定已派員歡迎
page 3	王乃斌赴奉天名為祝母壽實則因閣　向張作霖疏通
page 3	外交部電太平洋代表團對於魯案暫守沉默俟政府電示進行
page 3	馬福祥派其子赴奉天會議運動西北地
page 3	旅京各團定期十　日在公園開國民外交大會
page 3	錢能訓在京所辦之信託公司農商部以跡近投機令改辦實業
page 3	北京開外交聯合會報界記者到三十人議論基為激烈
page 3	新督楊增新電京以英國根據前時新疆對土耳其斯坦豁免入口關稅之暫定條約要求適用於由英國領土輸入之貨物請將此等事件一律提出華會
page 3	法使對於中美借款以煙酒稅前經擔保欽渝鐵路之善後借款提出抗議
page 3	聞美國決定本國縮小海軍之計劃一裝有大砲在十一英寸砲以下之戰鬥艦巡洋艦全部廢止二裝有大砲在十三英寸砲以上之戰鬥艦巡洋艦廢止數艘三現在建造之軍艦停止一部此後在一定年限內不建造新艦
page 3	孫科對於加抽捐之堅持
page 3	葉荃就福軍總指揮職
page 3	令翁式亮赴肇屬剿匪
page 3	再誌陳炯明之北伐談
page 3	鍾秀南就財政廳長任
page 3	居民大會討論致電華盛頓會議情形
page 3	停戰紀念誌盛
page 6	　報紀中國　
page 6	本月份刑名案
page 6	電力公司更改電壓量
page 6	　份天氣
page 6	關於奧船旗號之通告
page 6	委任局員
page 6	新街名
page 6	　西醫
page 6	本港之海浴談
page 6	官地出投
page 6	童子會員徵求之褒榮　大會
page 7	民選縣長發表餘聞
page 7	李福林定期出發
page 7	許崇智尚須留省休養
page 7	高雷等屬大舉清鄉
page 7	調查軍界戶籍
page 7	孫文定購軍用品
page 7	艦長藉案索賄之敗露
page 7	胡柱國際餘黨為患
page 7	新會已散民軍之為患
page 7	組設苦力工人聯合會
page 7	磁器潮碗行工潮近誌
page 7	鄉民請願撤究團長
page 7	新會城火警
page 7	石岐景州電輪被劫詳誌
page 7	令查梅縣屯委被控案
page 7	令查順德護沙營被控案
page 7	令密緝私鑄雙毫匪徒
page 7	鹽運使之預稅准抵佈告
page 7	舉報官產例誌
page 7	控五華財政員吞沒借款
page 7	瑣聞一束
page 7	准潮州登記局分設派出所
page 7	主張日本親華之外人言論
page 7	日本在關東之鴉片專賣
page 7	中法實業銀行近聞
page 7	潛艇爆炸
page 7	美人選舉鬧事
page 7	法將東來
page 9	高淩霨之財長與煙酒借款
page 9	司法界罷工之所聞
page 9	閩南戰訊
page 9	吳佩孚長江聯防計畫
page 9	一場歡喜一場空
page 9	陳君賡如演戲籌款
page 9	和平戲院已開始拆卸
page 9	青年會員參觀兩大製造廠
page 9	搜獲私煙案三宗
page 9	深水　命案仍無頭緒
page 9	報失竊案彙誌
page 9	南華比賽足球
page 9	好一齣犬嚙手指之怪劇
page 12	陳炯明擬休兵　　
page 12	中葡交涉訊反對移京交涉
page 12	省長主張堅決
page 12	縣長陸續揭曉
page 12	北伐消息
page 12	國務會議例誌
page 12	國會歡迎凱旋
page 12	唐繼堯勞軍文
page 12	維持舖　總　大會議情形
page 12	局長統領互控
page 12	天河駁船被劫
page 12	洋服工人要求加工
page 12	王伯群赴梧謁孫文
page 12	聯興街火警補誌
page 12	廣三機廠主管無故撤差
page 12	梧州商團已起程來粵
