page 1	雄獅展翼矣
page 2	偽中政會議決議取銷平寧偽府華北另設華北政務委會南京偽府歸併偽中央政府
page 2	日續竄犯澄海遭我守軍痛擊瓊島日軍迭受重創新會河面日艦肆擾
page 2	晉南我軍連日圍攻夏縣臨汾日急調馳援我軍猛烈掃蕩中
page 2	贛北我軍克復橫港日軍死傷甚眾
page 2	駐滬美領哥斯行將離滬
page 2	全運會改期舉行
page 2	昆貴長途電話正式開放
page 2	歹地大賭館並未結束兼營鴉片　業並及裸體表演
page 2	李樹棠不甘附逆自殺明志
page 2	沁陽日軍損失甚重
page 2	鹿地亙擬組反戰宣傳隊往前方對日宣傳
page 2	錦水泛濫日軍工事被掩
page 2	鍾君發明光學玻璃兩種
page 2	濟南偽鈔大跌資源缺乏物價飛漲
page 2	行都追悼蔡公公祭次序排定
page 2	光復上海十三週年紀念滬各團體放假一天
page 2	菲律濱最近人口統計
page 2	紐約時報著論同情吉林威爾
page 2	加籍傳教士馬特遜抵重慶因華北反英潮劇烈
page 2	滬匪身懷炸彈圖劫一百飾店結果不遂被拿
page 2	日報謠傳格魯夏初退休此項消息係另有作用
page 2	日軍企圖打破邕欽路靈山東北仍展開劇戰鬱江南岸日軍企圖偷渡失敗
page 3	蘇反對北歐締約芬蘭不能接納該約純係自衛性質蘇聯反對實無理由
page 3	荷印前途的隱憂
page 3	英德巡邏兵作遭遇戰德軍擊斃五名英軍未有傷害
page 3	英機炸施爾特島法美表示稱許
page 3	美海軍在太平洋作大規模之掃蕩表演海軍當局對各種行動均秘密
page 3	英工黨反對蘇侵芬蘭
page 3	德空軍襲擊英商船隊
page 3	美銀行貨幣委會議決停購白銀該委會研究所得結果為對於中國絕無影響
page 3	畢特門謂美應救濟中國難民一如救濟波蘭者
page 3	德與羅馬教廷商訂宗教協定
page 3	中立國觀察家預料德意蘇間將進行談話蘇當派大員前往柏林德外長則將再度赴蘇
page 3	土輪開往外國須得交部許可
page 3	英採辦物品不能收受佣金一經查出嚴厲處罰
page 3	蘇芬兩國代表正式交換和約蘇又向芬提出新要求芬無法只得屈接受
page 3	駐羅馬德大使昨返柏林有所請示
page 3	蘇聯人士讚美我國音樂希望中蘇今後交換音樂廣播
page 3	為檢查輪船制度英駁覆意抗議
page 3	英將取較強態度對待中立國
page 3	新任法總理列諾氏組閣忙新閣日間即可成立
page 5	反攻中山之籌商
page 5	我軍將猛攻江會
page 5	日軍退出中山灣仔葡政府派警入駐詳誌聞係保護天主教堂一說謂將闢難民營日軍復佔石角關卡
page 5	四邑港澳之交通官商討論試行新航線由航商擬具辦法呈一區專員批准
page 5	生擒日軍
page 5	粵北民眾生擒日偽軍太平場偽會長被捕
page 5	農本署中山政務
page 5	小欖外圍之戰事
page 5	捕偽會長
page 5	日偽軍昨又侵擾南頭聞飽掠後又已退去日艦砲轟沿岸某米機斃數人　王若周幸耀燊出巡安定人心幸縣長昨對本報記者之談話必要時機關職員這疏散限制
page 5	王幸聯袂　巡
page 5	日軍強捕民眾加緊修築容良等公路在大良強募鄉民運日本
page 5	李主席撥款慰勞東江將士
