page 1	國際會議應速召集
page 2	湘鄂民眾自動協助軍事軍隊戰鬥精神倍增戰果圓滿堅定戰必勝信念努力邁進
page 2	去年度贛土產輸出不弱建廳謀發展礦業
page 2	墨索里尼亦復躍躍欲動將乘歐局緊張脅迫法國割讓意國所要求之土地
page 2	Ｘ犯牯嶺被我擊退
page 2	慰勞將士總會派員赴鄂桂各地慰勞運大批　菜赴桂分給傷兵
page 2	Ｘ機飛浙鄂狂炸溫州荊州美爾美教會產業被炸
page 2	津英商會長至今尚無下落外僑認係被親日份子架去失蹤前路人見其頭部受傷
page 2	Ｘ厚集海陸兵力圖大舉犯寧波Ｘ艦砲轟鎮海浙東情形緊張上海盛傳Ｘ在蕭山登陸之說
page 2	生產會議加緊籌備工作定期五月五日開會大會規程草案通過
page 2	行政院會議決議案
page 2	英援華貨幣案國會二讀通過將來英政府再以他法加強中國之抗戰地位
page 2	偽西北邊防軍兩師三千餘人反正蕭毛兩師長已到達某地謁某司令報告反正經過
page 2	修河戰事更烈在涂家埠北劇戰吳城Ｘ被擊向令公洲潰退我軍反攻兩淮已逼抵淮安
page 3	英工黨議員質問捷克事件首相答謂捷克事件全部政府現仍在進行研究中
page 3	波蘭人士歡迎英海外貿易大臣認為英波合作實感需要
page 3	滬美商圖書公司被搜沒收毀壞書籍兩種
page 3	我別動隊在滬區肅清賭竄煙館
page 3	英外相在眾院報告歐洲時局向全國各黨派呼籲消除意見合力對外
page 3	莫不震動
page 3	派兵駐防
page 3	曾受挾持
page 3	相當行動
page 3	根本原則
page 3	有兩目的
page 3	捷克民族
page 3	煽動他國
page 3	能否成功
page 3	豈無戒心
page 3	希特勒又將向立提出苛刻要求立國會昨開緊急會議德必援助米美爾獨立
page 3	土保切實合作維持巴爾幹協定精神聯合一致以保持東歐和平
page 3	法總統抵英英皇及后到站迎迓
page 3	德向匈提出要求謂將來作戰要假道羅國匈牙利對德此種要求尚未能決定可否接納
page 3	新運總會慰勞粵省傷兵
page 3	希特勒親函墨索里尼歐洲局勢將有劇變
page 3	德羅兩國可望重訂商約將來採取以物易物制貿易羅政府下命邊軍避免衝突
page 3	對漁業問題日本仍作夢想
page 3	法國積極備戰已秘密進行軍事動員內閣總理已發出第一批緊急命令全國工業亦將動以配合戰時機構
page 3	對德違法併捷美國嚴重抗議謂德此舉威脅世界和平美將以經濟援助民主國
page 3	傳陳逆錦濤被剌斃命
page 3	川康視察團明日出發今日先與紳耆茶話
page 3	蘇聯正式提議召集六國會議對德英對蘇聯提案已表示贊成在東歐樹立集體安全制度
page 4	捐金購債彙誌
page 4	廠商競投公地工業發達之表徵
page 4	搜獲大批鴉片一犯判處徒刑
page 4	興華國語校遷址
page 4	醬果行贈種洋痘
page 4	千秋角發現礁石
page 4	衛生局時症報告
page 4	澳門政府盼港商赴澳辦工業難民眾多可乘機以工代賑梁俊源函廠聯會力請提倡
page 5	治安會議
page 5	防Ｘ進行
page 5	救護工作
page 5	Ｘ機夜襲
page 5	本月十五日Ｘ機飛炸肇城續詳在七星岩投彈最多各災區之實地調查
page 5	投彈情形
page 5	災區踏查
page 5	死傷人數
page 5	上川Ｘ艦撤退一艘目下僅餘兩艘民眾鎮定如常
page 5	東路抗Ｘ義勇軍新委正副隊長
page 5	西線Ｘ情一斑欖崗乃有紙紮大炮Ｘ謀完成西線交通
page 5	一增加農產
page 5	建設廳積極規劃要政
page 5	二整理交通
page 5	三復興工業
page 5	李漢魂救護粵省米荒集資五百萬元籌設調劑機關
page 5	李漢魂召各淪陷區專員面授策動民眾抗Ｘ機宜古鼎華昨已赴韶
page 5	省府令各縣採訪忠義事蹟
page 5	中順團隊反攻大良詳情十八晚會議二十日進攻大良沙頭同時發生激戰大良情形之實地調查記
page 5	會議情形
page 5	進攻情形
page 5	大良淪陷區實地調查記
page 5	實安屬安謐如常遊擊區派員協助防Ｘ進行定期召開治安會議肅清漢奸緬僑救護隊返深圳繼續服務
page 6	Ｘ向增城增援
page 6	Ｘ忽揚言東犯
page 6	Ｘ數百犯博羅
page 6	粵農林局召開春耕會議
page 6	各縣黨部書記長抽調訓練
page 6	徐聞收容瓊島難民　州廣州灣復成避難所
page 6	增強東江遊擊力量
page 6	捕獲石龍維持會長
page 6	小樓哨戰斃Ｘ隊長
page 6	大批桂米運粵已弛禁出口
page 6	Ｘ佔大良後派兵在甘竹左灘登陸我游擊隊在右灘抵抗Ｘ兵力不敷不敢渡河
page 6	中山海面Ｘ汽艇夜犯三星尾被我前擊Ｘ汽艇增至二百餘艘游弋海面
page 6	潮汕米荒嚴重米價日漲省府派員調查
page 6	十九日晨Ｘ機炸西江南岸續訊高明三洲墟落彈數十枚燬舖屋數十間死傷多人
page 6	民建兩廳主任秘書委出
page 6	周漢鈴赴鶴山查探Ｘ情與歐縣長商禦Ｘ
page 6	新會汾水江團兵擊斃魚販
page 6	朱暉日巡抵清遠四會將續到西江南路各縣
page 6	余漢謀與吳奇偉商防務東路戰場我處主動地位東西北Ｘ陣之形勢
page 7	帝航機昨抵港
page 7	德記者口中之德國吞併捷克問題竟謂係德國自然的經濟發展與英法兩國絕對不發生衝突
page 7	財政部批准萬包洋米免稅運中山中山僑商議決平糶辦法先運一千包赴澳門發售
page 7	蘭開夏艦抵港
page 7	李祿華女士為啞犯作舌人
page 7	婦慰會常會記
page 7	雅麗氏醫院之一磅贈禮日
page 7	華南國醫學院又聘名教授來港
page 7	各界賑聯會昨日會議決撥千元為黃花崗公演費存米四百包未決定分配辦法
page 7	中賑會撥給三善團白米各二百包許代委長昨慰問新界難民兒童保育院等辦理極完善
page 7	有利銀行溢利支配辦法
page 7	婦聯會今會議
page 7	Ｘ水兵圖劫糧食三貨艇與Ｘ作殊死戰一Ｘ艇中炮起火Ｘ兵盡被焚斃努力抵抗之下三貨艇均獲脫險
page 8	煽動軍警不忠政府罰則今日提出初讀立法委員並修正保護婦女條例財委追加是年政費四十餘萬元
page 8	修正保護婦女條例
page 8	煽動本港軍警罰則
page 8	臬庭續審刑案水警輪水手曾興糾黨行劫入獄紅丸犯六名均受重懲私攜軍械犯罪名成立
page 8	糾黨行劫
page 8	追加本年不敷政費
page 8	武昌輪已返港
page 8	藏有紅丸
page 8	私攜軍械
page 8	東莞籌賑會募得三萬餘元
page 8	賈乃錫將訪澳
page 8	住客聯會會議
page 8	十賊截劫礦工
page 8	我國銀行力謀發展國外業務僑胞匯款已多改由華商銀行每年可挽回外溢匯費千餘萬
page 11	昨日單打網球林珍兄弟告捷今有單打四場
page 11	麗華杯決賽雙方陣勢公佈李惠堂與告由奴分任主帥本星期日在香港會場交鋒
page 11	公開籃球今晚三場
page 11	小型球友誼戰績
page 11	甲組足球聯賽今祇一場舉行南南出戰若瑟於加山東方對土葛改期明日
