page 1	希墨會晤與維里斯返美
page 2	豫北日軍春蠢動受創
page 2	前陸相倍立夏質問援芬經過
page 2	張伯倫在眾院表示堅決態度準備應付希特勒之任何挑戰聯軍堅持打破納粹主義目的
page 2	津日軍部代言人發表談話否認不解除封鎖
page 2	薛岳夫人獎勵湘女作家首名獎金百元
page 2	格萊琪質問有田對汪政權態度並聲稱英對此不能漠視
page 2	渝市牛肉販昨晨復業宰牛二百頭悉售罄
page 2	平偽組織堅持維持現局表示不肯為汪響應
page 2	張伯倫在眾院答辯各方質問
page 2	我在晉南發動大殲滅戰在中條山以北地區前後斃日軍千餘人
page 2	本年輸出桐油約計有七萬噸其中　運美國小部運往蘇聯
page 2	賑委會組川西宣慰團
page 2	宋子文昨抵渝參加一重要會議
page 2	蔣院長宴教育會議代表訓示今後教育方法注意古代教育方法恢復禮樂射御書數
page 2	中央政治會議昨日開會
page 2	鄂東我軍進擊武漢外圍大岐山北麓發生激戰
page 2	南寧附近戰事仍激烈我乘勝向高峰　進擊犯靈山日軍被擊已向西南回竄
page 3	英空軍大舉轟炸施爾特島前後輪流轟炸達七小時德空軍根據地傷害甚大
page 3	日汪所謂之中央政治會議
page 3	墨索里尼輕視和平進攻理想意政府不能以全副精神致力於和平計劃之工作
page 3	英現時內閣確有改組必要工黨要求在復活節後即舉行一次秘密會議
page 3	美艦隊在太平洋舉行會操一部集中夏威夷一部再向西活動
page 3	張伯倫報告德空軍襲擊士加巴河之經過結果英海軍無甚損害有砲艦一艘僅受微傷
page 3	英將提出下屆年度預算
page 3	德方宣稱德有兩種決策一為繼續戰爭一為有處和平
page 3	法政府軍報西線寂寞
page 3	赴歐任務完畢維里斯昨返美行前發表聲明力闢外間謠言謂並無接受或提出任何方案
page 3	美國飛機出產等於上年三倍
page 3	法共黨議員昨被法庭提訊
page 3	蔣　　公子投筆從戎
page 3	駐加美公使抨擊美孤立派
page 3	日方滅黨的決心
page 3	二汪方　復黨而廢黨
page 3	所謂各黨各派等等
page 3	法內閣改組達拉第已辭職料重組新閣大命再由達拉第負責
page 5	日犯灣仔先佔沙尾
page 5	繼續侵佔石角關卡
page 5	廣州偽組織將散夥偽維持會改組訊呂彭亦棚尾拉箱
page 5	有功則賞四戰區司令獎梁震崗部俘獲順德偽職員
page 5	日分三路推進灣仔
page 5	寶安團隊搜捕奸偽昨已返防沙井鄉民拒捕事已商有調處辦法
page 5	石坡發現反戰傳單
page 5	小欖方面聞亦淪陷
page 5	廣州日糧倉火焚損失
page 5	東江出口貨物赴韶結匯商人希望准以國幣結匯
page 5	儲蓄券勸銷法
page 5	推行儲蓄辦法
page 5	粵省節儲運動分會推行全省儲蓄運動各縣儲蓄支會下月成立規定公務員購儲蓄券額並增劃十九縣為示範區
page 5	外僑
page 5	在韶外僑加入傷兵之友
page 5	部隊
page 5	店員
page 5	從化方面之游擊戰績羅洞鄉再被日掠糧食我積極破壞廣從公路太和市偽軍反正殲日我飛機隊又炸鍾落潭神岡日軍日來調動忙
page 5	攻蓮洲岡之游擊戰
page 5	日軍再度洗劫羅洞
page 5	我隊破壞廣從公路
page 5	粵北難童千餘續抵韶關增設分院收容
page 5	粵訓練會經已正式成立陸冠瑩主持內務
page 5	瓊守備軍電告日軍竄定安瓊東已崩潰犯屯昌日軍潰退被我軍截擊文瓊日軍退清瀾嘉積無日蹤
page 5	太平偽軍覺悟反正
page 5	我飛機隊炸鐘落潭
page 5	神岡日軍調動頻繁
page 5	中山灣仔昨晨失陷日軍已佔石有關卡小欖聞亦陷落二八四區無戰事石岐日宣傳迎汪又有反戰傳單
page 6	日軍又圖東窺饒平
page 6	潮汕區各縣市黨部書記長集合會議決定組織民訓宣傳諸問題汕頭市黨部近已恢復活動
page 6	第十二集團軍各部粵北殲日之功過獎懲二申明賞罰以資勸懲
page 6	中中交農四行韶聯辦處成立　廷瑞兼主委
page 6	楓溪　嶺成拉鋸戰
page 6	粵北軍民合作站已遍設百餘處
page 6	嶺東日軍以攻守楓溪　頂嶺之拉鋸戰日集步騎千餘圖窺饒平昨向意溪竄擾被我擊潰
page 7	一人報案自稱被劫
page 7	搜出軍械拘捕四人
page 7	疑犯人今晨提審
page 7	粵府救濟中山難民派員攜款五萬元抵澳
page 7	商會籌賑會
page 7	酒樓業大眾互助社春禮勞軍運動結束共募得國幣六千餘元財部嘉獎金銀貿易場
page 7	五人運械被警擒獲
page 7	南路游擊隊副司令陳尤山來港徵募雨具昨日招待新聞記者報告在桂作戰經過
page 7	金銀貿易場
page 7	殺人兇犯伏法劉天錫昨受繯首刑
page 7	澳輪運到大批雞鴨蔬菜
page 7	日白　丸扣留華警續訊
page 7	女青年會已募得三萬元淩夫人募捐隊獲冠軍
page 7	旅港留日學生組織同學會
page 7	情節離奇之搶劫案疑犯自動帶警搜槍械先後出短槍利劍多枝捕獲五人另有五人運械入油麻地被探截獲
page 8	長洲輿平洲兩鯨魚確被水雷炸斃長洲死鯨頭已炸去其平　一屋肉仍　食
page 8	警察巡查市面督促商店依時　市
page 8	行使偽幣疑案候傳征人再審
page 8	汽車會增闢花園道汽車場各區停車場亦擴大
page 8	昨晨上水坑頭村五賊持械洗劫兩住戶合共劫去港幣千餘元
page 8	復活節假期內郵局辦公時間
page 8	製纜公司年會去年獲利十餘萬元
page 8	兒童節舉行兩種兒童集會教聯會召集各校會議
page 8	醬料行互助社昨開常務會議
page 8	本港痢症流行去星期發生三十宗
page 8	歹徒阻警辦公各被判處徒刑
page 8	車輛失事統計去週死二人傷三十人
page 8	偽戲票案開審被告否認有罪
page 8	本港政府擬建貧民大廈
page 8	又破獲一賭局一魯警參加賭博被罰
page 8	港督定期頒發警察功牌
page 8	扶輪會聚餐紀
page 8	下次防空演習違例者決處罰一千元防空總監施拍堅昨發表重要談話希望市民與政府合作注意三要點
page 10	國際杯爭霸戰中華人選已定合四華隊組織成軍實力甚強勝利可期
page 10	澳記者體育團來港報聘今晨進境港記者隊足籃乒乓三路迎戰籃球義賽加插婦女健美表演
page 10	港記者隊　馬厲兵
page 10	籃球　賽健美表演
page 10	聯賽小組委員會選出征越球員十七人今日提審去週犯規球員
page 10	學界排球賽昨日開始報名本月底截止
page 10	南華泳場開放期
