page 2	尊孔篇上先言儒學非君學以破非孔者之惑
page 3	國務院電曹錕吳佩孚贊成中央地方分權縣自治法施行日及施行區域將公布以十年十月朔日為施行期
page 3	蘇皖聯防蘇督派陳占元皖督派殷恭先為司令
page 3	李兆珍決辭皖省長職聞京政府擬以許世英繼任
page 3	王士珍謝絕組閣徐世昌屬錢能訓
page 3	徐世昌派員赴重慶謁見劉湘述明對川意旨
page 3	顏惠慶約汪大燮為赴美顧問汪對太平洋會殊重視已允親往一行
page 3	張一麟接洽湘鄂和議不甚完滿已離去漢口赴寧
page 3	國務院交吳佩孚招致趙恒惕條件一湘鄂贛聯防二嚴汰暴烈軍隊三驅逐湘鄉派軍人四予趙恒惕將軍加勳二位五湘省官吏概仍舊
page 3	曹錕據報閻相文確中猛烈毒致斃聞劉鎮華極有嫌疑與郭堅部下無涉
page 3	靳雲鵬雖照常任事但態度仍消極似靳閣有必不久之狀況
page 3	吳佩孚電川軍司令請一致停戰駐宜昌各將領亦電夔州請勿進兵
page 3	劉顯世昨由岳抵鄂乞援蕭耀南令沙市八師往助
page 3	趙恒惕以將來位置不滿意不願偕吳佩孚赴鄂
page 3	微五號晚宜昌城外激戰勝負未分一說謂已為川軍攻陷
page 3	太平洋會代表以顏惠慶任首席顧維鈞王寵惠唐在復等
page 3	副之　
page 3	南北要人對於廬山會議經有復電張作霖以和平統一問題經由北京政府以命令布現擬另行討論頗嫌重複因之極端反對南方則以為此係直系及研究系政客壟斷時局之計劃故有不贊成之表示贊成者僅有陳光遠趙恒惕及直系重要軍人而已一說謂廬山會議本係吳佩孚與張紹曾之言論吳張諸人擬藉此覘知南北輿論之趨向
page 3	聞譚延愷以旅滬同鄉之勸告與黎元洪熊希齡等共同盡力促進和議現以作居間之故不日當往漢口
page 3	函述桂林之荒涼情形
page 3	桂省最近之戰訊
page 3	政務廳長由桂返省
page 3	市公用局失去銀幣之可疑
page 3	令電燈公司繳罰款
page 3	魏邦平擬辭去警務處長
page 3	陳炯明對於議員質問之憤慨
page 3	市衛生局准免裁員
page 3	定例局會議
page 3	昌與公司擴張亞灣航業
page 3	華商承購舊艦
page 3	遇騙報告
page 3	公平公會又將成立
page 6	　用　後這和戰　
page 6	直軍準備大戰之兵力
page 6	川軍攻鄂之風雲片片
page 6	北軍攻取長沙之計劃
page 6	杜錕珪陳述攻岳之情形
page 6	德華條約在國際會備案
page 6	十四國大學師生向國盟會請願
page 6	要求改組國盟會
page 6	上海患霍亂症
page 6	美界犯人逃獄
page 7	開平土匪謀攻縣城續聞
page 7	程潛今又為沈鴻疏通
page 7	孤兒院劃歸市廳管轄
page 7	委歐陽幹任兩廣硝礦同長
page 7	市選舉限日結束
page 7	海味藏煙土
page 7	粵軍輸送隊散而復招
page 7	桂軍散兵竄擾越南
page 7	魏邦平再赴武宣督戰
page 7	控告炮竹工會藉端要挾
page 7	汕頭市選舉日期
page 7	最近組織之工會
page 7	徒苦商民耳
page 7	余楨浦家屬請緝兇
page 7	徐謙被推為盧山會議代表
page 7	軍需長失竊牽累渡主
page 7	出口米照費又要爭收
page 7	三水選舉訴訟之結果
page 7	警所長不得濫委
page 7	大搜煙賭窟
page 7	福軍組織地雷隊
page 7	監投楊梅賓產業
page 7	南屬江浦之匪患
page 7	進剿花縣刀匪續聞
page 7	番順各沙之殼匪猖獗
page 7	三水西南賣煙之明目張膽
page 7	瑣聞一束
page 7	四審謀殺李少帆案
page 7	被控私煮鴉片煙
page 7	西人控被懷鎗
page 7	無從投遞待領之電報
page 9	青島日艦之大合操魯督請提出抗議
page 9	顧施兩公使之要電
page 9	閻相文之死與陳樹藩
page 9	中俄間之新問題北京搜查俄代表行李事件
page 9	陸建章　次上乩壇之趣詁中國之亂由百二十個么麼作怪在陰間時與項城相會現在中國么麼只死去五十個
page 9	余誠格等反對李兆珍長皖
page 12	太平洋問題討論通　
page 12	美術展覽會　
page 12	勸人勿往桂省求
page 12	章太炎譚延愷請討吳佩孚
page 12	顧品珍覆林森電
page 12	桂事一束
page 12	會城石主請東主會議
page 12	籌設　縫　
page 12	騙財騙色之敗　
page 12	藉邪教誘騙財色
