page 1	蘇聯對日態度漸顯
page 2	羅斯福料世界戰爭明年三月勢將擴大
page 2	下院外委又有演說贊成取銷中立法案
page 2	英德空軍互炸英倫北部一小鎮被猛烈炸擊英空軍亦炸擊柏林
page 2	王外長在紀念週報告國際形勢與我國外交一
page 2	印度總督演說印準備將工業資源供應帝國政府需要印供應部工作成績甚高已有大量物品供給英國
page 2	勞司安遺體舉行火葬待戰事結束運返英
page 2	德用廣播陰謀離間英澳澳洲聯邦總理談希望勒無聊之極
page 2	英國民意測驗多反對言和百分之五十九主張繼續作戰
page 2	英名女唱曲家馬治斯夫人逝世享壽七十七桃李滿天下
page 2	英勞工部大臣演說警告蘇聯勿干涉英國內政勿在英組織共黨
page 2	法新閣名單發表維士政府聲明否認德要求假道貝當廢國會改組諮詢機關德對法政局改變暫守觀望
page 2	法廢除國會組諮詢機關
page 2	北平大雪攝氏零下四度
page 2	明年九月日將全融日學者將來華觀測
page 2	滬法界工部局法律顧問特胡希被刺身中兩彈入院逝世兇手料係反汪份子
page 2	萬福麟傅作義等通電 汪
page 2	羅斯福將返抵美京白宮準備宣布全美非常時期法令美轟炸機一隊昨抵岷尼剌對遠東時局將有明白表示
page 3	里比亞沿海砲戰意前線指揮陣亡
page 3	德對意敗不關心欲向英本國攻擊
page 3	希軍直逼華倫納德比林指日可下
page 3	意軍報承認戰敗但尚有餘力反攻
page 3	沙市近郊我軍猛襲日軍晉城以西我日搏戰沁陽日軍出犯未逞
page 3	駐華德使館參贊柏拉桑已抵重慶昨謁我王外長會談
page 3	虹口區內日軍官被擊傷日軍封鎖虹口大舉搜索槍手
page 3	滬新聞檢查局日軍移交與汪
page 3	傳蘇續貸我巨款一萬萬元我以華茶易蘇物質
page 3	越南法空軍實施報復手段炸擊泰國慕克等地戴古談話表示仍望和平雙主連日仍有敵對行動
page 3	侵埃意軍後路已斷英軍前鋒攻入里比亞境巴地亞港將陷落傳英已佔加璧蘇砲台及蘇林意殘部死守壁璧將全軍覆沒
page 5	日軍又搜查泮塘住戶深夜到搜
page 5	旅港商人贈款粵兒教院
page 5	國大教員何某失蹤續誌遺孤已有人收養
page 5	實行公庫法後省款撥發辦法各機關設立存款戶須依公庫法規支付
page 5	沙韶路貨車被炸續訊
page 5	桂林籌辦冬賑賑款暫定十萬元
page 5	粵省府一八六次會議各縣組織糧食管理委會補償購米損失辦法通過
page 5	非正式軍人不得穿著軍服
page 5	英德民船組水上運輸隊
page 5	日機又襲粵北
page 5	蔣委員長親訂防空洞規則
page 5	粵軍需局長由李炎光繼任
page 5	香港雞鴨行隨軍救護團在粵近況為傷病官兵治療頗得好感惟藥物缺乏亟盼僑胞捐輸
page 5	東江各地遍設示範林場
page 5	增強瓊崖抗戰力量發動全瓊民眾動員籌組駐瓊戰工隊分區活動
page 5	鶴山救濟菸農舉辦菸農貸款
page 5	廣州市西各鄉村日軍　集由瓊崖台北調來人數二萬餘祠堂盡被佔據驅逐四週居民
page 6	國民兵團各級隊長由區鄉鎮保長兼任省府訂定合一編組辦法以期集中事權節省財力
page 6	寶安日軍封鎖邊界交通運輸車三百餘抵南頭
page 6	粵民政廳報告本省禁絕煙毒經過日在游擊區推行　我禁煙工作尚須繼續進行
page 6	調整禁煙機構經過
page 6	檢查各縣登記煙民
page 6	戒煙醫所強民工廠
page 6	杜絕來源嚴行考核
page 6	禁煙善後明年實行
page 6	省教廳派員視察四邑教育宣達政府整頓教育意旨改進戰時教育實施計劃
page 6	台山舉行國民兵總抽簽限月底前辦竣
page 6	禁征收練穀及穀捐粵南各縣奉令辦理
page 6	日籌備恢復西村工廠實行擴展經濟侵略政策
page 6	惠陽鹽斤增闢搶運新線
page 6	桂籌設造紙廠
page 6	中央當局設法吸收游資各地商業銀行存款提百分二十存國行
page 6	南海日軍扣留附日份子
page 6	增城鄉民抗戰之壯烈白石瓦窯兩鄉反對繳械斃日數十彈盡援絕
page 7	日不致攫取公共租界旅滬美僑實不 必撤退
page 7	警察當局取締私家汽車
page 7	第三批難童日間護送回國首二批已安抵目的地
page 7	一部份手車判工仍向車伕勒索車伕各勞工司投訴籲請飭屬嚴厲查禁
page 7	美新郵船傑克遜號抵港排水量九千三百噸
page 7	賑聯會昨會議
page 7	商會將請政府注意米行黑市現購上米每擔非十八元不辦與政府規定之價格相差極遠
page 7	第十一批義民今晨離港返韶
page 7	淪陷區生活困難婦女多被誘來港當娼拐匯貸資裝飾轉眼便成摩登女迫立借單墮其陷阱即無從自拔
page 8	僑胞匯寄捐款辦法全國慰勞總會重新訂定
page 8	手續過簡核算困難
page 8	重新訂定匯寄辦法
