page 1	促成憲政與繼續訓政
page 2	粵北我軍分路追擊殘日一路趨溪泉一路迫增城某將軍譚粵北會戰經過
page 2	鄂南湘北戰我衝入趙李橋鄂中戰局入新階段鍾祥日軍被我包圍
page 2	日俘虜自陳厭戰極欲在我國當兵撲滅日萬惡
page 2	汪定期在青會晤王梁兩逆將討論華北地位問題並分配新政權職位
page 2	日內閣命運似已不能維持至于繼起組閣人物各方屬意近衛文磨
page 2	日反戰同盟桂南前線宣傳日軍厭戰溢於言表
page 2	中振會撥款三十萬元振粵北難民
page 2	滬英籍巡捕頭被人誤傷胸部
page 2	英國在法空軍統歸空軍司令節制
page 2	孫院長談實施憲政意見憲政與訓政相輔而行盼全國上下合力以赴
page 2	美大使定期赴渝
page 2	畢蘇尼氏血管中毒斃命
page 2	豫南展開最高度血戰日不支潰敗遺屍千餘魯省遊擊隊活躍晉南戰況沈寂
page 3	蘇軍紛紛撤退秩序淩亂遺棄屍骸甚多
page 3	國際現勢與中國七孫院長在三團體歡迎會席上演詞
page 3	英國朝野對中國抗戰的看法今年比去年明瞭了許多英國在遠東立場是不會變更的
page 3	英輪登巴堡號觸雷沉沒另有英輪三艘被德飛機擊沉
page 3	德國被封鎖經濟資源漸竭德商人冒險施行商務方法冒險運貨返國應急迫需要
page 3	澳洲聯邦代表響應援助
page 3	英法土三國商務協定簽字
page 3	美海軍部將提議改良關島港口請政府撥支四百萬金元
page 3	歐洲和平運動達到具體階段羅斯福對記者之談話
page 3	中國藝展會在蘇開幕前往參觀者極為踴躍蘇聯各界人士盛譽我國藝術而對我國抗戰寄以無限同情
page 3	日本沿海一帶大風暴雨海陸交通停頓
page 3	張伯倫演講戰事最近形勢過去海戰成績尚稱滿意動員人力已在澈底進行
page 3	欣逢歲首除舊布新沙王以八事勉蒙胞望蒙胞集中力量共謀實現
page 3	中日美間問題無一獲得解決日美新商約勢難續訂
page 3	日美會談日期尚未定日希望在商約滿期前雙方談判有具體進展
page 3	美議員胡里士主張中國自行治理此則為各國之好榜樣
page 3	吳忠信可抵拉薩
page 3	德潛艇被擊沉
page 3	英國向美再定大批飛機
page 3	工部局派員保護佛蘭克林
page 3	匈外長再飛羅馬締結書面協定意外相擬赴匈報聘
page 5	木塱一度發生混戰
page 5	千餘日軍增援新鶴
page 5	寶安清奸續訊嚴厲查緝私梟
page 5	廣州市日偽會議維持金融決定以高壓手段將軍用票值提高
page 5	日偽圖犯大良經過
page 5	犯大　日軍被擊退
page 5	嚴防奸商收買銅元偷運出境囤積與銷燬亦在禁止之列日人收買銅元我獎勵舉報
page 5	林知淵被獲已解重慶訊辦
page 5	內地來港人談南三近來情形百物騰貴土產滯銷擄人勒贖斤兩估價日偽拉夫乘機發財
page 5	日憲兵隊在河南捕我便衣隊被擊斃三名偽自警團隊長亦被捕
page 5	東北兩路戰訊續誌北路我軍決繼續反攻潮安近郊續有劇戰
page 5	竄擾三洲日艇被我機隊擊沉
page 5	戰地縣府黨部策動淪陷區黨政辦法戰區黨政分會通飭週知
page 5	惠陽縣府召開冬防會議劉兼剛任游藝所參議
page 5	江會戰訊近誌前夜木塱方面之混戰日偽數百向大　登陸被我擊潰前日圖犯大良之日偽損失情形
page 7	閨秀演劇籌款籌得四千餘元
page 7	難童工讀院遷香港仔續辦各界人士紛紛捐助
page 7	戰地失學青年教育社決辦免費小學十四間可收容失學難童二千餘人將聘各界聞人為籌備委員
page 7	緊急燈火管制演習改下月底舉行防空新校舍短期內可落成已決定三月一日遷入辦公
page 7	新界砲兵野操
page 7	外人來華護照須註冊所攜金飾
page 7	節省陽光計劃研委會已草成
page 7	防空教練實習班將開課
page 7	英戰時慰勞會義賣揮春由葉恭綽等揮毫製版
page 7	商賑會昨例會
page 7	東華等三善院下屆殷商總理昨選出陸榕樂楊永康等二十人當選周兆五力請當選者勉任艱巨
page 8	四十六人
page 8	為火所封
page 8	出入口管理局嚴密防範空運仇貨飛機乘客行李須提前送檢並不准私攜信件違者沒收
page 8	美國學聯會同情我國抗戰昨致函本港學賑會慰問並謂願謁全力封鎖日本
page 8	車輛失事統計去週死一人傷廿五人
page 8	黑煙衝至
page 8	新界住戶被劫
page 8	留營難民略增
page 8	學生擦鞋募捐
page 8	汛美機又脫班
page 8	商會值理月會
page 8	三門關海面貨艇被劫賊黨中竟有女性一名掠去貨物值二千餘元
page 8	兵災會餐舞會下月十四晚行舉
page 8	藝術觀賞會第一次昨舉行琳　滿目觀者擠擁
page 8	美大使詹森月底始赴重慶
page 8	教育局通過學校補助辦法
page 8	搜獲大批可疑紙幣輪客兩人被警拘究
page 8	民教館樂隊近訊
page 8	知行校八週紀念
page 8	港澳埠際足球賽三月在港舉行港方決以甲組少壯派迎戰
page 8	宵來女子籃球賽1641仿林力戰破南華港大知行均遭敗績
page 8	足球名將徐亞輝決效力東方本星期日戎衣上陣
page 8	大生杯排球賽參加者共五隊
page 8	青年會泳團近訊
page 8	法庭研究上海街水災是役焚斃及跌斃居民四十六人以女童麥少芳之死為研究目標
