page 1	今年之和平節
page 2	豫南鄂北戰局屆暴風雨前夕日軍向安隨應線不斷增加大洪桐柏兩山間將有惡戰
page 2	日軍迫於放棄岷山之圍
page 2	湖南廣播電台定期播音
page 2	晉西日軍被擊已呈疲敗晉東南日軍受大挫
page 2	國府明令褒揚廖磊
page 2	華北反英運動又復增劇
page 2	徐州加籍牧師被日槍擊其中一人因　身死
page 2	日兵軍觸我地雷
page 2	不入虎穴焉得虎子梁朝雲抵東京梁為有名排日份子日派人查究其蹤跡
page 2	滬鋤奸案死者楊羅二人
page 2	中委多人抵渝
page 2	法幣繼續運滬
page 2	馬相伯紀念委會決定進行事項
page 2	對慕尼克炸彈案各方面反響情形
page 2	慕尼克炸彈案開始弋捕疑犯前後懸賞九十萬馬克尋求此案之真主謀人
page 2	傳中蘇成立信用貸款協定蘇聯貸我六千萬鎊金歐洲雖有戰事英法仍助我抗戰美對日態度強硬準備經濟制裁
page 3	德國騎兵發現荷邊
page 3	德國報紙攻擊荷比
page 3	荷蘭內閣特別會議
page 3	英意成立經濟合作協定
page 3	英國評論家意見英海軍尚能控制北海德漁船已全失北海捕魚利益反觀英國魚類供給仍甚豐裕
page 3	奧納粹黨人壓迫猶人
page 3	德國源源開到前線西線將有大戰前線砲戰及步哨活動益甚德軍大摩沙里河以東猛攻
page 3	前駐柏林日大使大島氏抵紐約盛稱德國軍隊良好日已諒解德蘇協定
page 3	德蘇兩國疑忌尚多在波蘭新邊界競築砲壘
page 3	克萊琪訪谷正之日謂英方提議重開英日談判
page 3	芬蘭當局禁售反蘇書藉
page 3	總理誕辰各機關均休假
page 3	孫科談話英國對華政策絕未改變蘇聯將來必繼續助中國遠東和平視乎歐戰而定
page 3	反納粹電台又發廣播演說謂慕尼克爆炸第一彈將來必再有繼續發生
page 3	日仍承認駐東京波大使
page 3	日外務省情報局長即將來華
page 3	夜襲桃林
page 3	比已準備抵抗侵略
page 3	德荷邊境發生嚴重事變傳大批德軍集合于荷比邊界荷比兩國加緊施行軍備戒嚴
page 5	新開新鶴兩路連日戰事仍烈
page 5	周漢鈴近奉命襲擊陸洲日軍
page 5	來菲難民分兩種辦理甲種新難民乃得以信用擔保乙種改難民照平當擔保辦法
page 5	大門河面兩菜艇被擊沉日汽艇之肆虐農民九人溺斃
page 5	粵火柴廠停止籌辦捐款贈婦女工作生產團
page 5	沿公路稻草限令各縣焚燬
page 5	建廳推行人力車運貨物
page 5	日本侵華戰爭中一幕癲婦尋夫慘史一別三年縈夢想遠尋萬里渺難逢見人誤認為夫婿頭血紅時淚更紅
page 5	江門日軍一部秘密轉調廣州
page 5	中山法院囚犯脫獄
page 5	嶺東各縣推廣種植山禾
page 5	台山全縣積極化路為田
page 5	本報記者赴中山西線調查新順中日偽情況之報告一日軍圖奪木松山被我擊潰日宣傳犯三埠係虛張聲勢中山安定沿邊區無日軍蹤跡
page 5	　魚沙匪盜猖獗利航台中兩渡被劫財物被劫一空損失十餘萬搭客被匪擊斃三人傷五人
page 5	寶安邊境各鄉奉令疏散婦孺老弱葵棚茅屋須拆卸準備向日軍反攻
page 5	東路我團隊襲擊東莞日偽
page 5	順德方面日軍亦時佈煙幕
page 5	中山方面西線一　無派事
page 5	中山沿境安定新開新鶴兩路戰事仍烈江門日軍一部星夜調廣州張惠長兼任一區游擊司令
page 7	預算案討論會改十六日復開
page 7	天氣漸轉寒冷日疋頭大量運港傾銷佔各國入口貨值第一位我廠商應乘時起與競爭
page 7	日貨乘機運港傾銷
page 7	中華廠商亟須努力
page 7	開本港新紀錄保險銷貨場出現
page 7	華探譚松獲獎英王功牌
page 7	歐戰和平紀念各機關銀行均休息
page 7	本月份刑名案定十七日開審
page 7	被日軍擊落帝航機之乘客平安返港兩英籍機師現仍被日方扣留日海軍當局又發表談話狡辯
page 7	木湖村難民之呼籲請當局免拆所居寮屋
page 7	英大使鄭重聲明絕未調停中日戰爭此次赴渝係遵常例謁我政府外傳種種謠言殊與事實不符
page 8	共黨活動
page 8	不良影響
page 8	美船主由歐抵港談撤退戰區美僑之經過該輪經巴拿馬運河時曾拯救一遇險之小輪
page 8	港九各水塘存水統計港存十九萬五千餘萬加倫九龍存卅二萬一千萬加倫
page 8	督憲杯初賽總會陣容排定解決球場擁擠問題座滿即關門
page 8	警察界限街佈陣甲組聯賽迎戰東方會加山雛鳳遇光華乙組A長勝軍東方對南華
page 8	警察局年報本港治安大受影響難民態港者眾去年刑案增加漁船被日艦焚燬者實難統計
