page 1	閱日外相演詞後
page 2	廣州日軍當局聲明廢止九龍邊約停止緬港運輸路線要求英政府不久則予以考慮
page 2	邕龍路日軍西犯經我節節痛擊連日死傷甚眾
page 2	粵漢北段我再克旭家
page 2	港青年獻劍團一部抵筑
page 2	日空軍三名在陝墮落被俘
page 2	軍委會發表一週戰況六月廿三日至廿九日
page 2	近衛積極組織新黨
page 2	日機濫炸片在渝公映
page 2	重慶大雨市民互相歡呼日機不能活動
page 2	渝市臨參會為日機濫炸發表通電重慶市民對日機暴行無不力切齒深信日閥遲早必須償還其血債
page 2	政院政巡團在粵行蹤將赴東江視察
page 2	寧夏民婦獻子從戎馬主席優予獎賞
page 2	豫東偽綏靖主任周嵐易偽軍三師反正將日駐柘城聯隊悉數殲滅
page 2	香港悶雨重慶喜雨
page 2	美對有田聲言的回響
page 2	豫東我軍衝入開封當陽西北我日激戰羊樓司羊樓洞一帶激戰未已
page 3	蘇軍開入割讓地羅國已表示讓步
page 3	蘇羅歸還失地經過情形
page 3	太平洋新形勢與日本一
page 3	德法停戰委會開始談判
page 3	納粹勢力已侵入巴拿馬前巴拿馬總統柯爾花路抵紐約時對記者之談話
page 3	對日本亞洲新秩序美國依然反對日外相有田之廣播演說美政府反響態度極冷淡
page 3	立外長應蘇約赴莫斯科商議蘇立關係問題
page 3	德法之戰法軍被俘百萬哥里談法軍失敗原因係法統帥部採舊戰術
page 3	英空軍大舉出動轟炸德國西北部機場又德一化學廠被燃燒彈焚燬
page 3	各國難民紛抵葡京
page 3	法總統離波爾多
page 3	意空軍襲擊馬爾他島英法空軍襲擊意國兩飛行場
page 3	美海軍部下令增築新艦動用鉅款一萬萬五千餘萬元
page 3	美民主黨候選人多贊成羅斯福
page 3	德機向蘇格蘭投下炸彈一枚
page 3	英禁棉花供給任何一國
page 3	愛爾蘭西南海岸商輪兩艘沉沒
page 3	湘南今秋可望豐收
page 3	羅王到羅馬見墨氏請求授助抵抗匈保羅調集大軍二百萬準備應變
page 5	日偽軍大拘捕鄉民
page 5	港惠交通路徑情形
page 5	廣九鐵路安謐如恒
page 5	我機偵察日軍陣地
page 5	沙頭角日軍昨減退
page 5	邊境交通完全停止
page 5	粵北我軍分路南進攻新街衝入蓮塘從化我軍克小塘續攻神崗新街龍口被炸日損失重大
page 5	粵路我軍逼攻新街
page 5	我克小塘續攻神崗
page 5	我機飛炸粵北日陣
page 5	日軍增兵三水有竄擾西江企圖我守肇蘆前線部隊準備迎擊
page 5	廣州偽警署易人原因不解巴結日商因此被迫更調
page 5	海豐鹽務近況
page 5	維持潮梅糧食五區專署禁收購早穀
page 5	鄉村能獲自給獨子請纓抗戰曾司令傳令嘉獎
page 5	日以海陸空軍猛犯白蕉一度在東　頭登陸及夜撤退斗門情勢頓呈嚴重我各方團隊之增防
page 5	海陸空軍猛犯白蕉
page 5	東　頭被日偽登陸
page 5	白蕉陷後斗門緊張
page 5	中大遷校續訊經費已有半數
page 5	日軍電船撞沉過海小艇溺斃奸商眷屬
page 5	曲江農會成立
page 5	日偽軍退美深圳邊界後強捕鄉民趕築防禦工事日機又擾沙魚涌等地掃射行人我機飛深圳等地上空偵察日陣
page 6	我軍暗渡增江進襲增城衝入廖村犯屏風嶺日軍被我擊退日機擾梳檯坳投彈十餘
page 6	日犯屏風嶺
page 6	我衝入廖村
page 6	韶關防疫注射分十區　理
page 6	順德壯丁勇殲日偽
page 6	粵省政府改善各機關人事管理
page 6	參觀韶關義民招待所內容設備齊全招待週密
page 6	唐柯三報告國民抗戰工作
page 6	銅仙跌價中韶關生活程度日高
page 6	某司法官談恢復地方法院
page 7	哥列治號折回原因
page 7	美領事與記者談話
page 7	去月雨水特多卅日中僅四日天晴全月得雨竟達卅五寸創四十八年來新紀錄
page 7	囚犯三人斫傷獄吏赤柱 獄中之兇案
page 7	豬牛肉價暴漲較前數日漲三分之二
page 7	文化界昨追悼孫寒冰假港大中文學院舉行杜月笙主祭禮儀隆重
page 7	港府開徵戰時物業稅限八月卅一日前繳交
page 7	限期繳納
page 7	納稅辦法
page 7	廣東省毫券兌換國幣變通辦法交通梗塞國幣接濟未及由今日起改發韶州匯票
page 7	難童工藝院今晚演劇籌款四大劇團擔任義演
page 7	美駐港領事沙頓談港美僑未至撤離時間美僑民會議決定暫不離開香港哥列治輪昨被日艦迫回說不確
page 8	首批婦孺五日啟程
page 8	離港登記地點指定
page 8	法僑尚未奉令撤退
page 8	兩種華人婦孺登記
page 8	旅港富人南渡者眾
page 8	藝術觀賞會發還藝人出品
page 8	羅旭和已銷假
page 8	警務當局準備隨時征用運輸汽車運輸輔助隊已募得千餘人通訊員未足額尚在徵募中
page 8	水警撈獲女屍
page 8	九龍邊境安謐如常各要隘均佈有鐵絲網
page 8	干諾中大打架十餘苦力打作一團
page 8	本港各銀行今日照常營業
page 8	本港陸軍當局談疏散婦孺屬預防性質本港局面並非有若何惡化影響英籍婦孺四千餘人定五日離港
page 10	昨日棒球聯賽28中華勝香港岷甸奴大破工程 成績為十五比零
page 10	公開籃球賽今夕乙組有三場戰事悠悠郵精武分抗精勵康元青職
page 10	華人游泳會今夕二次水藝
page 10	九龍學籃戰訊
