page 1	如何應付日本新攻勢
page 2	永墟一帶日軍肅清
page 2	江北漢墓開始發掘發現陶器等物
page 2	滬工部局抑制物價
page 2	冀省我軍活躍
page 2	甘省實施植棉三年計劃
page 2	國府組織中華交響樂團聘馬思聰等為該團指導
page 2	日本再度抗議英屬土限制外貨入口並謂將　取各項統制辦法
page 2	豫北日軍受挫
page 2	庵埠日軍竄擾蓮塘受創
page 2	甘青慰勞團遄赴臨河勞軍
page 2	羅斯福發表聲明對侵略者痛責美輿論謂在必要時將不得不參加戰爭
page 2	逃亡在法奧分子成立行動委會贊助聯軍作戰
page 2	滬愛國青年陳錦標遭暗殺
page 2	日人綁架華婦被英防軍截獲
page 2	渝築昆設樹膠複製廠資本一百萬元
page 2	湘潭的膏鹽礦業
page 2	白龍與黑龍
page 2	液體變成了固體
page 2	譚紹良昨大殮
page 2	我軍連日猛攻岳陽外圍
page 2	美潛艦一隊抵滬赴青
page 2	湘省新縣制分期實施
page 2	日聯業婦女大鳴不平薪給較男子為低所取入不敷支出
page 2	日軍參謀被我擊斃
page 2	沙王等通電討汪
page 2	魯各地連日戰事劇烈大小十餘戰斃日千餘贛北繼續大勝晉南我軍施威
page 3	英國艦隊封鎖挪威克港德倫的英又將有劇戰多士蘭已陷於德軍手
page 3	德輪畢蘭丹堡號被截留之經過
page 3	德向挪威發表廣播向挪人大施恐嚇
page 3	西經發生激烈之前哨戰德軍突襲法軍前哨站未衝破鐵絲網被擊退
page 3	英法波等國外交人員由丹京抵海牙報告在丹京親見情形
page 3	日商務代表團由蘇赴土托邛
page 3	小中立國惴惴不安荷比積極戒嚴兩國雖嚴守中立政策但準備抵抗他國侵略
page 3	挪外長抵瑞京
page 3	英倫海岸外荷輪觸中水雷
page 3	地層行進曲
page 3	侵挪德軍後方交通斷絕丹挪海峽為聯軍控制德利用空運向挪增援
page 5	漢奸造謠
page 5	被炸慘狀
page 5	墟內災情
page 5	善後情形
page 5	疊福災情
page 5	日艦大批集結閩海潮汕增到日軍一批企圖進犯樟林等地
page 5	陳村新墟之最近情況人民困苦難求一飽盜匪通地擄劫頻　消商業仍在停頓中惟　　妓院獨
page 5	新中兩屬情況近誌新開新鶴路之小戰情形粉洲河面發現日艇窺　魚沙八區斗門一帶情勢亦甚安定中山北嶺白石被迫組織偽會鄉民不受誘空屋家具被焚燬
page 5	中山八　最近情況
page 5	北嶺白石遭日壓逼
page 5	日艇一度駛近粉洲
page 5	新開新鶴接觸昨情
page 5	省動員會舉辦改良風俗文賽
page 5	我空車又夜襲廣州炸毀東郊日航空兵團部頭座
page 5	張之英被誣事件函電續誌
page 5	汕頭又到日軍一批
page 5	偽綏靖督辦已登場
page 5	粵省之間諜戰東江方面尤為緊張
page 5	訓練娼妓　侍
page 5	二設僧道尼班
page 5	三軍事基幹班
page 5	鯊魚涌疊福兩地十三日被炸災情續詳本報記者之實地調查
page 6	分兩路向福和出擊
page 6	周部分路襲擊仙村
page 6	廣東省府闢連縣畜牧場已通過　施計劃　
page 6	粵調節糧食委員會已成立東西南三糧運會歸　制
page 6	少府獎卹抗戰殉職鄉民
page 6	桐果桐子桐仁禁運出口
page 6	瓊島日增援後續起激戰由定安嘉積分路進犯石　與富文
page 6	海豐新縣長接任查緝所長易人
page 6	區鄉鎮保國民兵隊甲班
page 6	鄉鎮財政
page 6	粵省改革各縣各級組織鄉鎮教育財政各問題均加革新設民意機關促進合作衛生事業一
page 6	鄉鎮中心學校及保國民學校
page 6	我方增強東線力量分路猛襲福和之激戰衝入蝦米嶺夾攻墟內日軍　九線團隊夜襲仙村得手
page 7	提案原文
page 7	呈文如下
page 7	長沙灣道貧民代表擬今日再謁港當局籲請准予緩拆寮屋
page 7	颶風季節將臨港府保護漁船組織天氣情報隊
page 7	文藝協會年會新理事已選出
page 7	四邑米荒依然嚴重邑僑籌款救濟
page 7	傷兵之友推進會舉行傷兵之友週第一期可得社員萬人各工團連日踴躍領章
page 7	荷領仍代管德國僑商產業
page 7	港外發現破舟
page 7	議決要案多項
page 7	難童災費學校
page 7	工團踴躍領章
page 7	推進會之簡章
page 7	本港防空處日內再演習燈火管制演習日期決不預先宣布
page 7	住聯會顧問提方擁護修正防止迫遷法由該會代表全港住客發表宣言該會新任理事定今日提出討論
page 8	扣留本港之丹挪商船所載貨物仍存船上未起卸一挪輪塗去國徽避免扣留
page 8	青年教育社增設職業學校招收男女難童
page 8	攔途剪辮事件發生後剪辮改裝婦女日增理髮店碎髮有人重從收買
page 8	慰勞粵北將士籌備委員會成立
page 8	大同酒家職工繼續捐薪賑災已捐港幣二萬餘元
page 8	南路民運
page 8	蘇格蘭種牝犬連產十三小犬犬主人為小犬覓保姆
page 8	開本港新紀錄保險銷　場出現
page 8	闔澳華僑賑濟會工作概況貳
page 8	三門關海面兩賊船騎劫一貨船貨物損失五千餘元四客被槍傷駛至平海遇兩漁船將賊黨擊退
page 10	陸軍先勝一球
page 10	一氣連破三關
page 10	華　改變陣容
page 10	國軍蟬聯寶座
page 10	東方會球員鄭英權日內轉解回港因未獲軍部批准撤離職守遠征菲
page 10	南華泳場昨日開放舉行游泳及國術表演助慶
page 10	學運籌賑會今日止截報名
page 10	國幣毫券略升
page 10	國軍蟬聯麗華杯囊括六大錦標三比一完成霸業陸聯先勝卒稱臣
