page 1	俄國亦施行平行外交歟
page 2	滬工部局答覆滬偽抗議寧偽政府發表聲明決除英人在滬勢力
page 2	虹口楊樹浦等處人口大增公共租界生活奇昂居民不得已多遷出
page 2	蘇遠東援軍開抵哈爾哈河準備對日大舉進攻
page 2	晉東南我軍追擊迫近高平晉南浮山Ｘ進犯受創
page 2	本年上半期我國對外貿易以日貨為最多值一千餘萬鎊
page 2	中英財政家合力研究安定法幣計劃預料不久當可成功四行總行奉令遷滇
page 2	廣東省銀行救濟粵北鹽荒有成效存貯足敷三月另劃撥分地平價濟銷
page 2	封鎖香港事英方尚無所聞
page 2	對蘇德將締不侵協定我國銀行界表示樂觀蘇聯無西顧之憂可專心應付遠東日本與德隔離其地位必更為危險
page 2	甘黨部斥汪逆
page 2	禪偽警察局長李福芝被擊斃
page 2	倫敦空防組織甚為完密城中建築有一密室指揮全城軍事動作
page 2	倫敦高等法庭研訊天津四華人案此案將來改作公開研究
page 2	蘇各報評論德蘇成立商務協定兩國經濟關係既得發展政治關係亦或可望改善
page 2	黎查斯案告一段落日方正式道歉
page 2	英為應付非常時局積極佈置國防各海港已放下水雷全體民團定期動員
page 2	西江我軍進迫江門豫東攻入蘭封車站長台關Ｘ仍在我軍包圍中
page 3	英法一致深為驚訝但均並不表示態度
page 3	四川穀賤傷農蔣委長指示救濟辦法令各地駐軍協助農民加緊收割酌定適當之價格統籌大量收購
page 3	波蘭大軍開始集中重要道路埋藏地雷
page 3	德國繼續軍事動員歐局緊張有增無已
page 3	意報評論德蘇締約謂為挽救和平局面
page 3	天津水災華北商業停頓今後若再降雨平津將交通斷絕
page 3	德蘇締結不侵協定日本感覺不安防共陣線大被削弱日本外交更陷孤立
page 3	國際形勢緊張英法同時開內閣會議德蘇締結不侵協定英方殊震動各方相信英內閣將有重要決議
page 3	德蘇締約英殊震動
page 3	英國態度絕不變更
page 3	唐寧街上冠蓋如雲
page 3	倫敦證券並無起色
page 3	兩日人在美私運短鎗出口被美當局扣留
page 3	歐局突生重要變化蘇德兩國將成立非侵略協定德外長今日飛蘇進行重要之談判
page 4	振濟中山難民中振會先撥六千餘元
page 4	中央軍校招生初試今日揭曉
page 4	女新運會捐訊
page 4	婦節會昨會議並歡送鈕永建夫人
page 4	港政府取締私建寮屋牛頭角已有數十間拆卸
page 5	星夜反攻古井危關渡過
page 5	三江方面數處發生大火
page 5	中山形勢又告緊張Ｘ機昨兩炸大黃圃燬屋死傷之調查Ｘ艇集三沙河面袁帶到大黃圃指揮抗Ｘ
page 5	Ｘ窺中山向簑衣洲登陸
page 5	Ｘ機昨晨盤旋石岐一帶
page 5	江門之Ｘ犯雙龍烈猛戰
page 5	實施辦法
page 5	廣州灣賑災會截獲大批私鎢
page 5	粵各界民眾電請英國停止東京談判對日經濟制裁廢止英日商約
page 5	失業機工赴韶應試
page 5	省行擬定本年農貸程序農倉儲押貸款已開辦
page 5	東路土塘橫瀝我已克復Ｘ圖封鎖惠陽海面交通但我內地貨物如常輸運
page 5	九江偽維持會兩傀儡被剌斃
page 5	保安隊昨收復橫瀝
page 5	大亞Ｘ艦封鎖惠陽
page 5	Ｘ偽萬餘集中訓練
page 5	粵南戰雲密佈北海市民星夜疏散當局召開保甲長緊急會議重新調查戶口防漢奸搗亂
page 5	北海市面蕭條
page 5	Ｘ機飛襲北海
page 5	Ｘ艦　聚海面
page 5	根絕Ｘ貨更進一步粵擬定貨物輸入路線杜絕游擊戰區Ｘ貨冒混流入詳訂實施辦法軍警協助執行
page 5	睦洲三江戰事仍甚劇烈Ｘ又向中山簑衣州等處登陸我援軍增到古井乘夜向睦洲反攻
page 6	我襲蚌湖Ｘ竄江村
page 6	Ｘ偽被圍殲滅過半
page 6	Ｘ糧艇十八艘被截
page 6	粵省籌設公營火柴廠已成立籌備會
page 6	Ｘ增兵桂洲防我襲擊
page 6	電白縣厲行堅壁清野開始拆卸城牆
page 6	韶關積極根絕Ｘ貨再展限十日清售完竣
page 6	中山強化緝私力量嚴查包庇之歹徒
page 6	粵南當局令嚴密保護話線
page 6	各縣難民輸運站紛紛成立由救濟隊縣振會負責
page 6	新會之五名抗戰壯士省府通令表揚
page 6	粵幹訓班學員分派各縣實習
page 6	合浦懲獎辦理兵役人員
page 6	東路陳樹英團夜襲增城巷戰竟夜殲Ｘ百餘人福和Ｘ軍犯　頭不逞新塘Ｘ倉庫被我焚燬
page 6	龍口之Ｘ潰退龍翔
page 6	Ｘ犯兩龍遭我痛擊
page 6	衝入新塘燬Ｘ倉庫
page 6	我軍夜襲增城巷戰
page 6	福和Ｘ犯　頭　逞
page 6	南海Ｘ偽軍兩遭伏擊　之役Ｘ傷斃多人
page 6	Ｘ軍搜索廣雲公路被我分路截擊敗竄大範鄉軍民合作向Ｘ夜襲焚燬Ｘ司令部及偽維持會
page 6	粵北我團隊兩襲蚌湖Ｘ偽百餘被圍殲滅過半糧艇十八艘全被我截留
page 7	頭中兩彈
page 7	沈氏略歷
page 7	筲箕灣西灣河義賣小販今日送生果各大商店分贈　金以示贊助太古船塢職工昨獻金千餘元
page 7	各大商店爭送義標
page 7	船塢職工獻金踴躍
page 7	我國政府禁洋貨進口郵包寄遞亦包括在內
page 7	英艦由澳返港
page 7	杜月笙王曉簌慰問新界難胞
page 7	白鶴洲海面貨艇被劫六海賊掠去生豬五頭
page 7	今天小販沿門贈果
page 7	重傷斃命
page 7	警探查究
page 7	汪精衛之甥沈崧昨在雲咸街被殺頭中兩彈略事掙扎即告斃命三剌客均為英氣勃勃之青年
page 8	串騙疑案押候
page 8	城市規模與城市設計
page 8	高級法庭提審永祥金舖劫案主控律師供述此案發生經過第三被　邱生認罪押候宣判
