page 1	天津事件英日將開談判
page 2	犯汕Ｘ溯　江西犯我Ｘ在揭陽附近激戰擾砲台市之Ｘ被擊向北寨潰退我某連孤軍堅守潮安繼續殺Ｘ
page 2	汕市戰役兩營長壯烈殺Ｘ四基圍之役李營長成仁庵埠之役柱營長受重傷
page 2	晉南白晉公路南犯之Ｘ受挫晉北五台南犯Ｘ中伏潰敗
page 2	渝各團體慰問津市同胞
page 2	外輪撤離福溫事英國堅拒日方要求Ｘ決不理英抗議實行封鎖溫州英兵奉令在福州登陸實行護僑
page 2	國府成立紀念毋庸舉行慶祝
page 2	軍委會發言人闢謠Ｘ傳李漢魂被免職之無稽
page 2	浙海Ｘ艦　集Ｘ擾浙沿海各地被擊退
page 2	Ｘ在淪陷區內實施毒化政策
page 2	張伯倫定期廣播演說
page 2	孔陳定期茶會歡迎美使詹森
page 2	蘇駐日代辦奉召返國蘇聯方面謂無特殊意義
page 2	東戰場軍民通電呼籲制裁日本並聲援津租界被困同胞及外橋
page 2	錦河北岸我軍殲Ｘ甚眾
page 2	粵北我軍出擊破Ｘ　克新街蓮塘等要地馮涌福和墟鐘落潭亦為我克復增城之Ｘ被我包圍現正激戰中
page 3	英上院議員主張對日強硬英租界存現銀萬不能交出日如不再反省英不能忍耐
page 3	傳大量德軍及軍械已開到但澤區但澤成立一種自由軍目的掩護德軍侵但澤
page 3	發往蘇京新訓令內容英法一致同意英法駐德意大使再訪莫洛托夫
page 3	德廢止英德海軍協定後英送德外部一備忘錄英國現行政策並非向德有所包圍準備與德進行磋商樹立切實諒解
page 3	日機十五架又飛外蒙挑釁蘇聯空軍立即飛起應戰日機不敢接戰即行退去
page 3	世界重要　賽路易　獲錦標
page 3	新牆河北岸我Ｘ砲戰
page 3	綏東我軍乘勝追擊
page 3	顧維鈞博士闡述門戶開放政策並申述九國公約之重要性
page 3	東光縣偽軍反正
page 3	德意空軍合作協定正式公佈
page 3	我攻蘭封東斃Ｘ數十
page 3	美參院通過救濟法案
page 3	王外長對歐廣播演說企圖與日妥協不啻與虎謀皮促列強急起維持在華之利益
page 3	美財部再減收買白銀價格
page 3	呈佩孚不允出山故未與汪晤面
page 3	英日談判即將舉行英對華政策決不變更津日軍官對英日談判提四項要求日方宣稱決將加緊封鎖津英相界
page 4	學賑會服務團報名　者極擠擁
page 4	誘劫舞女疑案昨日詳臬定讞
page 4	真光女中今日行升級禮
page 4	周壽臣患　　須休昨勸僑胞　各常委將以身作則自動認銷
page 5	Ｘ犯新沙澈夜激戰
page 5	古鎮十沙昨晨被擾
page 5	趙子權談禮樂近況
page 5	河南Ｘ司令部遷往黃埔市區內Ｘ重要機關亦紛紛遷往市郊外
page 5	三水前線小戰四起Ｘ軍換防佈防之忙碌在岡根新墟一帶舉行演習我軍曾衝入新墟毀Ｘ交通
page 5	三水Ｘ軍指揮易人
page 5	Ｘ軍調汕之東路情報惠陽城商業近況
page 5	前線Ｘ舉行大演習
page 5	我游擊隊衝入新墟
page 5	我遊擊隊夜襲大良續訊
page 5	獻金數目呈中央審核黃範一談當日收支狀況
page 5	犯潮汕Ｘ一再增援潮揭線我軍大舉反攻潮安城內我Ｘ肉搏殲Ｘ二百餘我生力軍開抵金石向Ｘ反攻中
page 5	歷六晝夜殲Ｘ千餘
page 5	潮安巷戰我守楓溪
page 5	電告潮安激戰經過
page 5	我生力軍開到金石
page 5	江會Ｘ又犯新河澈夜激戰古鎮十沙昨晨又復被擾趙可權談禮樂被犯經過
page 6	漢奸潛入粵南窺探海安港被擒獲粵南各縣備戰益急男女壯丁全體動員
page 6	南洋瓊僑再匯鉅款
page 6	編女壯丁抗戰
page 6	派員檢閱壯丁
page 6	弛禁柴炭出口
page 6	反攻邁事情巷戰壯烈
page 6	Ｘ軍進犯文教受創
page 6	瓊島我軍反攻邁號巷戰壯烈殲Ｘ甚眾完成任務　安全引退Ｘ攻文教市被我擊退
page 6	從化神岡偽會長被Ｘ拘押
page 6	粵港基督教籌賑會擴大四邑救濟事業設救護院及招待站盡量收容傷兵難民
page 6	　劉勳營長　談痛快殲Ｘ經過現奉召赴韶候命南洋瓊僑再匯十萬元救濟
page 7	防空計劃
page 7	差餉估價
page 7	通過新例
page 7	南洋惠僑救鄉會決辦東江難民墾殖區並實行惠博肥田料平賣
page 7	難民墾殖區
page 7	肥田料平賣
page 7	五賊截劫貨艇一艘警探捕獲疑犯一人
page 7	潮僑學會會議擬加入潮僑籌賑難民會
page 7	銷耗過多無法應付明日起又制水本港單日九龍雙日間日施行夜十時至翌晨四時停止供給
page 7	保護兒童會設九龍贈醫處
page 7	永定河畔中救劇團明晚義演
