page 1	桂省決組自治政府反抗中央
page 2	桂省情勢突急展變
page 2	頃向有關係方面探悉
page 2	滇軍收編桂軍變兵第十五第廿二各師
page 2	張發奎部即開粵
page 2	零陵以南桂前隊已於昨夜開始向中央　右翼橫進
page 2	桂代表潘宜之攜陳中孚函
page 2	留桂外僑紛紛離境避難
page 2	大批紙幣被梧海關扣留
page 2	各地民眾電勸李覺悟
page 2	日外務省發言人否認發表對華宣言但認各大臣曾交換　華　見內容秘密現尚未到發表時機
page 2	孔電令鄒宋唐等審慎整頓兩廣鹽政對用人應慎選廉能劃清國稅省稅界限
page 2	蔣擬聘王寵惠任行政院副院長兼任交通部長王允考慮
page 2	黃紹雄表示決暫留滬不他往盼桂局和平解決
page 2	李卓二逆圖犯綏束駐軍民團力抗偽軍卒被擊退
page 2	成都區財政會議閉幕
page 2	津市府撫恤日警家屬恤金五千元葬費一千元
page 2	中山雄案法庭展期開審
page 2	漢市商界緝私協會改組
page 2	黃慕松等回京辦理交代不久即可來粵履新
page 2	漢奸浪人騷擾津市石逆包承　館亦稱　日親善
page 2	桂省情勢展變蔣決提前飛粵李白確有在桂開府企圖桂軍變兵四千餘已由滇省收編張發奎部入粵張本人日內飛粵
page 3	魯黃河水位溜勢甚為洶湧韓飭汛長嚴加防範
page 3	粵空軍人員離京赴杭遊覽
page 3	數十年來反常現象江水猛跌不已較去年同時低八尺
page 3	中央電台轉播世運消息
page 3	兩颱風之行蹤
page 3	秦德純夫婦昨歡宴今井等
page 3	津浦平漢兩路嚴行緝私 工作
page 3	實部通令各省積極推廣農業
page 3	初級郵員考試分為四區舉行
page 3	吳鐵城認捐十萬元為飛行社購機
page 3	須磨訪謁陳介
page 3	唐山奸商高價收買白銀
page 3	石井奉調回日陞任步兵司令所遺參謀職和知繼任
page 3	司法院解釋著作權法疑義
page 3	生絲出口檢驗今日開始實行
page 3	西國首都漸告安定西政府要求法國售械英艦隊忽駛直布羅陀
page 3	兩軍仍未決戰
page 3	政府空軍出發
page 3	供給軍火問題
page 3	德人主張中立
page 3	下屆世運地點日芬爭論甚烈以在日較有希望
page 3	南華籃球隊午車晉省下午即與一師交鋒雙方皆有新將實力視前雄勁明日戰培正定三日班師回港
page 3	謀刺英皇犯否認有意行兇
page 3	英俄海協內容
page 3	亞軍圖襲首都結果被擊敗
page 3	勵行籃球隊行將赴廈比賽今晚戰青年會甲以資練習
page 3	青年支會舉行水上游藝會時間三日上午十時
page 3	今晚鐘聲社開第三次水藝會
page 3	公開籃球賽今晚有乙組三場
page 3	南華女子部排球隊開始訓練每星期訓練二次
page 3	曲棍球運動港人士興趣漸濃去屆所有比賽成績圓滿昨開週年大會選出職員
page 3	精武會月夜遊河
page 3	友誼足球賽西強隊戰燈籠明日在加路連山舉行
page 3	中華球隊約戰振華
page 3	粵漢鐵路管理局日正式成立
page 5	陳慶雲氏昨來粵指揮空軍
page 5	中央軍隊與軍用品之運粵
page 5	南路軍事準備佈置之忙碌
page 5	總部會議與促陳漢光返江
page 5	南路各縣已形成風聲鶴唳
page 5	蔣委員長將偕黃紹雄飛粵
page 5	甘勵初部抵粵後召開會議
page 5	各縣奉命募伕赴南路運輸
page 5	改革幣制花紗行之意見贊同李泰初主張昨已函復市商會
page 5	林時清並未出國
page 5	法幣管委會移交續誌移交白銀法幣日期尚待再定
page 5	各機關之裁撤與新委人員併誌
page 5	對桂軍事著著準備中央加派陸空軍來粵陳慶雲來粵指揮空軍胡宗南師抵樂昌將候命南下余漢謀促陳漢光回江門張瑞貴部開赴兩陽南路已形成風聲鶴唳
page 6	啟程情形
page 6	瀕行談話
page 6	林黃兩電
page 6	新委營稅局長鄭芷湘今日就職
page 6	粵各界籌備迎蔣
page 6	李仙根卸職最後發表談話
page 6	華人機器會通告
page 6	　屬裏水鄉厚德當被搜詳情
page 6	中大否認驅鄒會
page 6	河南舊鳳凰鄉人糾眾奪匪犯續訊
page 6	梧州物價日數易
page 6	尚有閒情禁蓄髮
page 6	男女優流落邕寧
page 6	粵民船在梧被封
page 6	柳仍續印銅元券
page 6	梧州禁各貨東下
page 6	惠愛西路火警
page 6	廣州報界之宣言
page 6	一片請求撤稅聲一昔時有口難言今日同聲呼籲糧食糖麵煤炭花紗等業
page 6	糧食業
page 6	又市商會
page 6	糖麵業
page 6	林雲陔昨日離省情形主席職務由宋子良代省府交代派陸幼剛辦
page 7	港梧輪消息
page 7	桂軍備戰忙
page 7	粵軍亦西上
page 7	與桂局無關
page 7	張任民來
page 7	海容艦到港
page 7	逸仙艦長談
page 7	英美艦赴梧
page 7	粵海軍反感
page 7	將開瓊州島
page 7	書面談話
page 7	離粵情形
page 7	林雲陔昨過港晉京省主席職務交宋子良暫代謁蔣後即就蒙藏會委長職
page 7	擬增抽電油渣稅輔政司之通告
page 7	英童書院新校舍下月十四日開幕
page 7	桂軍積極備戰中央艦隊亦陸續南下準備封鎖桂省海口海容艦昨日到港永績等艦日間又來英美艦多艘亦已開赴梧州保護僑民
page 8	追償捐失
page 8	雙方證人
page 8	訪尋苦主
page 8	自願賠償
page 8	進口貨物須蓋嘜頭號數九龍關佈告指示標識辦法
page 8	箱裝貨物標識辦法
page 8	鋼鐵等件標識辦法
page 8	補行手續繳費辦法
page 8	夜輪晉省時間變更
page 8	市面蕭條貨艇遇險
page 8	天文台懸七號風球
page 8	颶風隨時可到昨晚改懸七號風燈市面蕭條行人稀少省港輪未依時啟行
page 8	英國名記者抵港奉派考察遠東近狀
page 8	卓文辭輔政司職
page 8	要人們都走了
page 8	撤銷米稅之呼籲
page 8	潮州商會
page 8	鎢砂出口須領照九龍關之佈告
page 8	港府明年預算案輔政司已著手起草
page 8	保泰公司
page 8	港政府扣留之四粵機俟政局安定始放還
page 8	明日程序
page 8	聯青社聯席會議今日開幕會期一連三天
page 8	兩婦人相約服毒
page 8	窮漢自殺幸獲救
page 8	葉夏聲昨已晉省
page 8	尢列電請中央討桂勿因人姑息貽誤黨國
page 8	劫艇案詳臬定讞
page 8	香港棋壇寂寞已久南華體育會舉辦港澳埠際象棋賽日期決定七八九三日澳代表準六日晚抵港周德裕江鎬麥垣麥紹文代表香港
page 8	南華象棋隊今日赴澳挑戰
page 8	一女郎跳車受重傷
page 8	煤鼓爆炸慘案了結煤氣公司願償損失原告律師積極訪尋苦主居址希望閱後速往律師樓掛號
page 10	積犯行竊
page 10	賭徒聚賭
page 10	攜犬來港
page 10	截搶金飾
page 10	初級法庭案彙誌
page 10	僑務會調查港華僑團體實情
page 10	汽車又輾傷一人
page 10	駕車不慎
page 10	孔聖會徵求隊出發
page 10	郵政局辦公之時間
page 10	英艦過港赴威海衛
page 10	娛樂映廚下貴婿
page 10	香港置地公司派息
page 10	華商會月會議案
page 11	石龍後備隊抽收訓練費之澈查
page 11	石岐擒獲千張友
page 11	李泰初發表對粵幣制改進意見已提經濟分社研討中
page 11	為今之計
page 11	對美匯率
page 11	征魯塘捐充救濟金
page 11	縣民擬請銷燬支票
page 11	各鄉後備隊防山匪
page 11	籌築翁始公路近訊
page 11	英京銀價無變動
page 11	台山各團體請撤七邑食鹽專賣
