page 2	桂粵戰事的我見續
page 3	今日府議決定征蒙費及征蒙總司令安插張勳姜桂題更換陝督補任甘督統一西南特赦禍首　
page 3	陸榮廷電稱桂省已決定對粵反攻并謂可操必勝因粵將內訌師出無名輿論不容兵匪烏合財政　
page 3	胡維德電稱日議延琿交涉表面維持撤兵內容擬設日警侵我主權請示應付方法昨日北京電第五條顧品珍致北京政府電原係顧維鈞之誤會即　
page 3	靳雲鵬擬畀張勳以熱察綏三特別區禁煙督辦仍兼林墾督辦惟張作霖仍不滿意靳極為難
page 3	交通部現亟籌款預備曹張王出京靳雲鵬擬隨後匯去惟曹等均不允會議不洽此亦一因
page 3	星期三日公府開聯席會議曹張王及閣員均與會
page 3	關於支配西北疆吏曹張王各不一致梗廿三日靳雲鵬在私宅約曹等再留京會談一次敬廿四日同謁徐世昌為最後之商榷俟表決後即出京
page 3	西江軍事與釐稅之關係
page 3	粵桂戰事之趨勢
page 3	顧維鈞電促京政府請准星期內批准國際法庭約以免落後
page 3	李士偉已準備就職惟因東京會議對華方針未經確定以前暫不借款與中　故就職亦無辦法
page 3	某使向當軸宣言謂張作霖聲明對於張勳係以義氣為重何不將東三省巡閱使　職讓與張勳表示義氣否則在東三省添設副巡閱使位置張勳亦算義氣何必強人所難當軸答云從長計義
page 3	李士偉向興業銀行小野英　郎商借五百萬至千萬小野巳往謁徐世昌切實磋商
page 3	曹張王組直省實業銀行資本百萬由直礦項下撥款勻分
page 3	財政部征收婚證稅已於敬廿四日提交閣議共分三級　元　元半由各地警局售買准六月一日實　
page 3	靳雲鵬擬組財政委員會實行裁釐　
page 3	曹張以李士偉並無切實給餉辦法仍主張以張弧任財政
page 3	外交部電駐外各使徵求收回治外法權　
page 3	曹張王向李士偉索餉李以接洽借款尚無頭緒因未通告就職　
page 3	陳炳焜對於保境息爭之談話
page 3	廢艦無人投承之原因
page 3	民軍冒名劫營之報告
page 3	陳炯明辭內陸兩部長近聞
page 3	馬君武辭職之原因
page 3	九廣　絡歷年之收入表
page 3	領牌賣物之辦法
page 3	印業罷工事已解決
page 3	梧州緊要消息
page 3	葡政府不准澳門築港
page 3	山頂火車年報
page 6	　美國　
page 6	旅　　
page 6	李士偉成功之　　
page 6	俄舊黨圖擾新　
page 6	日人垂涎煙酒
page 6	洋中金解器工業會之進行
page 6	國慶　
page 6	　滬及　　之游　
page 6	船政署年報及　　　入口總　
page 6	日本郵船增收客　
page 6	日本　　　之朝鮮教育制　
page 6	延　日軍撤退之　　
page 6	川邊之警報又　
page 6	疑婦外　
page 6	　虛　
page 6	　婦控主人非禮
page 6	呈請褒　
page 6	單車公司出　
page 6	　　　　行蹤
page 6	赴遠東運動之日本選手到滬
page 6	提訊大戰罪魁之第一幕
page 6	邑島問題將解決
page 6	美兵出殯時之美總統演辭
page 6	問拿大之取締中國移民議案
page 6	港督北上與密約之傳聞
page 6	美水兵在滬被剌續聞
page 6	捕賭
page 6	破獲私煙館
page 6	報失案
page 6	銀價
page 6	來函登錄
page 7	不恤民隱之徵收　
page 7	查封　洋瞞稅之打餉　
page 7	虎倀之眼前報
page 7	請令洋關查緝私鹽
page 7	李華秋被人暗殺餘聞
page 7	以偽船票行騙之交涉
page 7	十六沙自衛之進行
page 7	台山知事請兵防匪
page 7	高要宋隆之匪　
page 7	清理河南官　
page 7	抽捐苛及小販之呼籲
page 7	第　軍防守地點
page 7	聞平請加兵剿匪
page 7	　之規劃
page 7	陽山匪　
page 7	恩　軍民衝突案之查票
page 7	通飭查緝西來煙土
page 7	請發留美學生學費
page 7	請發給電報洋線費
page 7	瑣聞一束
page 7	普寧豬苗捐之苦民
page 7	警區遷居保單未准取銷
page 7	印契延緩之解釋
page 7	竊匪被兵士割　　　
page 7	籌備鎳幣兌換金
page 8	　種瘋　
page 8	陝　政　
page 8	已與敷庵　江　憶諸學好前年之游晦　
page 9	日本對華政策與新銀團
page 9	上海特別法院案將提出交涉
page 9	建築粵漢路之進行
page 9	舊金山實業團將來滬
page 9	星加坡樹膠市況
page 9	顧使請派員參與國際禁煙會
page 9	越南米業發達之推測
page 12	籌辦廣東人學近聞
page 12	香山人議規　　
page 12	省報述中行復業　
page 12	新會要聞
page 12	孫文之國務會議
page 12	車務人員請發恤　
page 12	軍　
page 12	演講員被圍毆
page 12	大雨後之廣州市景狀
page 12	工程界聯合會議市參事詳情
page 12	狠婦抵受人　
page 12	各　水患之現象
page 12	國議員寵妾捲逃案
