page 1	英西關係之前途
page 2	英國關懷越南
page 2	泰越形勢緊張
page 2	粵桂邊區日軍受挫晉城附近肉搏極烈
page 2	九一八九週年蔣委員長告全國同胞二東北同胞生活如人間地獄要收復失地解放受苦同胞
page 2	沉痛入骨
page 2	必須知道
page 2	他的目的
page 2	滬日便衣隊　青年
page 2	韓光復軍舉行成立典禮所轄青年將校五六百人所指揮軍隊約　　萬人
page 2	滬法軍槍擊孤軍死傷二三十人滬人聞訊甚為憤慨
page 2	政院會議批准中多友好條約
page 2	滬白俄衛隊擊斃孤軍
page 2	日對越南圖窮七現
page 2	美對中日貿易比較
page 2	越南局勢突趨緊張日檢查員準備離境日要求越南由日法兩國共管
page 3	德機輪流來襲倫敦不絕震撼
page 3	邱吉爾出席眾院報告最近戰局希特勒沿海散佈艦艇準備侵略英倫及埃及
page 3	英倫東南海岸上空發生激戰
page 3	倫敦被炸十日戰爭工業完好
page 3	美商務部佈告對中日之貿易七月份美國對日貿易數額較多於對華貿易
page 3	世界最小共和國與英空戰該國名聖馬連奴國策隨意為轉移
page 3	德外長赴羅馬
page 3	林語堂抵檀香山謂留居重慶三月見人民精神壯
page 3	蘇羅衝突證實蘇聯又壓迫摩爾達維亞
page 3	美加聯防局擴大工作範圍調查軍備金屬供應
page 3	加杜魯赴敦倫曾經許多障礙
page 3	印不合作運動現已停止
page 3	美公安局主任麥納演說謂美可以　一手　獨裁　之挑戰
page 3	德組諮詢委會管理多瑙河
page 3	法決定實行憑證購糧制度
page 3	美艦隊仍停留夏威夷
page 3	南京組織將有局部改組
page 3	德機愈來愈兇倫敦被炸更慘酷英機又炸轟法比沿岸德艦
page 5	欽邕線
page 5	邕龍線
page 5	越桂間
page 5	廣州灣
page 5	上月日機襲韶損失四倍於我日損失八十六萬元我損失十七萬餘元
page 5	慘遭荼毒
page 5	物質損失
page 5	飛機航行
page 5	消耗油量
page 5	四十萬元
page 5	捐失比較
page 5	省府一六一次會議通過設班訓練驛連管理員派劉起時代理翁源縣長省振會撤銷駐灣辦事處
page 5	台山當局調理教育機構
page 5	中山大學考察團抵桂林南洋戰工團亦將到桂
page 5	韶關舉行秋節勞軍每軍送慰勞金國幣一萬元李主席代表向余長官獻旗
page 5	東路鹽田墟之運貨捷徑已成畏途
page 5	台山緝獲日貨價值二萬餘元
page 5	寶安來客談日軍加緊封鎖邊界情形深圳所謂維持會加重居民之負擔
page 5	浮屍三具
page 5	抽收門牌費
page 5	來往甚忙碌
page 5	龍州日軍退集憑祥準備由鎮南關大舉犯越明江憑祥間日軍運輸甚忙碌欽邕線數據點已為我軍突破
page 6	組織
page 6	任務
page 6	歸僑
page 6	粵積極救濟小學教師昨又頒佈地方津貼米穀辦法省賑會資助港澳教師赴韶關
page 6	新開新鶴兩路連日砲戰日汽艇犯中山泥灣門被我擊退九一八紀念日各地日軍戒嚴
page 6	日軍　集龍江九江
page 6	日犯杜院被我擊退
page 6	石岐居民百餘被捕
page 6	粵節建儲蓄團成立李主席任團長通過組織簡章
page 6	廣東的戰時貿易管理二特產盡量推銷貿易積極調整加強了對日經濟鬥爭的力量
page 6	信托業務
page 6	四調節供求
page 6	粵省府飭令四六兩區聯合招待歸僑設聯合辦事處管理交通維護治安派陳驥兼主任本月中旬即可成立
page 7	詭稱送禮賺門入屋
page 7	拔刀指嚇掠劫飾物
page 7	不得皮袍繼續搜索
page 7	圖劫馮儉生案續審三被告落案時之口供
page 7	僑港留日同學組歸國服務團第一批準本月內出發省府給每人旅費百元
page 7	九一八九週年紀念港九各僑團均下半旗電器商會等捐款賑災
page 7	留營難民略增
page 7	代督岳桐巡視各難民營
page 7	零亂疫症略減前日發生卅一宗
page 7	少婦跳樓慘死
page 7	警察當局呈請嚴懲賭匪除按律科罰外遞解出境務廓清港九兩地字花廠
page 7	義軍昨日頒獎
page 7	省澳輪昨日並未復航
page 7	學校收學費須防偽幣九龍兩女校已被騙
page 7	住客聯會遷新會所辦公
page 7	灣仔洛克道三強盜械劫西人住宅既得珍飾又索輕裘貪得無厭搜索廿分鐘始從容攜贓遁去
page 8	相國孫女誤犯法例
page 8	警察司致周爵紳函
page 8	非常時期攝影規則
page 8	畢副警司再加解釋
page 8	蕭伯納的英國人的另一島熊式一撰英遠東情報局播發
page 8	美洲酒店旅客失巨金原來係一女工拾去該店司理赴警署報案七千餘元可望歸還原主
page 8	大批良駒到港馬會定期開投
page 8	三大船澳津貼工友膳費
page 8	越代表返河內被留七機已發還
page 8	搜獲大批私煙一旅客被拘控
page 8	清相國李某孫女誤犯戰時撮影法例周壽臣勸僑胞勿再蹈覆轍副警司畢道解釋攝影規則
page 10	陳
page 10	劉
page 10	根
page 10	四屆德權鼎賽本月份秩序公佈
page 10	全港游泳冠軍昨晚舉行第二次預賽男子四百四十碼臨時取銷
page 10	今日夏籃賽程
page 10	足球友誼賽星島今戰海軍
page 10	公開籃球頒獎星島培英告捷甲乙聯軍敗陣
page 10	兩戰過程
page 10	特別銀牌籃球賽住聯旗開得勝昨淘汰精武
page 10	英京銀價報漲美英匯兌無變動
page 10	滬外匯市略緊
page 10	港外匯市呆滯申電鬆後微緊銀行沽出不多
page 10	侯澄滔張金海突轉隸星島會登記書昨已交總會德輝仲云行蹤未悉
