page 1	羅斯福之聲明
page 2	我當局積極進行規復東北失地萬福麟鄒作華馬占山繆微流分別主持遼吉黑熱四省省政
page 2	我軍衝入定海縣城青陽被我控制
page 2	川人發起獻機運動倡導大空軍建設
page 2	佛教訪問團由越返滇
page 2	梁德贊勇戰殉職粵省府從優議卹
page 2	日犯桂南賓陽災情慘重死傷者達二千餘人房屋被燬四百餘間
page 2	紀念勞動節要實行鋤奸加強反侵略的力量向全國勞工們講話一
page 2	川省改善小學教師待遇
page 2	建甌發現日暈日麗中天色彩明澈
page 2	蓉各機關歡宴南僑慰勞團
page 2	渝婦慰總會歡迎陳嘉庚等
page 2	日反戰同盟員四十四人抵築
page 2	廿八年度會考辦法已由教部擬就電發各省機關
page 2	美記者楊格離日赴三藩市
page 2	于斌主教親赴前線勞軍
page 2	粵省行推進節約儲蓄
page 2	張伯倫意人認為奇事
page 2	勞動節日蘇聯熱烈慶祝
page 2	海參威舉行大檢閱紀念勞動節
page 2	喜饒嘉錯抵蘭即將返渝
page 2	桂省府飭各縣長出巡
page 2	財部貿易委會在韶設辦事處
page 2	考城偽軍反正
page 2	有田與西里同用午餐
page 2	中條山我乘勢出擊豫南日軍傷亡二千鄂中長壽店附近日軍陷我包圍
page 3	聯軍之艦隊開抵埃及要港馬爾他島開始燈火管制埃及已取特別戒備行動
page 3	歐洲東南部隨時可生變化德國宣傳聯軍將有動作英亦謂德將侵入東南歐
page 3	我某空軍高級將領談日空軍技劣不堪一擊日機前次襲渝妄稱勝利乃日空軍人格奇恥大辱
page 3	聯軍已退出南薩斯
page 3	聯軍謀克復挪威克
page 3	挪威否認與德謀和
page 3	德軍誇張在挪勝利
page 3	美財長演說美國黃金充斥德國所提倡之易貨制度仍不及黃金交易之妥善
page 3	西門爵士解釋戰局
page 3	在挪英軍艱苦作戰
page 3	聯軍在挪北正佈置新陣地德倫的英區域之挪軍一部降德一部退山中
page 3	蘇德兩國決定互尊瑞典中立瑞已與蘇開始商務談判瑞要求德准其假用運河
page 3	法對挪局並不悲觀
page 3	海牙捕獲多名荷籍納粹領袖
page 3	日本外交協會舉行廿週紀念有田出席演講報告外交政策
page 3	比在邊界搜獲外國軍服
page 3	傳德意兩國決不侵犯南國但南國否認此事
page 3	英禁印刷品寄往歐亞各國
page 3	美圖阻止戰爭勿蔓延及地中海羅斯福私人代表泰拉氏連日在梵蒂崗接洽頗忙
page 5	示意傀儡縮小　區
page 5	日軍壟斷淪陷區水陸交通事業中省線已在試航中同時又增闢江中線長途車六輛運抵石岐準備恢復岐關車
page 5	美記者讚揚桂南我軍作戰英勇指出日本民氣消沉危機日迫
page 5	粵高法院調動各分院長
page 5	日艦出擾交通又阻
page 5	新中順日偽之動態
page 5	澳門市面情況如常安寧灣仔澳門交通已局部開放內地運貨出口須納保護費
page 5	粵婦運會成立
page 5	廣州日騎兵增開佛山
page 5	日機飛西江各地投擲反戰歌謠
page 5	教育廳防止籍名入學避免兵役重申設校設班招生應行手續
page 5	欽邕沿線日軍受控制黃屋屯激戰欽城震動桂南情勢外弛內緊日軍野心勃勃防城萬尾島仍有日軍圖再犯江平
page 5	黃屋屯之激戰
page 5	日圖掃蕩我軍
page 5	收容難童日增各方尚陸續送韶
page 5	韶關取締業主加租警備司令部擬定三項辦法
page 5	防城情勢仍緊
