page 1	新年國際局勢之展望
page 2	贛北戰事仍積極進展中我軍向　修方面挺進
page 2	鄂南通城外圍我軍克復據點城中日軍頓形孤立
page 2	鍾祥日軍被我圍攻
page 2	被狂炸後之蘭州仍能復甦各界大舉慶賀新年足見我民族之堅強
page 2	去年一年中滬暗殺案統計列傷四十四人
page 2	滇學生通電擁護龍雲公獻錦旗一面表示敬仰誠意
page 2	軍委會發言人發表重要報告列舉事實證明日崩潰期已近一我軍整個計劃現已逐漸表現
page 2	王外長向美廣播證明我在戰爭時期仍從事於各種建設
page 2	渝市各界熱烈慶祝元旦童子軍及警察舉行大檢閱各區鎮民眾集合遊行慶賀
page 2	四行孤軍謝團長勗勉青年
page 2	晉南我軍全線採取攻勢克復侯王擊斃日軍甚多
page 2	就陸軍言
page 2	日軍死傷
page 2	監院今年工作方針將特別注重視察工作所需經費業經中央批准本年二月即可開始實行
page 2	六賊械劫中國汽車公司被搶去八千元
page 2	宜昌美籍教會亦被日機轟炸
page 2	日在美國購買廢鐵統計
page 2	孫科發表蘇芬戰爭原因係蘇懼德利用芬蘭作進攻蘇聯根據地
page 2	粵北我援軍大　開到韶關東南陣地已轉強桂南戰事重心仍在崑崙關附近
page 3	美國會昨開會預料羅斯福之演說詞必將注重於外交時局
page 3	去年晉省我軍戰果已達主動地位我軍勝利之基已奠消滅殘日即在今年
page 3	美海軍部正研究加速建艦方法採集研究資料以為試驗是否可建造八萬噸巨艦
page 3	德國誇大擊沉輪船成績
page 3	新西蘭軍隊舉行檢閱表示擁護宗主國
page 3	日蘇漁業協定滿期日蘇已簽訂臨時辦法將該項協定有效期展長一年務在年底成立長期正式協定
page 3	湯臣女士預測德將有大清黨里賓特羅甫勢將被排除
page 3	英工黨領袖亞特里抵前線視察軍事防務
page 3	美對日經濟封鎖案尚仍在考慮中外委會分贊成反對兩派在目前贊成派較佔優勢
page 3	德在捷境大舉捕人
page 3	土國再度發生猛烈地震
page 3	今年美國商務可望異常繁榮
page 3	德接納史太林要求助蘇進攻芬蘭將派遺一德軍官團赴莫斯科但德國軍官多不願助蘇侵芬
page 5	各鄉民居　被蹂躪
page 5	粵北戰事空前激烈翁源宮渡我日之肉搏戰粵路正面及佛崗仍不斷發生惡戰
page 5	我日兩軍翁源混戰
page 5	宮渡六里反復肉搏
page 5	佛從間之劇戰情形
page 5	日偽軍分兩路進犯大良受創潰退大良秩序已漸恢復市面商店多已復業元旦日　祝捷大會
page 5	戰事形勢
page 5	韶關軍政機關遷移
page 5	增廣抗戰兵源四邑抽簽徵兵
page 5	義民亦已陸續返鄉
page 5	積極辦理善後工作
page 5	當局發表各方戰況
page 5	中山米糧嚴禁外運
page 5	吳飛返中山後先注意維持戰時糧食嚴禁穀米偷運出口江會方面戰事近訊
page 5	議決各案摘錄如下
page 5	中振會之派員慰問
page 5	港府熱忱中央感謝
page 5	江會各線戰事仍烈
page 5	深圳沙頭角日軍退去後南頭方面之混亂情形城內外均被日偽軍搶掠並將各種工事盡行破毀寶安縣府召開善後議會議決維持糧食金融要案
page 7	前日封鎖港口實為檢視防禦工事傳發現德國潛艇說實屬無稽本港請報部昨布告解釋一切
page 7	鑰智中學元旦施贈寒衣
page 7	粵廢除漁戶苛雜稅捐並化學元素辦生產貸款以救漁民
page 7	南洋瓊崖商會兩主席昨抵港設法救濟被難同鄉
page 7	國醫學會聯歡
page 7	籐行商會電國府致敬禮並匯獻國幣五千元
page 7	中醫被控為婦人墮胎案具保五千元出外候審
page 7	英大使今飛渝謂此行未負若何任務
page 7	大埔餅店被劫
page 7	港大入學試定期六月舉行
page 7	去月奇旱創三十年來新紀錄
page 7	本港雖非金鎊集團港匯率仍由金鎊支持港幣購買英鎊多少不加限制香港貨幣貶值之說絕無根據
page 8	本港各社團慶祝元旦自衛團舉行大檢閱
page 8	商賑會昨會議
page 8	截劫案獲疑犯
page 8	七齡小童慘死疑被兇徒殺害
page 8	三文化協會辦藝術觀賞會
page 8	大坑野犬為患西人愛犬被噬
page 8	護士輔助組港九分區教授
page 8	本星期日足球聯賽東方再會南南週末雛鳳重逢九龍銀牌賽香港戰士葛
page 8	元旦足球義賽中西聯隊戰和軍聯二比二兩無吃虧
page 8	記者球隊征澳瑣記一
page 8	排籃義賽續訊
page 8	宵來女籃戰績
page 8	記者征澳球隊昨晨返港四戰一勝一和兩敗
page 8	羅斗文昨已返港
page 8	小型足球賽消息
page 8	第五期定期開始
page 8	我國執籌新馬無法運港大賽馬秩序修正公佈澳洲馬分三班我國馬五班連賽五日參加名駒百餘匹
