page 1	由中山先生生日說到蔣委員長
page 2	日方漸能了解我立場對某數點不堅持意見略接近我外交當局仍守已定政策貫澈初旨一週內將再開八次會談
page 2	日大使館之表示
page 2	綏北事不影響外交
page 2	日傳川樾提示意見
page 2	日軍調動甚忙有定十一日分四路總攻說中央已調兵二十師赴綏拒敵外部通令外僑遷離綏境昨有小接觸逆軍已被擊潰
page 2	通令外僑遷出綏蒙
page 2	戰三小時匪被擊潰
page 2	日運貨車輸送食料
page 2	王逆部隊歸李指揮
page 2	翁文灝發表重要談話劃定四省　剿匪區報載政府整理自闢商埠不確糧食運銷問題勢須縝密考慮
page 2	日船員高瀨安治在滬公共租界被擊彈中左胸傷及要害氣絕身死兇手逃逸無蹤警探大事搜索
page 2	滬市七個日紗廠昨已完全停工工潮有擴大趨勢
page 2	國大會堂完成明日開始驗收此大工程之建築費共洋一百十餘萬元
page 2	研究地方行政促進播音事業
page 2	廢除保安制度辦理警官學校
page 2	孔祥熙勤勞國事　府明令褒揚
page 2	粵省領用法幣數額達千萬元
page 2	太原租房糾紛解決真相經過
page 2	各地舉行歐戰和平紀念
page 2	川張七次會談
page 3	政府援軍將有開到
page 3	叛軍戰略避實擊虛
page 3	總理誕辰紀念日國府頒佈授勳命令頒給各文武官員各級勛章
page 3	小組委會昨又開會
page 3	西國會在瓦城舉行
page 3	危國承認叛軍政府
page 3	英波兩國外長會商歐洲時局問題英請波對但澤問題務取堅決態度波捷兩國間關係亦務須加以改善
page 3	美國大鐵僑今日行開幕禮
page 3	南羅希土四國參謀總長會商軍事防守合作任何國家苟欲擾亂巴爾幹半島秩序則巴爾幹之協約各國決心加以抵抗
page 3	墨索里尼願助奧國復辟
page 3	德國趕造軍艦十五萬噸在建築中
page 3	英國國防仍以海軍為第一線同時積極發展空軍
page 3	英法軍艦離滬北開
page 3	日軍又開聯席會議
page 3	平市屋宇不許高建
page 3	宋哲元辭冀主席職
page 3	日機三架離津北去
page 3	俄使希望中日和平
page 3	蘇俄發現大規模之陰謀蘇俄警察大索陰謀者外國僑民多名亦被捕
page 3	美國海員工潮在繼續開展中
page 3	羅斯福下令禁軍用機出口
page 3	日艦續有到滬今晨又到一艘
page 3	二十九軍秋季演習
page 3	倫敦銀市上漲目前仍不稍弱
page 3	叛軍飛機重炮齊向西京猛施轟炸政府軍飛機亦淩空應戰城內平民居室多被炮燬
page 4	萬米競走
page 4	女子接力
