page 1	美國參戰問題
page 2	贛北我軍向南昌挺進中瑞昌西北斃日軍百餘
page 2	粵北我軍克復街口
page 2	鄂南我軍到達嘉魚
page 2	日機又襲重慶發生激烈空戰日機兩架被我擊落
page 2	劉逆郁芬任新偽職汴日特務機關反對
page 2	蒙藏委會委長吳忠信抵渝
page 2	偽司法行政部企圖收滬法院
page 2	京杭國道連日激戰
page 2	桂設建設獎金
page 2	慰勞總會擴大慰勞前方將士
page 2	日內瓦附近被一外機投彈
page 2	希特勒之侵英法時間表但必無法實現
page 2	輸入美國黃金創新紀錄
page 2	美將助聯軍秘密利器新型發彈瞄準器所投彈百發百中
page 2	龍雲出巡各縣
page 2	在滬英人禁與意人通商
page 2	美陸軍部售軍火與聯軍大批新裝之軍用飛機集合海邊將交於聯軍
page 2	美下議院通過緊急賦稅法案
page 2	駐英意大使領取護照出境
page 2	澳聯邦總理談意國參戰結果海軍必先受挫折然後整個被擊潰
page 2	意海底電線已被聯軍截斷美意交通停頓
page 2	南非洲當局截獲意輪一艘
page 2	羅馬發出警報
page 2	羅斯福提議救濟歐洲難民支出五千萬金元
page 2	墨氏兩子現在空軍服務美利堅報懸獎擊落墨子即得
page 2	漢宜路戰事仍激烈當遠惡戰殲日六千竄渡襄河西岸日軍大部殲滅
page 3	美國會授權總統完成若干軍港下院度支委會已通過鉅額國防補充經費案
page 3	軍委會發表一週戰況六月二日至八日
page 3	泰與英法締結不侵協定又與日本締結一條約維持彼此間友誼關係
page 3	墨西哥外交政策係親聯軍又與美國合作
page 3	製造飛機在六個月之內每日產機千架
page 3	英政府增發貨幣
page 3	駐意英法大使離羅馬赴瑞士
page 3	前線煙火籠罩巴黎巴稱外圍戰已劇烈現在戰爭形成持久之消耗戰即使巴黎失陷法仍繼續鬥爭
page 3	美對日政策並無改善可能禁止機器廢鐵運日下院通過禁運法案
page 3	英法當局會議已決定新步驟應付此新戰爭局面
page 3	納粹黨人在滬活動不確
page 3	英空軍在挪海擊中兩德巡艦
