page 1	四路總部進行軍事中心工作
page 2	中日問題
page 2	共匪問題
page 2	蔣氏健康
page 2	中日貿易協會舉行首次會員大會出席中日雙方會員百三十一人通過該會組織準備進行建議案
page 2	滬各界宴兒玉等
page 2	日雖拒絕備砲限制英造艦程序亦不擬有所變更因多數專家意見三萬五千噸之主力艦係以裝置十四英寸口徑之大砲為適宜
page 2	日人利用走私案破壞東京和緩政策倫敦孟者士打衛報謂日將以此方法騙取中國稅收打擊中國之對外貿易
page 2	久大精鹽公司絕無出售之議
page 2	北洋工學院籌備恢復大學
page 2	美展會決組紡緝委會由滕固任主委
page 2	汪主席昨返抵京離並前發表重要談話中央准予共黨自新但絕非容共一切國家大計仍由蔣負責主持中日經濟提攜固所願望但抗戰準備絕不放棄
page 3	日商投資壟斷華北紗業
page 3	內部派員視察各省地政
page 3	各地舉行三一八紀念
page 3	鐵部發表建築鐵機廠計劃國營各路材料歸其供給該廠全中經費一千萬元
page 3	日銀行交還白銀乃屬自然趨勢
page 3	冀省內邱縣拘獲偽皇帝
page 3	日關東軍報告義軍人數統計
page 3	蕪湖營業稅局激成罷市風潮
page 3	醫院考察團由平抵保攷察
page 3	宋美齡因事今春不暇赴美
page 3	偽軍缺乏糧食行劫商都商店
page 3	賀國光等抵京報告川省政情外傳川省不穩俱屬謠言在京稍勾留即返川覆命
page 3	日機飛行平空
page 3	冀專員會議今日在保開幕
page 3	滬對外貿易輸出較前激增
page 3	武漢防空演習昨已圓滿告束
page 3	克里希爾市安靜如常法規閣不致因事變而受危害總工會幹部竭力擁護人民陣線政府
page 3	立院明日例會
page 3	財孔允撥款補助陝省財政
page 3	政院獎敘捐款購機通令調查具報捐款購機祝壽
page 3	巴黎工人罷工半日
page 3	日荷會議重開
page 3	英商航法案下院二讀通過
page 3	阿前皇請國聯調查意兵屠殺
page 3	英對巴力士坦暴亂籌商應付辦法
page 3	比王定期赴英商討中立問題
page 3	日美通商協定將可開始交涉
page 3	英下院舉行儀式追悼奧斯丁包爾溫等於靜穆中各致哀感動人誄詞
page 3	桂考察團抵大同
page 3	津海關又獲私貨
page 3	海平輪觸礁沉沒
page 3	朱慶瀾視察豫災
page 3	西叛軍扣留荷輪荷政府通令各艦準備必要行動西政府軍擊落叛軍飛機四架意兵十五名聯向政府軍投誠
page 4	昨日　開網球賽單打江道章智擒李安納雙打王兆榮施露華兩隊得　賽權
page 4	我國台盃代表蔡惠全昨已出發許承基由英赴法會合出戰
page 4	體育界一喜事李桓芬黃瑤英結婚今日在金陵酒家禮堂舉行
page 4	蘭芳杯乒乓賽皇仁再勝陶聲隊成績三對二
page 4	籃球友誼賽群聲籃球隊勝陽光成績四十五比三十七
page 4	華雄體育會舉辦會友分隊籃球賽二十日下午開幕
page 4	南粵組織足球隊
page 4	周德裕在星第九戰胡章勝周德裕一局一總成績三勝二和一敗仍屬周德裕勝利
page 5	粵省米荒已有轉機省黨部昨議平糶調節會再減米價華南米業公司之進行
page 5	鹽商反對加稅再電軍委會財部呼籲
page 5	省府禁米出口
page 5	四路設訓練處訊
