page 1	日Ｘ之最後ＸＸ
page 2	渝婦女界熱烈紀念三八到有朝鮮婦女會代表等數十人蔣夫人在熱烈掌聲中起立致詞
page 2	三月七日自重慶發電蔣委員長暨前方將士致敬
page 2	中央派員赴東北訓練駐在士兵指導訓練者為白崇禧訓練時間定為九　月
page 2	又機襲宜平民傷者甚多
page 2	電抗戰將士家屬慰勞
page 2	Ｘ機天皇號在鄂被俘
page 2	Ｘ謀毒化華中近由波斯運來煙土三千餘箱
page 2	Ｘ軍風紀腐敗視命令　具文
page 2	印度總督受各方贊美因其極力斡旋救回甘地生命
page 2	世界名教育家林德曼逝世
page 2	二月下半月我軍各路戰訊共作戰四零四次斃Ｘ二一三八五名
page 2	法大使定明日遞國書
page 2	去年年底止華南Ｘ兵變二十七次其中反戰事件十五次
page 2	川康視察團定期出發
page 2	津英法租界被封鎖再向日方抗議租界四面被包圍附近有機關槍陣地日謀在英租界南建新橋繁榮特一區
page 2	滬工部局改選美候選人推定
page 2	中緬正式通航本月不易實現
page 2	歐亞機由昆試飛河內
page 2	Ｘ決組華北運輸公司接管華北道路資本號稱三萬萬日元津浦平綏均歸其管轄
page 2	鄂中我軍積極反攻仙桃鎮已告克復楊家河發生劇烈之爭奪戰三水Ｘ出擾欖岡被我擊退
page 3	西國停戰談判在順利進行中共和政府領袖要求榮譽和平並要求對方寬限二十日時間
page 3	弋林定月底正式訪問羅馬
page 3	三八節蔣夫人演說詞我們要求得抗戰勝利民族始勇生存婦女要求解放須先救起危亡的國家
page 3	在求得女子的解放
page 3	應該當作一種責任
page 3	危急的國家扶救起
page 3	就自然面然的提高
page 3	忘記了國家的自由
page 3	菲政府計劃設廠製人造絲
page 3	來增進婦女的能力
page 3	至少是在水平以上
page 3	不是他們屬於你的
page 3	一般同胞有所貢獻
page 3	提倡節約勸導生產
page 3	現在這個非常時期
page 3	扶助他們能夠自立
page 3	能貢獻很大的助力
page 3	舉幾個例子來證明
page 3	我們更崇高的目的
page 3	有表面顯著的成績
page 3	另外一位外國女子
page 3	寄託著多少的深情
page 3	異國友人尚且如此
page 3	食少事繁希特勒知難長壽繼任人已選定
page 3	平偽政府欲迫外國銀行收受偽聯銀行之紙幣使此等偽幣得兌換外匯
page 3	捷將所存黃金讓一部與德國約佔百分之廿三
page 3	美國上議院通過陸軍擴充經費案羅斯福表示總統須　宣戰媾和權谷克主張在關站設防以　探敵情
page 4	石龍Ｘ騎昨竄南社茶山寶安各地安謐如常但深圳南頭仍冷落
page 4	太平Ｘ營被我焚燬
page 4	各地駐軍須就近訓練自衛團期使今後軍民均能配合作戰
page 4	省府通令褒忠鋤奸提議旌恤謝維屏
page 4	派員赴港慰問難民
page 4	東北江軍事急亟開展我東線主力將向Ｘ挺攻北江軍事同時發動牽制Ｘ軍
page 4	承辦河南煙賭之馮某被Ｘ監視
page 4	財廳整理全省營稅訂優待繳稅辦法
page 4	李主席兼長建廳後佈粵北電話網整調戰時通訊粵桂電話已通
page 4	桂省獎勵採金
page 4	在粵ＸＸ集議南侵軍事
page 4	各縣區長警官更動呈廳核准
page 4	Ｘ陷三山之詳情偽自警團反正與Ｘ激戰山田部又再佔平洲該墟已成死市一度向三桂搜索糧食向平洲退去
page 5	鄧龍光策劃西江軍事西線Ｘ共一旅團
page 5	河南Ｘ營發生大火南潭鄉西涌堡焚屋卅餘間起火原因兩說
page 5	南澳漢奸作崇
page 5	潮汕安定如常
page 5	潮汕局面已漸鬆馳潮梅Ｘ艦多已離去南澳漢奸 作崇經過當局現已下令嚴緝
page 5	寶安平安
page 5	鞏衛各鄉
page 5	派隊助防
page 5	組奮勇隊
page 5	我軍增防東寶邊境廣九路沿線各鄉之安謐寶安糧食會議展期召開
page 5	入學編制辦法擬定
page 5	各縣成立推行委會
page 5	視察人　出發推動
page 5	廣西之成人教育年分期訓練失學成人設推行委會限本年完成
page 5	四期完成進行程序
page 5	經費預算組織決定
page 5	古鼎萊召集糧食救濟會議續訊開平各界請禁華南公司收買糧食
page 5	各縣盜匪被拿送新兵處訓練
page 5	桂參議會經已開始工作
page 5	昨七日晨我機隊又轟炸九江Ｘ陣並赴河清兩龍偵察放傳單忠　Ｘ兵我機去後Ｘ施報復向海口古勞遙轟
page 6	一戰場憑吊
page 6	二慨話戰情
page 6	溝通粵桂洲閩四省鹽運兩廣鹽運處成立
page 6	西江Ｘ軍趕築工事續訊桂軍繼續東下反攻之期不遠
page 6	省府令各縣組農村互助社
page 6	旅外瓊僑郵電擁護保衛國土
page 6	自衛團普訓隊實行裁撤常備隊歸鄉公所指揮不得任意在地方籌款
