page 1	Ｘ軍進犯海南島
page 2	遠東各國海軍界注意海南島問題
page 2	我抗日鋤奸團進攻滬偽警局遊行示威高呼殺盡漢奸任務完成之後安全退去
page 2	西江我軍進攻欖岡之ＸＸ不支向三水敗退
page 2	三種公債抽籤還本
page 2	正太路我軍襲擊合流車站華南北Ｘ互調正路Ｘ軍運忙河曲東岸Ｘ軍數度過河西犯
page 2	彭澤之Ｘ增加
page 2	綏南清水河Ｘ南犯被我截擊潰退綏Ｘ殘殺商民洗劫商店
page 2	安邑之Ｘ不敢出城
page 2	夜襲永城擒偽參謀
page 2	河南方面最近戰況
page 2	鄂中之Ｘ源源增援京山我軍取監視態度應山Ｘ調回漢口
page 2	漢口Ｘ軍毆辱蘇領館華籍職員在領館門前設崗出入一律檢查塔斯社記者返家被日哨兵阻止
page 2	鄞縣抗Ｘ會春節慰勞軍隊
page 2	Ｘ軍傷亡甚重吳淞積屍達五千餘現在忙於火化工作
page 2	廣州偽政府公開招人承賭日本貨則如潮湧進外國商店仍難復業
page 2	中條山Ｘ遺槍四千
page 2	Ｘ在同蒲路築碉堡
page 2	圍攻霍縣盡殲頑Ｘ
page 2	南進政策下Ｘ軍昨在海南島登陸違反日法協定法必提強硬抗議香港星洲感受威脅英亦極關切
page 3	意報一致表示國策決不更變為對付英法軍事同盟意宣佈加速防禦準備
page 3	羅馬教皇逝世全世界教徒聞耗震悼繼任人選巴采利有望
page 3	逝世情形
page 3	繼任人選
page 3	教皇生平
page 3	全印國民大會主張退出國聯此提案經立法院通過謂國聯不能制裁侵略
page 3	蘇聯紅星報暢論我軍一年來戰況日軍技術拙劣愈深入則愈困難可以斷定日本在中國毫無出路
page 3	德征壯丁入伍後洗衣工人缺乏
page 3	前捷總統抵美彼談歐洲大戰不信無法避免
page 3	自由黨不能諒解比閣迫於辭職
page 3	威爾遜任英財部次官
page 3	日大藏省發表對外貿易統計
page 3	南國新外長由德返國履新
page 3	荷蘭宣佈決不放棄屬土
page 3	英下院通過修正冰凍蛋稅原為從量稅改為從價稅
page 3	趙老太太抵渝
page 3	Ｘ機轟炸樂昌
page 3	英拖輪在長江下游被一盜船截擊
page 3	冀中我克任邱我軍啣尾向河間追擊
page 3	東京各報極力抨擊英美法蘇誇張日本海軍實力謂足與英美相對抗
page 3	美建設銀公司董事長瓊斯盛讚我信用卓著對中國人剛直誠實表示信任深信中國必　償還美國借款
page 3	湖北省政府組織戰時教育人員服務團各級合格教員均應報到參加
page 3	西國民軍進佔米諾加島法將決定承認西國民軍政府但須以意軍撤離西國為條件
page 4	名劇紐約小姐下月一日起公演
page 4	藏械案將詳臬
page 4	捐助救傷隊題名
page 4	耶教徒為國祈禱
page 4	黃獨峰畫展開幕
page 4	聯業公司之波童式巨機月底到港廿二日由美三藩市啟程是次不載搭客祗載郵件
page 5	來往江容中華渡又遭匪劫游擊隊赴援祇救回一渡
page 5	未被劫前
page 5	昂船岡外
page 5	Ｘ在海南島登陸前潿洲島Ｘ艦一部他駛東京灣Ｘ艦窺伺瓊崖島沿岸Ｘ機連日頻飛北海附近偵察
page 5	救回一渡
page 5	洗劫情形
page 5	財廳派楊秘書調查稅收澈查緝私各案
page 5	北江戰事又復激烈太平場鐘落潭Ｘ軍慘敗太和市Ｘ軍星夜增援鐘落潭Ｘ陣被燬Ｘ軍旬來死亡數千廣州北郊闢焚屍場
page 5	我前鋒衝入太平場Ｘ陣
page 5	鍾落潭Ｘ營均被我火焚
page 5	廣州北郊外Ｘ闢焚屍場
page 5	增城之Ｘ犯李屋圍被我擊潰
page 5	凰角團隊泅水夜襲烏洲Ｘ宮焚燬Ｘ軍器屯儲室
page 5	延攬專門人材派充戰時工作公佈服務條例
page 5	省府注意戰區各縣政治嚴防難民為Ｘ利用
page 5	高劍父中止赴美
page 5	Ｘ限期總攻五邑煙幕揭穿三水Ｘ兵大部撤退以化學部隊作防守江佛路僅樂從有數十Ｘ兵與九江聯絡李道軒派偽縣兵圖佔陳村亦狼狽撤退
page 6	除弊急于興利
page 6	二實幹重於理論
page 6	九江Ｘ軍被我夜襲Ｘ遷怒鄉民慘況
page 6	番禺大山鄉之匪患匪黨與團隊發生激戰東西市商民聯合團隊抵禦幸鄰團隊援助始獲安全
page 6	大隊Ｘ軍再踞新造迫組偽維持會及自警團
page 6	汕港商船進出時間延長
page 6	容桂大良之虛驚Ｘ艦窺小黃圃我自衛團嚴密監視Ｘ艦艇七日已撤退
page 6	鄧彥華翁照垣奉召前往北江
page 6	何春帆已抵潮接五區專員職
page 6	李磊夫昨抵鶴山視察七日由沙坪轉赴高明
page 6	財廳減輕潮汕漁民納稅負擔
