page 1	美日關係漸緊張
page 2	鄂中我軍進抵荊門近郊邕南日運遭我夾擊瑞安以東戰事激烈
page 2	天津美商受日壓迫致電赫爾申訴
page 2	建川美次出發赴蘇瀕行發表談話增進日蘇友誼
page 2	國慶日林主席訓詞一
page 2	在睡夢中傳筱庵被刺斃行刺者乃其僕人得手後逃去無蹤
page 2	滬中央市場場長被免職
page 2	余長官暨部屬積儲匯購儲券
page 2	滬法租界電車巴士突停罷工工人從中活動
page 2	日海軍大將高僑力主向南膨脹
page 2	滬日當局否認圖奪公共租界
page 2	日本成立二千六百週年日皇在橫濱　海操
page 2	津無線電公司不能繼續業務該公司為美人所辦
page 2	建川赴蘇矣
page 2	德企圖侵土
page 2	羅斯福與兩國務卿討論國際嚴重問題英美注視滇緬路開放後日反響
page 3	倫敦在轟炸中生產不受影響現尚有準備之勞工力量可以供應各工廠之需要
page 3	瑞典各軍事家評論軸心國家有和平之意但和平途徑如何打單實難想得如和平失敗則全世界必形混亂
page 3	要電補誌
page 3	澳洲宣佈新限制入口例一百零三種入口貨
page 3	美國孤立政策已無存在可能美已不避日本威脅實行繼續援助英國
page 3	美菲當局攷察應付時局變化美駐亞洲艦隊集中岷尼刺駐菲律濱美陸軍有八千人
page 3	美向泰表示立場維持遠東現狀駐泰國法公使電勸維士政府接納泰國對越南之土地要求
page 3	日勸各銀行結束倫敦支行
page 3	軸心國家對於遠東及近東政策德以緩進政策掠 取巴爾幹日本對戰局仍取觀望態度
page 3	英政府現正考慮與羅國斷絕邦交德有假道保國侵土企圖德軍向多瑙河下游移動
page 5	灣仔日軍昨日全撤
page 5	歐大慶昨接管呂部
page 5	日騎兵百餘調江會
page 5	白蕉日軍設卡征稅
page 5	粵府撥二萬元發展港韶交通鯊魚涌茜坑闢雙道陳驥召開交通會議
page 5	委座關懷士兵生活
page 5	粵劃定東江鎢礦區俟呈准後即可自行開採
page 5	粵府會議
page 5	利用防空時間普及教育韶設輪迴施教隊
page 5	台山黨部盡力宣傳節約縣府飭屬員限制消費
page 5	日軍侵入越南後廣州日軍大部南調連日封用大批輪渡在泮塘口聽候運輸
page 5	新台開鶴恩赤奉令實施戰前空舍清野糧食先行搬遷並焚燬禾草屋舍施以糞溺使日宿困難
page 5	吳部長離岷赴南島瀕行發表告別僑胞書經宿務怡朗時稍停留
page 5	日船截留貨艇
page 5	桂林參議選出
page 5	中山五區團隊夜襲奏捷三塘萬里圍日軍全部退竄婆羅島日軍亦紛紛下艦　　歐大慶接管中山呂春榮殘部
page 6	出發動機
page 6	行程經過
page 6	今後行程
page 6	粵財政廳整頓稅捐罰款充獎辦法繳納罰款提二成充獎瞞捐漏稅罰款提三成
page 6	增城便衣隊進襲日營日隊長伊藤被我擊傷
page 6	粵實施新縣制後全省專員縣長調查
page 6	統制出口貨物中私運影響關稅
page 6	韶關屋租日昂增租迫遷事頻聞
page 6	開平籌辦驛運　和平
page 6	旅菲律濱華僑捐購航空券之踴躍二十八埠僑胞慷慨愉將款額已達五百萬元華幣
page 7	削弱當局防禦力量
page 7	居民密報當獲重賞
page 7	商人宜與警察合作
page 7	港九各僑團熱烈慶祝雙十各界慶祝大會參加者數千人華商總會贈旗運動成績甚佳
page 7	港九廠商聚餐
page 7	商會贈旗成績
page 7	圖書館開幕禮
page 7	九龍各校會操
page 7	華商總會慶祝
page 7	婦女界升旗禮
page 7	勵志社聚餐會
page 7	代督視察各區防空壕洞
page 7	兩人跳樓慘死
page 7	美僑撤退者少多持觀望態度但對業務已改取保守政策日僑廿餘名昨日乘輪離港
page 7	竊匪罪無可　頻頻盜竊邊區防禦物警察當局嚴密　緝　發者重賞接贓與盜竊同等論罪遞解出境
page 8	九龍居民呈請增強警衛力量
page 8	崇正總會二十週年紀念千餘會員參加慶祝
page 8	新文字與中國文化一
page 8	雙十節賽馬成績熱門馬全占優勝名驅第斯亭提夫泰奪獲雙十碟賽錦標
page 8	法大使今返港
page 8	兩賊截劫路人
page 8	山泥崩卸壓斃一人四人受傷均送醫院救治
page 8	本港華商多不贊成設移民局惟法例未頒布前暫持緘默態度華商會主席郭泉對記者之談話
page 10	今日甲組足球賽南華迎戰香港光華會逢米杜息九龍渡海抗海軍
page 10	雙十節足球義賽三比一華聯奏凱
page 10	又到暹羅米船二艘本港米價昨日續跌
page 10	青年會會友週年水運陳震南　妙　分劍全　紀錄
page 10	域多利游泳會昨舉行渡海泳陳震南破廿六年前紀錄地打利士與李寶聯均創新成績
page 10	兩大學聯合陸運香港壓倒嶺南
