page 1	越南法軍果然抵抗
page 2	星洲日僑被拘案日向英提抗議要求立即釋放被拘日人英大使已答允調查此案
page 2	軸心國家加緊壓迫希臘放棄親英政策
page 2	西沙漠局面無何變化
page 2	晉東南我軍圍攻長子
page 2	晉博公路我軍活躍
page 2	我軍進襲金壇
page 2	日統制在華煤油業停發執照於美國三大油公司
page 2	英國商輪噸位比較戰前尤多德意兩國則減少
page 2	侯活氏發表二次論文評論太平洋時局美應負荷印安全
page 2	德外長與西內長又作長談
page 2	羅斯福組織國防交通委會以備非常時期應用
page 2	羅馬教皇道賀英皇脫險
page 2	英輪斯拉里亞號被水雷撞擊
page 2	法機二十架炸擊直布羅陀
page 2	介入乎不介入乎
page 2	八一三的教訓在今日
page 2	芬接納德要求允許德事假道
page 2	日人在滬醞釀新風潮謀奪公共及法兩租界現正利用搗亂份子破壞秩序哈特大將抵滬召集重要會議
page 2	政院會議應付越南決定執行原定策略日法仍在諒山一帶展開激戰我軍開始進攻龍州日軍後方
page 3	日本御前會議通過日德防禦同　
page 3	英美制止日本兩國將取平行步驟
page 3	德軍演習登陸被炸擊傳傷亡五六萬人未免太甚但德軍平底艇確損失重大
page 3	第一五七次中常會兩項重要決議一為關於國民大會者一為關於國民參政會
page 3	達加戰事繼續進行
page 3	德國宣傳法將向英宣戰自由法軍及英軍攻達加將迫法向英採取新政策
page 3	印度各州獻機踴躍捐款逐日增加
page 3	前大陸報編輯許建屏被綁票
page 3	星洲宣佈組織地方民團以協助正規軍維持地方秩序
page 3	英機猛炸柏林
page 3	德機仍襲倫敦有二十三個區域被炸英空軍亦向柏林炸擊
page 3	修森頓亦被炸
page 3	意外相將訪柏林
page 3	羅國實行復員決定遣散十二萬俾恢復農工業務
page 3	傳日德在原則上已締結防禦同盟倘英美在太平洋合作實現日亦將放棄不介入政策
page 5	我大軍續開抵四邑
page 5	日軍百餘增援前山
page 5	日機又向古井肆虐
page 5	驛運處長羅永欽談粵省驛運擬先辦兩線一由前江至岐嶺二由曲江至四邑運輸糧食及鹽為主其他各物為副
page 5	粵省當局鼓勵商人運鹽訂定辦法四項
page 5	韶舉行防降傘隊演習繼續執行強迫市民疏散公務員眷屬更不得徇情
page 5	財政部嚴防　流通維持法幣在游擊區內信用絕無準備應拒絕行使
page 5	粵北組抗旱隊
page 5	中山八區洴涌被劫潘幼齡親率團隊截擊斃匪十六名擒廿三名
page 5	淪陷區反封鎖後台鶴糧食近聞
page 5	侵粵日軍裝腔作勢安藤飛瓊田中急返廣州
page 5	四邑煙禁近訊
page 5	從化我軍猛烈掃蕩神岡擊潰蓮洲崗日軍並斬獲數十攻入橫排嶺白鱔塘展開劇戰
page 5	惠陽盜匪猖獗陳驥下令限期肅清
page 5	鄧士采昨率隊剿匪
page 5	平潭匪患愈弄愈兇
page 5	中央續調大軍保衛四邑我軍不久即可向日採取攻勢江會日力弱將無法維持原狀
page 6	封鎖邊界種種見聞
page 6	汪派人員到寶安後
page 6	提出統一政治機構
page 6	粵省各界歡宴郎擎天李主席募款五千元犒軍郎氏表示努力以贖前愆
page 6	議長致詞
page 6	郎氏談話
page 6	反侵略會募滑翔機基金
page 6	粵會計人員特攷情形曲江區取錄人員已分發錄用香港等區之試卷已在評閱中
page 6	日炸曲江郵局郵件多被焚毀
page 6	視導辦法
page 6	粵省政務視導團組織大綱暨視導辦法視導範圍註分十二項特別注重實施新縣制
page 6	寶安日軍封鎖邊界近況江派縣長圖統一政權與附日機關暗鬥甚烈
page 7	英輪奉令停止開行
page 7	電報仍通匯兌停止
page 7	肉類菜蔬價格上漲
page 7	港府限制越客入境
page 7	代督岳桐昨接收禾花艦
page 7	出國宣揚藝術張善子載譽歸來駐港親友紛紛設宴款待勾留數日即返重慶覆命
page 7	庇理羅士學生今日行畢業禮史美夫人將蒞場頒獎
page 7	各街保衛團員大部份未選出
page 7	本港馬會昨開投新馬江少侶氏獲一良駒
page 7	出品一斑
page 7	刁波士之遺產由其妻承受
page 7	改良會計問題潘序倫今晚播音演講
page 7	中澳通航費每月九十萬元承商增至七十萬亦被拒絕中澳交通恢復問題難實現
page 7	在美經過
page 7	先赴法京
page 7	市民請免疏散手續疏散人口諮詢委會公佈
page 7	吳鐵城昨赴菲官慰僑胞考察僑情
page 7	港灣輪船仍有來往
page 7	越南戰事擴大本港政府禁英輪赴越渣甸公司泰生輪昨中途折回港越匯兌亦停頓電訊仍暢通
page 8	避難來港醫務頗　
page 8	兩汽車滿截黑衣盜
page 8	行劫前割斷電話線
page 8	西報批評越局苦中求存須自力更生
page 8	唐紹儀之葬地竟成爭辯問題
page 8	五星期內霍亂症統計港九共發生七百六十三宗死亡人數達四百九十九名
page 8	中國文協會昨開年會第二屆理事即席選出並決定今後工作計劃
page 8	本屆理事
page 8	事業報告
page 8	工作計劃
page 8	港府設移民局將提　立法局討論
page 8	英志願軍過港
page 8	三水商工務局響應防疫運動
page 8	中環防空區丙段所轄地域
page 8	車輛失事統計
page 8	違例售物小販法官已　輕處罰
page 8	馬頭圍道劫案三被告罪名註消
page 8	兩汽車滿載黑衣盜白盡到劫謝培初醫館未下手先割電話線以防報警掠去財物共值港幣五百餘元灣仔乍菲道一住戶亦幾被劫
page 10	全港游泳冠軍決賽吳年創新紀錄百碼胸泳成績七十秒二百廿碼陳震南第一
page 10	今日友誼足球賽東方以新陣抗海軍滬三劍俠決上火線星島隊渡海戰警察
page 10	昨日兩戰東方勝利南華敗績
page 10	東方棄權於星島竟被罰二十元星島隊白得兩分曹桂成案未判決
