page 1	意大利態度轉緩
page 2	鄂北我軍克復襄陽一部進至隨縣以南猛力進攻
page 2	晉南我軍繼續進擊日軍受創極重晉城日軍一部南犯茶元被我引入山地全數殲滅
page 2	日本政治制度將變成極權制日本大政黨將自動解散合組一黨以近衛為總裁
page 2	上海日本紗價突然下跌做此投　事業者百餘家陷於破產
page 2	熟常附近公路大被破壞交通完全停頓
page 2	中央機關改用夏季時間
page 2	意國雖未宣佈參戰局勢並不和緩意國仍積極準備參戰非洲意屬已開始動員
page 2	對委座表示崇敬緬僧獻贈舍利金塔星加坡僑胞獻勝利錦旗星洲婦女獻蔣夫人珠串
page 2	教部通飭實施畢業總考
page 2	贛發動雙七獻金運動
page 2	滬婦女慰勞會奉令鄂豫勞軍大批禮物運前方分贈於全體將士
page 2	東京中華商會電蔣委長祝捷
page 2	舉行三次會議
page 2	駐滬英軍司令墜馬折斷一足
page 2	吳忠信抵昆日內飛渝
page 2	美海長愛特生辭職獲准
page 2	菲總統奎松表示仍願連任但不參加競選
page 2	美參院通過擴軍法案
page 2	粵北我軍乘勝追擊偷渡襄河日軍被殲襄陽一席失陷旋為我軍克復
page 3	丹刻克區聯軍經已完全撤退少數聯軍不能獲救
page 3	德統帥部誇張戰績
page 3	英國亟謀與蘇恢復尋常關係委吉利斯浦為駐蘇大使蘇對此項委任並不反對
page 3	邱吉爾報告佛蘭特區戰事英軍損失三萬以上但德軍之損失更重
page 3	英機襲擊德軍陣地
page 3	英陸軍部次官報告國防已有充實力量防備敵人來侵
page 3	美禁機器出口日受影響最大日政府認為不容緘默外務省或將表明態度
page 3	英國積極進行強化本國力量眾議院將開秘密會議審查本國之國防計劃
page 3	空襲巴黎照片由電傳到紐約再由紐約傳到東京
page 3	大量黃金流入美國
page 3	美下議院籌劃委會議決增加政府借債最高額以四十萬萬金元為限又議決增加各項賦稅
page 3	德轟炸機轟炸挪威克城引起火頭多個
page 3	羅斯福上校宴于焌吉
page 3	法意電話交通停頓
page 3	德軍企圖撲攻巴黎西線再度展開大戰森姆河亞眠隆鎮間激戰甚烈參加此次進攻德軍五十萬人
page 5	江會我軍乘時活躍
page 5	在睦洲內突舉義旗
page 5	我各路軍乘時圍攻
page 5	進攻勝利斬獲無算
page 5	傳古井亦有克復訊
page 5	嚴密佈置緝私網澈底肅清四邑走私組查緝辦事處嚴厲剿辦私梟一區嚴禁團警庇私如違懲辦
page 5	一區嚴禁團警庇私
page 5	粵北九縣衛生事業積極發展救護會在港設分會籌藥品各救護隊在前線努力服務
page 5	在增從線
page 5	余副司令長官報告從化前線殲日經過我軍預佈戰局出奇制勝故能誘日聚殲二次克復良口斬獲甚多不亞粵北大捷
page 5	英勇抵抗
page 5	發生激戰
page 5	韶關設站登記失業教師
page 5	粵工合促進會成立各縣儘量設分會
page 5	四邑自衛團隊總檢閱吳以起任檢閱官
page 5	傷兵之友社慰勞花從負傷將士全省各縣組織分社
page 5	天氣變化忽然降雹高要金利受害最大
page 5	粵衛生處擴大防疫運動
page 5	江會各線日軍多已他調我克睦洲攻古井之捷訊睦洲偽軍乘時反正將日偽軍包圍殲擊古井亦有已克復訊
page 6	日犯蕉山遭我痛殲
page 6	潮日反戰發生火迸
page 6	廣東省府組政效促進會
page 6	縣兵役科重新調整辦法
page 6	訓育主任審委會成立
page 6	南進我軍追擊潰敗日軍續克溫泉猛攻從化城雞籠崗亦已克復街口混戰中日軍潰退神岡太平場被夾擊從化慘遭蹂躪民眾奮起殺日
page 6	良口我軍向南直進
page 6	克雞籠崗街口混戰
page 6	我夾攻神崗太平場
page 6	人民團體組織手續摘要
page 6	三水日軍擾馬房大瀝鹽　偽軍擾各鄉村廣州橡皮艇數十開河口
page 6	雲浮鄉鎮長講習會已開學抗戰中注重自治
page 6	中央舉辦青年團論文賽
page 6	廣西省府設立總辦公廳新編制本月起實行
page 6	寶安稅務局來函照錄
page 6	嶺東戰事仍膠著我軍一度衝進華美站日軍竄擾蕉山鄉遭我包圍痛殲反戰潮日益澎湃潮城日軍火迸
page 7	昨召集大車商會議
page 7	組織輔助團之意義
page 7	團員所受一切待遇
page 7	節儲建運港分會推進儲蓄運動金山莊百餘家組儲蓄團以佣金紅利作長期儲蓄
page 7	定額為一千五百名
page 7	選擇勇敢忠誠人材
page 7	港廢鐵大部輸往日本去年出口總額為十一萬擔運往日本者竟佔七萬餘擔
page 7	官立醫院贈診新例求診病人須攜醫生介紹書
page 7	振委劉景清氏原函
page 7	八一三紀念日將臨商會決策動僑胞獻金徵求傷兵之友數目將登報公佈林綺梅女士允許演劇籌款振災
page 7	振聯改期招待學界
page 7	記者書圖館募得二千餘元
page 7	白晝防空演習本月九日在中區舉行
