page 1	日人對我外交新陣容之觀測
page 2	對部員訓詞
page 2	對記者談話
page 2	川樾將奉召返日報告中日最近趨勢日已覺悟用高壓手段對華非計將改用和平方法以博我國好感
page 2	汪在中央紀念週報告應重視全會提案常設機關接到交付案件應切實施行切勿再蹈議而不決決而不行之覆轍
page 2	日在華海陸軍高級武官在滬召開幕僚會議討論對華外交及在滬日軍增加名額理想計劃在滬開闢日租界
page 2	林主席在國府紀念週演講實業計劃與國防建設發展重工業為軍需工業準備發展農業以求糧食自給自足
page 2	法國防公債總額為一百萬萬佛郎利息四厘將於十日發行
page 2	中英庚款董事會開四四次大會
page 2	王外長正式親事對記者發表談話對闡明外根本政策國家之領土與主權必須保全完整以平等互惠為基礎增進國際友誼
page 3	鄧寶珊晉京謁何報告張部東移情形駐防陝甘張部月內可移防竣事今後甘陝西兩省要圖在辦理善後
page 3	俞飛鵬就交通部長職
page 3	蔣抵滬醫腰疾
page 3	川湘公路月內完全竣工四月一日正式通車
page 3	英反對派發表宣言述該黨若組政府時所行政綱採取積極和平政策謀各國民族之繁榮各項較大資產歸國有改善工人待遇
page 3	內部咨各省市提高警員待遇俾能安心服務
page 3	冀察會籌備參加巴黎博覽
page 3	陳濟棠將任全國實業督辦
page 3	津日領署押解浪人回國
page 3	南潯路擬建潯江鐵橋
page 3	三八國際婦女節各地舉行紀念
page 3	滬人黃振世購得大鯊魚長三丈重五千斤
page 3	日人計劃在津建立無線電台
page 3	法決定金融政策後佛郎價格大跌此種現象出人意料
page 3	政院通令各省市整飭人事行政
page 3	西叛軍集中兵力準備猛攻馬德勒叛軍兩次乘夜進攻大學區政府軍奮勇迎戰將之擊退
page 3	監察計劃改期實行
page 3	叛軍截留外國貨船
page 3	桂考察團離平赴綏一帶考察
page 3	比法西斯黨進行改選活動政府派三大黨正謀設法應付
page 3	耶路撒冷形勢已復常態
page 3	佐籐首次正式宣言應以平等地位改變對華政策中日談判應以促膝談心態度考慮中國之要求恢復以平等地位為根據之談判改善兩國關係
page 4	黃伯長在滬又勝俄摔角家在最後兩回合獲勝蒙面奇客技術頗佳
page 4	網球賽因雨改期今日有雙單打五場
page 4	法國搜求運動新人村屬目于非洲土人
page 4	南華會劈掛班四月開幕入會者可即刻有會證
page 4	大古華人會乒乓賽本月九日團伙甄安捐贈銀
page 4	奧雲曉氏勇戰受傷
page 4	本港外匯市呆滯
page 4	滬外匯市仍穩靜
page 4	各行股票之市情
page 4	曾敗於青年會之美艦今晚與華僑華比賽昨晚乙組黑白鑰智奏凱
page 5	炸灘計劃
page 5	防潦工作
page 5	水利公債
page 5	英大使定期來粵訊十二日離平沿途參觀各鐵路抵粵後與當局交換經濟意見
page 5	兵工築路總部與建廳合作
page 5	開征遺產稅章則日內將公佈
page 5	農村合作會舉辦各種合作事業之近訊某委員之詳談
page 5	汕請免米稅不准
page 5	桂省軍官之更調
page 5	再請財部維持舊存印花
page 5	調節民食會議定代售店領米辦法
page 5	一百萬菸農貸款今明日簽約
page 5	桂省籌辦公耕
page 5	水利局最近之各種工作炸灘防潦及發行水利公債炸灘計劃為順德人反對現擬另覓航行便利途徑昨已派員測量第七滘河道
page 6	湘南各縣民眾電請撤消粵鹽銷湘合作案
page 6	複選國大代表尚待初選人圈定
page 6	鄂實業攷察團抵廣州後之行蹤
page 6	河南馬九崗發生劫殺案之誤傳
page 6	河南要聞彙誌
page 6	廣州市黨部解散草蓆工會
page 6	婦女界兩大會記
page 6	三八節之紀念會
page 6	國防協會昨成立
page 6	各鄉之清潔
page 6	各鄉之防盜
page 6	洋服店檢貨案公會請商會維持
page 6	歸僑收容所成立
page 6	市商會請省府撤整理土油廠法
page 6	市商會昨八日開常務委員會
page 6	粵教育廳督學
page 6	廣州市報關業公會主席李卓如
page 6	省會警察局
page 6	英國出口信用擔保局駐華代表葛伯力
page 6	意大利駐越南領事巴路連氏夫婦
page 6	廣州市茶居業產業工會
page 6	謝瀛洲否認澈查何啟灃報銷案並無派員赴西北江調查電話悍之報銷劉懋初與記者談
page 7	同行人物
page 7	歡迎人物
page 7	余氏丰采
page 7	畫面談話
page 7	代表晉謁
page 7	官式登陸
page 7	拜會港督
page 7	督轅午宴
page 7	拜會羅周
page 7	名流歡宴
page 7	致歡迎詞
page 7	致答謝詞
page 7	今日返粵
page 7	劉維熾談
page 7	禮炮隆隆群情熱烈余漢謀昨抵港拜會港督僑胞開會歡迎定今晚乘花車晉省余謂欲建設新中國須建設新廣東希望人民今後能切實與政府合作
page 8	出席代表
page 8	開會情形
page 8	游藝助興
page 8	主席致詞
page 8	羅氏演詞
page 8	槍殺鄉長案犯判引渡返省十五日內被告仍有上訴權
page 8	張照供詞
page 8	李繼邦供
page 8	黃旭初過港談三全會接納桂提案李宗仁白崇禧晉京期未定黃昨晨抵港即午乘車赴粵
page 8	歡迎人物
page 8	黃氏談話
page 8	午車赴粵
page 8	余氏偕行
page 8	參加僑教講學會江斌等昨已北上暹區代表團發表書面談話
page 8	澳學界派員北上出席僑校教職員講學會
page 8	廣九焚車案難屬會展期登記
page 8	粵安輪壞機折回
page 8	吳邁案似非謀財
page 8	海口輪撞沉漁船
page 8	小徑中發現腐屍頭刀傷疑被謀殺
page 8	汽車輾傷一少婦
page 8	店伴險作長眠人
page 8	行使偽幣案詳臬
page 8	婦女界慶祝三八節提出五項公約共同遵守務達自己的事自己幹
page 10	鄉人何事鎗被傷
page 10	澳商會下屆主席范潔朋崔諾枝連任
page 10	集團婚報名展期
page 10	偷掘電線犯入獄
page 10	藏毒案兩宗提審
page 10	一工人失足慘死
page 10	遠東各埠時症報告
page 10	書畫賑綏會再展期
page 10	西南女中祝婦女節
page 10	駐星英陸軍一旅乘艦抵港準備參加軍事大演習
